pair,T,label,kernel,theta_d,ratio,epsilon,n_seg,n_true,A_nnz,exact,lam_min,lam_max,P_anc_emu,P_anc_store,cos_emu_store,cos_QC,q_eff_abs,q_far_abs,q_tau_wp99,q_eff_wp99,q_far_wp99,c_eff_abs,c_far_abs,exploded,fpass_true,fpass_false,line_mass_true,line_mass_false,t_spectral,q_eff_wp99_store,q_far_wp99_store
clean,50,r=3,erf,0.0012743822032655668,3.0,0.0004247940677551889,10000,200,10430,True,1.931266213132842,6.068733786867158,0.005618145584309192,,,0.26062475774627325,0.52,0.0,0.29574195387546237,0.99,0.0,1.0,0.0,False,0.4490175049873436,3.910480957768216e-05,0.003966153621653916,0.9992104489020275,84.41424942016602,,
clean,200,step,step,0.0,0.0,0.0004247940677551889,160000,800,161210,False,2.3819660112501007,5.618033988749904,,,,,,,,,,1.0,0.0,False,0.33669725374664916,9.19890762605066e-06,0.0,0.9999371859296483,0.497300386428833,,
clean,200,step2x,erf,1e-06,0.0023540818384881618,0.0004247940677551889,160000,800,161210,False,0.7639320225002095,7.2360679774997925,,,,,,,,,,1.0,0.012345679012345678,False,0.8759844931380589,3.140703517587977e-05,0.0,0.9999371859296483,0.7603559494018555,,
clean,200,r=0.1,erf,4.247940677551889e-05,0.1,0.0004247940677551889,160000,800,161220,False,0.763932022514169,7.236067976996506,,,,,,,,,,1.0,0.012345679012345678,False,0.8759633768185205,2.9086589648299147e-05,0.0,0.999924623115578,218.66438817977905,,
clean,200,r=1/3,erf,0.00014159802258506297,0.3333333333333333,0.0004247940677551889,160000,800,161266,False,0.7746169862525163,7.225383013747521,,,,,,,,,,1.0,0.012345679012345678,False,0.8577929124480631,2.0689093440375024e-05,0.0,0.9998743718592964,29.48577642440796,,
clean,200,r=1,erf,0.0004247940677551889,1.0,0.0004247940677551889,160000,800,161546,False,1.353664971928755,6.646335028071219,,,,,,,,,,1.0,0.009900990099009901,False,0.6521901754269009,2.0482198043577544e-05,1.2708555157182792e-12,0.9995979899497424,29.17985248565674,,
moderate,10,step,step,0.0,0.0,0.0033967337116407354,400,40,460,True,2.381966011250104,5.618033988749895,0.02630447294895701,0.022391535339945333,0.9835609112981167,0.47343751804693485,0.5,0.0,0.276933997683655,1.0,0.0,1.0,0.0,False,0.33669725374664966,3.749399456654644e-33,0.0,1.0,0.017609834671020508,1.0,0.0
moderate,10,step2x,erf,1e-06,0.00029440046965499887,0.0033967337116407354,400,40,460,True,0.76393202250022,7.23606797749979,0.0684362885264107,0.022391535339945333,0.9794496746378559,0.8618689510239115,1.0,0.0,0.9890976424602878,1.0,0.0,1.0,0.0,False,0.8759844931380572,3.749399456654644e-33,0.0,1.0,0.018161535263061523,1.0,0.0
moderate,10,r=0.1,erf,0.00033967337116407357,0.1,0.0033967337116407354,400,40,460,True,0.76393202250022,7.236067977499789,0.06843624643801477,,,0.861868341290987,1.0,0.0,0.9890810131641031,0.975,0.0,1.0,0.0,False,0.8759839544065893,4.884191006360534e-33,8.133661197591308e-33,1.0,0.01702284812927246,,
moderate,10,r=1/3,erf,0.0011322445705469117,0.3333333333333333,0.0033967337116407354,400,40,460,True,0.7859987371692494,7.214001262830763,0.0672001035404994,0.022391535339975066,0.9789028203625154,0.842681107125884,1.0,0.0,0.8419324843906603,0.975,0.0,1.0,0.0,False,0.8601613253183923,3.764620486273523e-31,7.315837570063257e-31,1.0,0.01821136474609375,1.0,0.0
moderate,10,r=1,erf,0.0033967337116407354,1.0,0.0033967337116407354,400,40,460,True,1.4230882501638988,6.5769117498361025,0.05084460432630937,,,0.6466691920752099,1.0,0.0,0.4048499103735511,0.975,0.0,1.0,0.0,False,0.65081093537676,3.4531470278589145e-31,2.844142757368861e-31,0.9999999999999999,0.017278671264648438,,
moderate,10,r=3,erf,0.010190201134922207,3.0,0.0033967337116407354,400,40,470,True,2.028668044304104,5.971331955695894,0.03517125915466637,,,0.5266303943743103,0.5,0.0,0.3045565109477818,0.975,0.0,1.0,0.0,False,0.45011689072736827,4.587086977582039e-09,2.2838124688705454e-07,0.9999999746243059,0.018483400344848633,,
moderate,50,step,step,0.0,0.0,0.0033967337116407354,10000,200,10306,True,2.381966011250104,5.618033988749895,0.004163704248399065,0.0035523077469558515,0.9837462783650782,0.22743952807383094,0.5,0.0,0.276933997683655,1.0,0.0,1.0,0.0,False,0.33669725374664966,8.966118943268935e-05,0.0,0.9993877551020407,75.9239194393158,1.0,0.02912621359223301
moderate,50,step2x,erf,1e-06,0.00029440046965499887,0.0033967337116407354,10000,200,10306,True,0.76393202250022,7.23606797749979,0.010876275551001681,0.0035523077469558515,0.9797537438786601,0.588628460107346,1.0,0.02912621359223301,0.9829970519809147,1.0,0.0,1.0,0.02912621359223301,False,0.8759844931380572,0.00030612244897959133,0.0,0.9993877551020407,79.53784942626953,1.0,0.02912621359223301
moderate,50,r=0.1,erf,0.00033967337116407357,0.1,0.0033967337116407354,10000,200,10314,True,0.76393202250022,7.23606797749979,0.01085688638631578,,,0.5883098459550045,1.0,0.02912621359223301,0.9821524509230202,0.99,0.0,1.0,0.02912621359223301,False,0.8757634781251543,0.00027821744167009024,1.2137836510638583e-32,0.999183673469388,78.85657262802124,,
moderate,50,r=1/3,erf,0.0011322445705469117,0.3333333333333333,0.0033967337116407354,10000,200,10380,True,0.77683238301129,7.2231676169887225,0.01048907461921177,0.004244266309989879,0.9043916583606528,0.5398760086646631,1.0,0.038461538461538464,0.7422027324772781,0.99,0.019801980198019802,1.0,0.02912621359223301,False,0.8472960759154392,0.00024423590015384625,1.391225288126495e-10,0.9985714285685892,78.10921120643616,0.99,0.2826086956521739
moderate,50,r=1,erf,0.0033967337116407354,1.0,0.0033967337116407354,10000,200,10688,True,1.3634048179932987,6.6365951820067,0.007898520277241278,,,0.34125796469246816,0.995,0.019704433497536946,0.37037217381722,0.99,0.019801980198019802,1.0,0.0196078431372549,False,0.6329996190450354,0.00025831448926478797,0.00017452162347131558,0.9924447527099253,92.56757259368896,,
moderate,50,r=3,erf,0.010190201134922207,3.0,0.0033967337116407354,10000,200,13134,True,1.9786946504319387,6.02130534956806,0.006100787033098456,,,0.29203404698897356,0.53,0.0,0.29125107111167836,0.99,0.024630541871921183,1.0,0.014778325123152709,False,0.44355136400500617,0.000833592331679236,0.004610600801388151,0.9700376723185422,89.09530019760132,,
moderate,200,step,step,0.0,0.0,0.0033967337116407354,160000,800,161712,False,1.6547471566019967,6.3452528433980095,,,,,,,,,,1.0,0.045346062052505964,False,0.33904680903411877,0.0004637374525370033,0.0075694444444445045,0.9969978364042432,0.7319135665893555,,
moderate,200,step2x,erf,1e-06,0.00029440046965499887,0.0033967337116407354,160000,800,161718,False,-0.6905056867960042,8.690505686795998,,,,,,,,,,0.99,0.3763779527559055,True,0.8708169909139277,0.001544482596946817,0.007569444444444474,0.9969978364042436,0.919191837310791,,
moderate,200,r=0.1,erf,0.00033967337116407357,0.1,0.0033967337116407354,160000,800,162524,False,-0.5678472431108627,8.567847243110851,,,,,,,,,,0.99375,0.375,True,0.8710189332870765,0.001434786813324978,0.007305414942809843,0.9959791300543241,28.153871297836304,,
moderate,200,r=1/3,erf,0.0011322445705469117,0.3333333333333333,0.0033967337116407354,160000,800,165830,False,-0.36496653494541814,8.364966534945435,,,,,,,,,,0.99,0.3648757016840417,False,0.8503077880910341,0.0012302298471914255,0.004267645911063363,0.9922669504282684,31.36519718170166,,
moderate,200,r=1,erf,0.0033967337116407354,1.0,0.0033967337116407354,160000,800,186170,False,0.2440497095146602,7.755950290485344,,,,,,,,,,1.0,0.34959349593495936,False,0.6457529370785159,0.0014277995131537601,0.007754805170524923,0.9765271446202405,31.932599544525146,,
heavy,10,step,step,0.0,0.0,0.006646035213727248,400,40,460,True,2.381966011250104,5.618033988749895,0.02630447294895701,0.022391535339945333,0.9835609112981167,0.47343751804693485,0.5,0.0,0.276933997683655,1.0,0.0,1.0,0.0,False,0.33669725374664966,3.749399456654644e-33,0.0,1.0,0.019835948944091797,1.0,0.0
heavy,10,step2x,erf,1e-06,0.00015046564874265496,0.006646035213727248,400,40,460,True,0.76393202250022,7.23606797749979,0.0684362885264107,0.022391535339945333,0.9794496746378559,0.8618689510239115,1.0,0.0,0.9890976424602878,1.0,0.0,1.0,0.0,False,0.8759844931380572,3.749399456654644e-33,0.0,1.0,0.01930093765258789,1.0,0.0
heavy,10,r=0.1,erf,0.0006646035213727249,0.1,0.006646035213727248,400,40,460,True,0.76393202250022,7.23606797749979,0.06843627275071676,,,0.8618686420663528,1.0,0.0,0.989094869421187,0.975,0.0,1.0,0.0,False,0.8759842912091746,3.749399456654644e-33,0.0,1.0,0.01825118064880371,,
heavy,10,r=1/3,erf,0.002215345071242416,0.3333333333333333,0.006646035213727248,400,40,462,True,0.7784959489847969,7.2215040510152075,0.06696801058763922,0.022963592407970086,0.9674775881979933,0.8394284523770046,1.0,0.0,0.8491537120003995,0.975,0.0,1.0,0.0,False,0.8571905355217815,7.464907431245444e-17,3.161246405381489e-31,1.0,0.019678115844726562,1.0,0.047619047619047616
heavy,10,r=1,erf,0.006646035213727248,1.0,0.006646035213727248,400,40,468,True,1.3842283470811103,6.615771652918889,0.05085330774006925,,,0.6495899386644789,1.0,0.0,0.4149578971956734,0.975,0.0,1.0,0.0,False,0.6501098774427425,6.869543199465173e-06,9.236729390555855e-06,0.9944434181411788,0.01844620704650879,,
heavy,10,r=3,erf,0.019938105641181744,3.0,0.006646035213727248,400,40,554,True,1.9729523968476332,6.027047603152366,0.03670870392908544,,,0.5393154261763066,0.55,0.0,0.30469315624806276,0.975,0.0,1.0,0.0,False,0.45120692299313514,0.0004401441038231501,0.005741507045667227,0.9882532427909431,0.019448280334472656,,
heavy,50,step,step,0.0,0.0,0.006646035213727248,10000,200,10328,True,2.152240934977427,5.847759065022574,0.0043730821239401675,0.003760508750073527,0.9845798132033787,0.23535711901916093,0.495,0.0,0.27664910543741367,0.99,0.005025125628140704,0.995,0.005,False,0.33451332540253137,0.0004318884117903047,0.007500000000000025,0.9970918367346938,91.18839359283447,0.99,0.1277533039647577
heavy,50,step2x,erf,1e-06,0.00015046564874265496,0.006646035213727248,10000,200,10328,True,0.3044818699548628,7.695518130045147,0.011552384165356512,0.003760508750073527,0.9802485102901121,0.5946277959103917,0.995,0.12719298245614036,1.0145207335824211,0.99,0.005025125628140704,0.995,0.12719298245614036,False,0.8691208423648461,0.0014618784291204508,0.007500000000000006,0.9970918367346938,76.41444301605225,0.99,0.1277533039647577
heavy,50,r=0.1,erf,0.0006646035213727249,0.1,0.006646035213727248,10000,200,10372,True,0.3372040020540217,7.662795997945992,0.011552129108578169,,,0.5962324774940502,0.995,0.13100436681222707,0.9860647619770518,0.99,0.005025125628140704,1.0,0.1341991341991342,False,0.8704188518115887,0.0013437173247779802,0.0033739205091799264,0.9968699199896087,81.3699140548706,,
heavy,50,r=1/3,erf,0.002215345071242416,0.3333333333333333,0.006646035213727248,10000,200,10602,True,0.605594821002827,7.394405178997171,0.011114738930499198,0.00680017458350911,0.7923112577383074,0.5547385476771328,1.0,0.14163090128755365,0.7656664292269661,0.99,0.05263157894736842,1.0,0.12663755458515283,False,0.8477571152286603,0.001036239371748915,0.0036103536736976755,0.9930446032072471,81.16595363616943,1.0,0.5495495495495496
heavy,50,r=1,erf,0.006646035213727248,1.0,0.006646035213727248,10000,200,12034,True,1.2724205616496,6.727579438350399,0.008898218541389415,,,0.3708371128004374,0.995,0.0871559633027523,0.38590112246832786,0.99,0.05714285714285714,1.0,0.11504424778761062,False,0.6387587369154947,0.001184104075960484,0.007338716987415783,0.9781904091598207,104.22659945487976,,
heavy,50,r=3,erf,0.019938105641181744,3.0,0.006646035213727248,10000,200,22452,True,1.4411384402487717,6.558861559751229,0.010445462643458407,,,0.40172160715547334,0.685,0.26737967914438504,0.2956634151908368,0.99,0.2851985559566787,1.0,0.2831541218637993,False,0.453121890969049,0.005159058663384508,0.0359669390520405,0.9085154120873166,475.8780424594879,,
heavy,200,step,step,0.0,0.0,0.006646035213727248,160000,800,163024,False,0.763932022500209,7.236067977499783,,,,,,,,,,1.0,0.23882017126546146,False,0.3426744236192631,0.0017366435483410717,0.026250000000000075,0.9895854271356784,1.952125072479248,,
heavy,200,step2x,erf,1e-06,0.00015046564874265496,0.006646035213727248,160000,800,163028,False,-2.4721359549995765,10.472135954999581,,,,,,,,,,0.945,0.6861768368617683,False,0.8543297705304519,0.005612733113812173,0.02625000000000004,0.989572864321608,2.3187665939331055,,
heavy,200,r=0.1,erf,0.0006646035213727249,0.1,0.006646035213727248,160000,800,166056,False,-2.47213595367205,10.472135953672028,,,,,,,,,,0.98,0.6774989716166187,True,0.8562865071667206,0.005220696876201203,0.023607314982605297,0.9853562443885941,28.934659004211426,,
heavy,200,r=1/3,erf,0.002215345071242416,0.3333333333333333,0.006646035213727248,160000,800,178938,False,-2.3948867639195806,10.394886763919594,,,,,,,,,,0.98,0.673469387755102,False,0.8382371942784244,0.004779411361209111,0.02171793341285998,0.972011314720824,29.39756989479065,,
heavy,200,r=1,erf,0.006646035213727248,1.0,0.006646035213727248,160000,800,257046,False,-1.0667487162925182,9.066748716292528,,,,,,,,,,0.99,0.705685618729097,False,0.64318139859024,0.006364231227103111,0.031042331412222093,0.9251894366315904,32.07597613334656,,
