phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,20,0.0004,0.4,0.0016971888521905864,8,60,23940,60,15,1.0,0.2
0.02,20,0.0004,0.4,0.0016971888521905864,9,60,23940,60,15,1.0,0.2
0.02,20,0.0006,0.6,0.002545672799084753,0,60,23940,60,15,1.0,0.2
0.02,20,0.0006,0.6,0.002545672799084753,1,60,23940,60,10,1.0,0.14285714285714285
0.02,20,0.0006,0.6,0.002545672799084753,2,60,23940,60,8,1.0,0.11764705882352941
0.02,20,0.0006,0.6,0.002545672799084753,3,60,23940,60,47,1.0,0.4392523364485981
0.02,20,0.0006,0.6,0.002545672799084753,4,60,23940,60,18,1.0,0.23076923076923078
0.02,20,0.0006,0.6,0.002545672799084753,5,60,23940,60,10,1.0,0.14285714285714285
0.02,20,0.0006,0.6,0.002545672799084753,6,60,23940,60,25,1.0,0.29411764705882354
0.02,20,0.0006,0.6,0.002545672799084753,7,60,23940,60,30,1.0,0.3333333333333333
0.02,20,0.0006,0.6,0.002545672799084753,8,60,23940,60,15,1.0,0.2
0.02,20,0.0006,0.6,0.002545672799084753,9,60,23940,60,14,1.0,0.1891891891891892
0.02,20,0.0008,0.8,0.0033941788403088016,0,60,23940,60,27,1.0,0.3103448275862069
0.02,20,0.0008,0.8,0.0033941788403088016,1,60,23940,60,39,1.0,0.3939393939393939
0.02,20,0.0008,0.8,0.0033941788403088016,2,60,23940,60,39,1.0,0.3939393939393939
0.02,20,0.0008,0.8,0.0033941788403088016,3,60,23940,60,33,1.0,0.3548387096774194
0.02,20,0.0008,0.8,0.0033941788403088016,4,60,23940,60,27,1.0,0.3103448275862069
0.02,20,0.0008,0.8,0.0033941788403088016,5,60,23940,60,63,1.0,0.5121951219512195
0.02,20,0.0008,0.8,0.0033941788403088016,6,60,23940,60,35,1.0,0.3684210526315789
0.02,20,0.0008,0.8,0.0033941788403088016,7,60,23940,60,38,1.0,0.3877551020408163
0.02,20,0.0008,0.8,0.0033941788403088016,8,60,23940,60,19,1.0,0.24050632911392406
0.02,20,0.0008,0.8,0.0033941788403088016,9,60,23940,60,27,1.0,0.3103448275862069
0.02,20,0.001,1.0,0.004242693719796422,0,60,23940,60,55,1.0,0.4782608695652174
0.02,20,0.001,1.0,0.004242693719796422,1,60,23940,60,68,1.0,0.53125
0.02,20,0.001,1.0,0.004242693719796422,2,60,23940,60,32,1.0,0.34782608695652173
0.02,20,0.001,1.0,0.004242693719796422,3,60,23940,60,48,1.0,0.4444444444444444
0.02,20,0.001,1.0,0.004242693719796422,4,60,23940,59,50,0.9833333333333333,0.45871559633027525
0.02,20,0.001,1.0,0.004242693719796422,5,60,23940,60,55,1.0,0.4782608695652174
0.02,20,0.001,1.0,0.004242693719796422,6,60,23940,60,29,1.0,0.3258426966292135
0.02,20,0.001,1.0,0.004242693719796422,7,60,23940,60,61,1.0,0.5041322314049587
0.02,20,0.001,1.0,0.004242693719796422,8,60,23940,60,22,1.0,0.2682926829268293
0.02,20,0.001,1.0,0.004242693719796422,9,60,23940,60,29,1.0,0.3258426966292135
0.02,50,5e-05,0.05,0.00021319005605327846,0,150,374850,150,0,1.0,0.0
0.02,50,5e-05,0.05,0.00021319005605327846,1,150,374850,150,3,1.0,0.0196078431372549
0.02,50,5e-05,0.05,0.00021319005605327846,2,150,374850,150,3,1.0,0.0196078431372549
0.02,50,5e-05,0.05,0.00021319005605327846,3,150,374850,149,0,0.9933333333333333,0.0
0.02,50,5e-05,0.05,0.00021319005605327846,4,150,374850,150,1,1.0,0.006622516556291391
0.02,50,5e-05,0.05,0.00021319005605327846,5,150,374850,150,1,1.0,0.006622516556291391
0.02,50,5e-05,0.05,0.00021319005605327846,6,150,374850,150,1,1.0,0.006622516556291391
0.02,50,5e-05,0.05,0.00021319005605327846,7,150,374850,150,1,1.0,0.006622516556291391
0.02,50,5e-05,0.05,0.00021319005605327846,8,150,374850,150,1,1.0,0.006622516556291391
0.02,50,5e-05,0.05,0.00021319005605327846,9,150,374850,150,1,1.0,0.006622516556291391
0.02,50,0.0001,0.1,0.0004247940677551889,0,150,374850,150,5,1.0,0.03225806451612903
0.02,50,0.0001,0.1,0.0004247940677551889,1,150,374850,150,4,1.0,0.025974025974025976
0.02,50,0.0001,0.1,0.0004247940677551889,2,150,374850,150,3,1.0,0.0196078431372549
0.02,50,0.0001,0.1,0.0004247940677551889,3,150,374850,150,7,1.0,0.044585987261146494
0.02,50,0.0001,0.1,0.0004247940677551889,4,150,374850,150,2,1.0,0.013157894736842105
0.02,50,0.0001,0.1,0.0004247940677551889,5,150,374850,150,4,1.0,0.025974025974025976
0.02,50,0.0001,0.1,0.0004247940677551889,6,150,374850,150,5,1.0,0.03225806451612903
0.02,50,0.0001,0.1,0.0004247940677551889,7,150,374850,150,7,1.0,0.044585987261146494
0.02,50,0.0001,0.1,0.0004247940677551889,8,150,374850,150,4,1.0,0.025974025974025976
0.02,50,0.0001,0.1,0.0004247940677551889,9,150,374850,150,15,1.0,0.09090909090909091
0.02,50,0.0002,0.2,0.0008487932610477066,0,150,374850,150,16,1.0,0.0963855421686747
0.02,50,0.0002,0.2,0.0008487932610477066,1,150,374850,150,40,1.0,0.21052631578947367
0.02,50,0.0002,0.2,0.0008487932610477066,2,150,374850,150,32,1.0,0.17582417582417584
0.02,50,0.0002,0.2,0.0008487932610477066,3,150,374850,150,15,1.0,0.09090909090909091
0.02,50,0.0002,0.2,0.0008487932610477066,4,150,374850,150,25,1.0,0.14285714285714285
0.02,50,0.0002,0.2,0.0008487932610477066,5,150,374850,149,26,0.9933333333333333,0.14857142857142858
0.02,50,0.0002,0.2,0.0008487932610477066,6,150,374850,150,20,1.0,0.11764705882352941
0.02,50,0.0002,0.2,0.0008487932610477066,7,150,374850,150,21,1.0,0.12280701754385964
0.02,50,0.0002,0.2,0.0008487932610477066,8,150,374850,150,24,1.0,0.13793103448275862
0.02,50,0.0002,0.2,0.0008487932610477066,9,150,374850,150,67,1.0,0.3087557603686636
0.02,50,0.0004,0.4,0.0016971888521905864,0,150,374850,150,87,1.0,0.3670886075949367
0.02,50,0.0004,0.4,0.0016971888521905864,1,150,374850,150,92,1.0,0.38016528925619836
0.02,50,0.0004,0.4,0.0016971888521905864,2,150,374850,150,74,1.0,0.33035714285714285
0.02,50,0.0004,0.4,0.0016971888521905864,3,150,374850,150,88,1.0,0.3697478991596639
0.02,50,0.0004,0.4,0.0016971888521905864,4,150,374850,150,108,1.0,0.4186046511627907
0.02,50,0.0004,0.4,0.0016971888521905864,5,150,374850,150,122,1.0,0.4485294117647059
0.02,50,0.0004,0.4,0.0016971888521905864,6,150,374850,150,54,1.0,0.2647058823529412
0.02,50,0.0004,0.4,0.0016971888521905864,7,150,374850,150,101,1.0,0.40239043824701193
