phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,20,0.05,0.05,0.015751537045137484,9,60,23940,60,704,1.0,0.9214659685863874
0.02,50,0.0,0.0,0.0004247940677551889,0,150,374850,150,4,1.0,0.025974025974025976
0.02,50,0.0,0.0,0.0004247940677551889,1,150,374850,150,4,1.0,0.025974025974025976
0.02,50,0.0,0.0,0.0004247940677551889,2,150,374850,150,12,1.0,0.07407407407407407
0.02,50,0.0,0.0,0.0004247940677551889,3,150,374850,150,2,1.0,0.013157894736842105
0.02,50,0.0,0.0,0.0004247940677551889,4,150,374850,150,8,1.0,0.05063291139240506
0.02,50,0.0,0.0,0.0004247940677551889,5,150,374850,150,5,1.0,0.03225806451612903
0.02,50,0.0,0.0,0.0004247940677551889,6,150,374850,150,6,1.0,0.038461538461538464
0.02,50,0.0,0.0,0.0004247940677551889,7,150,374850,150,5,1.0,0.03225806451612903
0.02,50,0.0,0.0,0.0004247940677551889,8,150,374850,150,8,1.0,0.05063291139240506
0.02,50,0.0,0.0,0.0004247940677551889,9,150,374850,150,11,1.0,0.06832298136645963
0.02,50,0.005,0.005,0.0016308858027061653,0,150,374850,150,79,1.0,0.34497816593886466
0.02,50,0.005,0.005,0.0016308858027061653,1,150,374850,150,71,1.0,0.3212669683257919
0.02,50,0.005,0.005,0.0016308858027061653,2,150,374850,150,83,1.0,0.3562231759656652
0.02,50,0.005,0.005,0.0016308858027061653,3,150,374850,150,92,1.0,0.38016528925619836
0.02,50,0.005,0.005,0.0016308858027061653,4,150,374850,150,83,1.0,0.3562231759656652
0.02,50,0.005,0.005,0.0016308858027061653,5,150,374850,150,96,1.0,0.3902439024390244
0.02,50,0.005,0.005,0.0016308858027061653,6,150,374850,150,87,1.0,0.3670886075949367
0.02,50,0.005,0.005,0.0016308858027061653,7,150,374850,150,74,1.0,0.33035714285714285
0.02,50,0.005,0.005,0.0016308858027061653,8,150,374850,150,92,1.0,0.38016528925619836
0.02,50,0.005,0.005,0.0016308858027061653,9,150,374850,150,81,1.0,0.35064935064935066
0.02,50,0.01,0.01,0.0031777035588293387,0,150,374850,150,351,1.0,0.7005988023952096
0.02,50,0.01,0.01,0.0031777035588293387,1,150,374850,150,368,1.0,0.7104247104247104
0.02,50,0.01,0.01,0.0031777035588293387,2,150,374850,150,393,1.0,0.7237569060773481
0.02,50,0.01,0.01,0.0031777035588293387,3,150,374850,150,285,1.0,0.6551724137931034
0.02,50,0.01,0.01,0.0031777035588293387,4,150,374850,150,318,1.0,0.6794871794871795
0.02,50,0.01,0.01,0.0031777035588293387,5,150,374850,150,244,1.0,0.6192893401015228
0.02,50,0.01,0.01,0.0031777035588293387,6,150,374850,150,363,1.0,0.7076023391812866
0.02,50,0.01,0.01,0.0031777035588293387,7,150,374850,150,275,1.0,0.6470588235294118
0.02,50,0.01,0.01,0.0031777035588293387,8,150,374850,150,364,1.0,0.708171206225681
0.02,50,0.01,0.01,0.0031777035588293387,9,150,374850,150,321,1.0,0.6815286624203821
0.02,50,0.015,0.015,0.0047428337441630134,0,150,374850,150,772,1.0,0.8373101952277657
0.02,50,0.015,0.015,0.0047428337441630134,1,150,374850,150,623,1.0,0.8059508408796895
0.02,50,0.015,0.015,0.0047428337441630134,2,150,374850,150,573,1.0,0.7925311203319502
0.02,50,0.015,0.015,0.0047428337441630134,3,150,374850,150,712,1.0,0.8259860788863109
0.02,50,0.015,0.015,0.0047428337441630134,4,150,374850,150,749,1.0,0.8331479421579533
0.02,50,0.015,0.015,0.0047428337441630134,5,150,374850,150,756,1.0,0.8344370860927153
0.02,50,0.015,0.015,0.0047428337441630134,6,150,374850,150,635,1.0,0.8089171974522293
0.02,50,0.015,0.015,0.0047428337441630134,7,150,374850,150,850,1.0,0.85
0.02,50,0.015,0.015,0.0047428337441630134,8,150,374850,150,639,1.0,0.8098859315589354
0.02,50,0.015,0.015,0.0047428337441630134,9,150,374850,150,749,1.0,0.8331479421579533
0.02,50,0.02,0.02,0.006312668537322595,0,150,374850,150,1158,1.0,0.8853211009174312
0.02,50,0.02,0.02,0.006312668537322595,1,150,374850,150,1246,1.0,0.8925501432664756
0.02,50,0.02,0.02,0.006312668537322595,2,150,374850,150,1455,1.0,0.9065420560747663
0.02,50,0.02,0.02,0.006312668537322595,3,150,374850,150,1345,1.0,0.8996655518394648
0.02,50,0.02,0.02,0.006312668537322595,4,150,374850,150,1464,1.0,0.9070631970260223
0.02,50,0.02,0.02,0.006312668537322595,5,150,374850,150,1187,1.0,0.8878085265519821
0.02,50,0.02,0.02,0.006312668537322595,6,150,374850,150,1165,1.0,0.8859315589353612
0.02,50,0.02,0.02,0.006312668537322595,7,150,374850,150,1114,1.0,0.8813291139240507
0.02,50,0.02,0.02,0.006312668537322595,8,150,374850,150,1269,1.0,0.8942917547568711
0.02,50,0.02,0.02,0.006312668537322595,9,150,374850,150,1367,1.0,0.9011206328279499
0.02,50,0.03,0.03,0.009457071732672446,0,150,374850,150,2661,1.0,0.9466382070437567
0.02,50,0.03,0.03,0.009457071732672446,1,150,374850,150,2457,1.0,0.9424626006904487
0.02,50,0.03,0.03,0.009457071732672446,2,150,374850,150,2781,1.0,0.9488229273285568
0.02,50,0.03,0.03,0.009457071732672446,3,150,374850,150,3456,1.0,0.9584026622296173
0.02,50,0.03,0.03,0.009457071732672446,4,150,374850,150,2943,1.0,0.9515033947623667
0.02,50,0.03,0.03,0.009457071732672446,5,150,374850,150,2885,1.0,0.9505766062602965
0.02,50,0.03,0.03,0.009457071732672446,6,150,374850,150,2658,1.0,0.9465811965811965
0.02,50,0.03,0.03,0.009457071732672446,7,150,374850,150,2976,1.0,0.9520153550863724
0.02,50,0.03,0.03,0.009457071732672446,8,150,374850,150,3849,1.0,0.9624906226556639
0.02,50,0.03,0.03,0.009457071732672446,9,150,374850,150,2617,1.0,0.9457896638959161
0.02,50,0.05,0.05,0.015751537045137484,0,150,374850,150,7923,1.0,0.981419546636938
0.02,50,0.05,0.05,0.015751537045137484,1,150,374850,150,7677,1.0,0.9808355691835953
0.02,50,0.05,0.05,0.015751537045137484,2,150,374850,150,7510,1.0,0.9804177545691906
0.02,50,0.05,0.05,0.015751537045137484,3,150,374850,150,7905,1.0,0.9813780260707635
0.02,50,0.05,0.05,0.015751537045137484,4,150,374850,150,8905,1.0,0.9834345665378245
0.02,50,0.05,0.05,0.015751537045137484,5,150,374850,150,6826,1.0,0.9784977064220184
0.02,50,0.05,0.05,0.015751537045137484,6,150,374850,150,6293,1.0,0.9767189197578767
0.02,50,0.05,0.05,0.015751537045137484,7,150,374850,150,7593,1.0,0.9806276636962418
0.02,50,0.05,0.05,0.015751537045137484,8,150,374850,150,7804,1.0,0.9811415639929595
0.02,50,0.05,0.05,0.015751537045137484,9,150,374850,150,7833,1.0,0.9812100714017287
0.02,100,0.0,0.0,0.0004247940677551889,0,300,2999700,300,37,1.0,0.10979228486646884
0.02,100,0.0,0.0,0.0004247940677551889,1,300,2999700,300,52,1.0,0.14772727272727273
0.02,100,0.0,0.0,0.0004247940677551889,2,300,2999700,300,31,1.0,0.09365558912386707
0.02,100,0.0,0.0,0.0004247940677551889,3,300,2999700,300,33,1.0,0.0990990990990991
0.02,100,0.0,0.0,0.0004247940677551889,4,300,2999700,300,38,1.0,0.11242603550295859
0.02,100,0.0,0.0,0.0004247940677551889,5,300,2999700,300,42,1.0,0.12280701754385964
0.02,100,0.0,0.0,0.0004247940677551889,6,300,2999700,300,47,1.0,0.13544668587896252
0.02,100,0.0,0.0,0.0004247940677551889,7,300,2999700,300,34,1.0,0.10179640718562874
0.02,100,0.0,0.0,0.0004247940677551889,8,300,2999700,300,33,1.0,0.0990990990990991
0.02,100,0.0,0.0,0.0004247940677551889,9,300,2999700,300,31,1.0,0.09365558912386707
0.02,100,0.005,0.005,0.0016308858027061653,0,300,2999700,300,697,1.0,0.6990972918756269
0.02,100,0.005,0.005,0.0016308858027061653,1,300,2999700,300,645,1.0,0.6825396825396826
0.02,100,0.005,0.005,0.0016308858027061653,2,300,2999700,300,693,1.0,0.6978851963746223
0.02,100,0.005,0.005,0.0016308858027061653,3,300,2999700,300,580,1.0,0.6590909090909091
0.02,100,0.005,0.005,0.0016308858027061653,4,300,2999700,300,730,1.0,0.7087378640776699
0.02,100,0.005,0.005,0.0016308858027061653,5,300,2999700,300,639,1.0,0.6805111821086262
0.02,100,0.005,0.005,0.0016308858027061653,6,300,2999700,300,633,1.0,0.6784565916398714
0.02,100,0.005,0.005,0.0016308858027061653,7,300,2999700,300,577,1.0,0.6579247434435576
0.02,100,0.005,0.005,0.0016308858027061653,8,300,2999700,300,611,1.0,0.6706915477497256
0.02,100,0.005,0.005,0.0016308858027061653,9,300,2999700,300,562,1.0,0.6519721577726219
0.02,100,0.01,0.01,0.0031777035588293387,0,300,2999700,300,2429,1.0,0.8900696225723709
0.02,100,0.01,0.01,0.0031777035588293387,1,300,2999700,300,2158,1.0,0.8779495524816925
0.02,100,0.01,0.01,0.0031777035588293387,2,300,2999700,300,2679,1.0,0.8992950654582075
0.02,100,0.01,0.01,0.0031777035588293387,3,300,2999700,300,2832,1.0,0.9042145593869731
0.02,100,0.01,0.01,0.0031777035588293387,4,300,2999700,300,2436,1.0,0.8903508771929824
0.02,100,0.01,0.01,0.0031777035588293387,5,300,2999700,300,2370,1.0,0.8876404494382022
0.02,100,0.01,0.01,0.0031777035588293387,6,300,2999700,300,2646,1.0,0.8981670061099797
0.02,100,0.01,0.01,0.0031777035588293387,7,300,2999700,300,2065,1.0,0.8731501057082452
0.02,100,0.01,0.01,0.0031777035588293387,8,300,2999700,300,2685,1.0,0.8994974874371859
0.02,100,0.01,0.01,0.0031777035588293387,9,300,2999700,300,2186,1.0,0.8793242156074015
0.02,100,0.015,0.015,0.0047428337441630134,0,300,2999700,300,5326,1.0,0.946676146462851
0.02,100,0.015,0.015,0.0047428337441630134,1,300,2999700,300,5220,1.0,0.9456521739130435
0.02,100,0.015,0.015,0.0047428337441630134,2,300,2999700,300,5043,1.0,0.9438517686692869
0.02,100,0.015,0.015,0.0047428337441630134,3,300,2999700,300,5329,1.0,0.94670456564221
0.02,100,0.015,0.015,0.0047428337441630134,4,300,2999700,300,5063,1.0,0.9440611597986202
0.02,100,0.015,0.015,0.0047428337441630134,5,300,2999700,300,5505,1.0,0.9483204134366925
0.02,100,0.015,0.015,0.0047428337441630134,6,300,2999700,300,5298,1.0,0.9464094319399786
0.02,100,0.015,0.015,0.0047428337441630134,7,300,2999700,300,4333,1.0,0.9352471400820203
0.02,100,0.015,0.015,0.0047428337441630134,8,300,2999700,300,4847,1.0,0.9417136195842238
0.02,100,0.015,0.015,0.0047428337441630134,9,300,2999700,300,5038,1.0,0.9437991757212439
0.02,100,0.02,0.02,0.006312668537322595,0,300,2999700,300,9175,1.0,0.9683377308707124
0.02,100,0.02,0.02,0.006312668537322595,1,300,2999700,300,9297,1.0,0.9687402313222883
0.02,100,0.02,0.02,0.006312668537322595,2,300,2999700,300,9005,1.0,0.9677592692101021
0.02,100,0.02,0.02,0.006312668537322595,3,300,2999700,300,9810,1.0,0.9703264094955489
0.02,100,0.02,0.02,0.006312668537322595,4,300,2999700,300,9144,1.0,0.9682337992376112
0.02,100,0.02,0.02,0.006312668537322595,5,300,2999700,300,9577,1.0,0.9696264047787789
0.02,100,0.02,0.02,0.006312668537322595,6,300,2999700,300,10006,1.0,0.9708907432563555
0.02,100,0.02,0.02,0.006312668537322595,7,300,2999700,300,8800,1.0,0.967032967032967
0.02,100,0.02,0.02,0.006312668537322595,8,300,2999700,300,8819,1.0,0.9671016558833205
0.02,100,0.02,0.02,0.006312668537322595,9,300,2999700,300,9653,1.0,0.9698583341706019
0.02,100,0.03,0.03,0.009457071732672446,0,300,2999700,300,19911,1.0,0.9851565978922369
0.02,100,0.03,0.03,0.009457071732672446,1,300,2999700,300,21880,1.0,0.9864743011722272
0.02,100,0.03,0.03,0.009457071732672446,2,300,2999700,300,19246,1.0,0.9846515911183874
0.02,100,0.03,0.03,0.009457071732672446,3,300,2999700,300,19282,1.0,0.9846798079869268
0.02,100,0.03,0.03,0.009457071732672446,4,300,2999700,300,19260,1.0,0.9846625766871165
0.02,100,0.03,0.03,0.009457071732672446,5,300,2999700,300,19329,1.0,0.9847164909063121
0.02,100,0.03,0.03,0.009457071732672446,6,300,2999700,300,19182,1.0,0.9846011703110563
0.02,100,0.03,0.03,0.009457071732672446,7,300,2999700,300,19154,1.0,0.9845790068880436
0.02,100,0.03,0.03,0.009457071732672446,8,300,2999700,300,18998,1.0,0.9844543476007876
0.02,100,0.03,0.03,0.009457071732672446,9,300,2999700,300,19617,1.0,0.9849374905859316
0.02,100,0.05,0.05,0.015751537045137484,0,300,2999700,300,57921,1.0,0.9948472200752306
0.02,100,0.05,0.05,0.015751537045137484,1,300,2999700,300,49560,1.0,0.9939831528279182
0.02,100,0.05,0.05,0.015751537045137484,2,300,2999700,300,57264,1.0,0.9947884094225558
0.02,100,0.05,0.05,0.015751537045137484,3,300,2999700,300,62902,1.0,0.99525331476852
0.02,100,0.05,0.05,0.015751537045137484,4,300,2999700,300,52102,1.0,0.9942750276706996
0.02,100,0.05,0.05,0.015751537045137484,5,300,2999700,300,51026,1.0,0.9941550091571523
0.02,100,0.05,0.05,0.015751537045137484,6,300,2999700,300,51102,1.0,0.9941636512197969
0.02,100,0.05,0.05,0.015751537045137484,7,300,2999700,300,53691,1.0,0.9944435183641718
0.02,100,0.05,0.05,0.015751537045137484,8,300,2999700,300,50555,1.0,0.9941008750368695
0.02,100,0.05,0.05,0.015751537045137484,9,300,2999700,300,56511,1.0,0.994719332523631
0.2,10,0.0,0.0,0.0004247940677551889,0,30,2970,30,0,1.0,0.0
0.2,10,0.0,0.0,0.0004247940677551889,1,30,2970,30,0,1.0,0.0
0.2,10,0.0,0.0,0.0004247940677551889,2,30,2970,30,0,1.0,0.0
