series,source,T,eff_pct,far_pct
"QSVT fitted, $+$bifurcation $\beta{=}0.5$ (matched 99% eff.)",12_fig6_overlay.csv,200.0,99.66666666666667,0.0
"QSVT fitted, $+$bifurcation $\beta{=}0.5$ (matched 99% eff.)",12_fig6_overlay.csv,400.0,99.10416666666667,0.06295921539061666
"QSVT fitted, $+$bifurcation $\beta{=}0.5$ (matched 99% eff.)",12_fig6_overlay.csv,700.0,99.3095238095238,1.1263050698844932
"QSVT fitted, $+$bifurcation $\beta{=}0.5$ (matched 99% eff.)",12_fig6_overlay.csv,1000.0,99.46666666666667,2.5455020293015966
"QSVT fitted, both terms (matched 99% eff.)",12_fig6_overlay.csv,10.0,100.0,0.0
"QSVT fitted, both terms (matched 99% eff.)",12_fig6_overlay.csv,50.0,99.33333333333333,0.33333333333333337
"QSVT fitted, both terms (matched 99% eff.)",12_fig6_overlay.csv,100.0,98.99999999999999,0.0
"QSVT fitted, both terms (matched 99% eff.)",12_fig6_overlay.csv,200.0,98.99999999999999,0.0
"QSVT fitted, both terms (matched 99% eff.)",12_fig6_overlay.csv,400.0,98.99999999999999,0.5024078751752135
"QSVT fitted, both terms (matched 99% eff.)",12_fig6_overlay.csv,700.0,98.99999999999999,1.6025496157438732
"QSVT fitted, both terms (matched 99% eff.)",12_fig6_overlay.csv,1000.0,98.99999999999999,3.5441379559853368
