regime,T,rep,family,degree,eps,far_e990,eff_e990,tau_e990,far_e995,eff_e995,tau_e995,far_e999,eff_e999,tau_e999,eff_f001,eff_f010,eff_fixed,far_fixed,cos_C,notes
clean,200,0,band_inverse,32.0,0.0004247940677551889,0.012345679012345678,1.0,0.3068304992892662,0.012345679012345678,1.0,0.3068304992892662,0.012345679012345678,1.0,0.3068304992892662,0.5,0.5,1.0,0.012345679012345678,0.9997467531290511,
clean,200,0,band_inverse,36.0,0.0004247940677551889,0.012345679012345678,1.0,0.3119012932904306,0.012345679012345678,1.0,0.3119012932904306,0.012345679012345678,1.0,0.3119012932904306,0.5,0.5,1.0,0.012345679012345678,0.9996866826435337,
clean,200,0,band_inverse,40.0,0.0004247940677551889,0.012345679012345678,1.0,0.31566410523162153,0.012345679012345678,1.0,0.31566410523162153,0.012345679012345678,1.0,0.31566410523162153,0.5,0.5,1.0,0.012345679012345678,0.9995772557055903,
clean,200,0,band_inverse,44.0,0.0004247940677551889,0.012345679012345678,1.0,0.31310812459302745,0.012345679012345678,1.0,0.31310812459302745,0.012345679012345678,1.0,0.31310812459302745,0.5,0.5,1.0,0.012345679012345678,0.9996225566477207,
clean,200,0,band_inverse,48.0,0.0004247940677551889,0.012345679012345678,1.0,0.3119316928775982,0.012345679012345678,1.0,0.3119316928775982,0.012345679012345678,1.0,0.3119316928775982,0.5,0.5,1.0,0.012345679012345678,0.9997282097935704,
clean,200,0,band_inverse,52.0,0.0004247940677551889,0.012345679012345678,1.0,0.31004399977572,0.012345679012345678,1.0,0.31004399977572,0.012345679012345678,1.0,0.31004399977572,0.5,0.5,1.0,0.012345679012345678,0.9997222195554268,
clean,200,0,band_inverse,64.0,0.0004247940677551889,0.012345679012345678,1.0,0.3109441689758647,0.012345679012345678,1.0,0.3109441689758647,0.012345679012345678,1.0,0.3109441689758647,0.5,0.5,1.0,0.012345679012345678,0.9996730120540872,
clean,200,0,band_inverse,68.0,0.0004247940677551889,0.012345679012345678,1.0,0.3105733010616417,0.012345679012345678,1.0,0.3105733010616417,0.012345679012345678,1.0,0.3105733010616417,0.5,0.5,1.0,0.012345679012345678,0.9996750985750236,
clean,200,0,sharp_comb,80.0,0.0004247940677551889,0.0,1.0,0.3435765881964579,0.0,1.0,0.3435765881964579,0.0,1.0,0.3435765881964579,1.0,1.0,1.0,0.0,0.9999346570525544,
clean,200,0,sharp_comb,84.0,0.0004247940677551889,0.0,1.0,0.34269904648184657,0.0,1.0,0.34269904648184657,0.0,1.0,0.34269904648184657,1.0,1.0,1.0,0.0,0.9999718363532583,
clean,200,0,sharp_comb,120.0,0.0004247940677551889,0.0,1.0,0.3608452770393355,0.0,1.0,0.3608452770393355,0.0,1.0,0.3608452770393355,1.0,1.0,1.0,0.0,0.999998217310674,
clean,200,0,sharp_comb,124.0,0.0004247940677551889,0.0,1.0,0.36086375514449004,0.0,1.0,0.36086375514449004,0.0,1.0,0.36086375514449004,1.0,1.0,1.0,0.0,0.9999983717447689,
clean,200,0,normalized_half_comb,12.0,0.0004247940677551889,0.012345679012345678,1.0,0.1554723497112231,0.012345679012345678,1.0,0.1554723497112231,0.012345679012345678,1.0,0.1554723497112231,0.5,0.5,0.5,0.024390243902439025,0.8949624029855063,
