setout,regime,T,rep,family,degree,gamma,occ_alpha,kernel,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,eff_f001,eff_f010,eff_f100,cos_C,notes
base,heavy,200,7,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,158801,794,1.5219022471685026,6.478097752831494,0.05896510228640193,0.9848866498740554,0.05896510228640193,0.9848866498740554,0.14099783080260303,0.9974811083123426,0.14099783080260303,0.9974811083123426,0.13476070528967254,0.336272040302267,0.9899244332493703,0.07749473238012616,mu=0.003
base,heavy,200,7,fitted_moment,160.0,3.0,0.0,step,0.006312668537322595,158801,794,1.5219022471685026,6.478097752831494,0.060024009603841535,0.9861460957178841,0.060024009603841535,0.9861460957178841,0.13725490196078433,0.9974811083123426,0.13725490196078433,0.9974811083123426,0.13476070528967254,0.5377833753148614,0.9861460957178841,0.09330763916174822,mu=0.00646
base,heavy,200,7,comb_prod,40.0,3.0,0.0,step,0.006312668537322595,158801,794,1.5219022471685026,6.478097752831494,0.212461695607763,0.9710327455919395,0.21370967741935484,0.982367758186398,0.9950437060735068,0.9911838790931989,0.9950062972292192,0.9987405541561712,0.0,0.0,0.8438287153652393,0.4266114242279222,
base,heavy,200,7,comb_prod,44.0,3.0,0.0,step,0.006312668537322595,158801,794,1.5219022471685026,6.478097752831494,0.21326530612244898,0.9710327455919395,0.21370967741935484,0.982367758186398,0.6549758877685226,0.9911838790931989,0.995018734846815,0.9962216624685138,0.0,0.20151133501259447,0.8438287153652393,0.2756734546516951,
base,heavy,200,7,normalized_half_comb,40.0,3.0,0.0,step,0.006312668537322595,158801,794,1.5219022471685026,6.478097752831494,0.06642512077294686,0.9735516372795969,0.6319018404907976,0.982367758186398,0.655006558810669,0.9937027707808564,0.654585152838428,0.9962216624685138,0.0012594458438287153,0.0012594458438287153,0.9798488664987406,0.19608066743769187,
base,heavy,200,7,normalized_half_comb,44.0,3.0,0.0,step,0.006312668537322595,158801,794,1.5219022471685026,6.478097752831494,0.06642512077294686,0.9735516372795969,0.07151370679380215,0.9811083123425692,0.6469798657718121,0.9937027707808564,0.6542994325621999,0.9974811083123426,0.0012594458438287153,0.0012594458438287153,0.9836272040302267,0.126755524353057,
base,heavy,200,8,classical_invA,,3.0,0.0,step,0.006312668537322595,157015,785,1.12328822864702,6.876711771352962,0.1291053227633069,0.9796178343949045,0.1871713985278654,0.9847133757961783,0.6292241789623989,0.9923566878980892,0.9950004776613699,1.0,0.0,0.0,0.5057324840764331,1.0000000000000002,reference only (tau_abs 0.350)
base,heavy,200,8,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,157015,785,1.12328822864702,6.876711771352962,0.07524271844660194,0.9707006369426752,0.14206437291897892,0.9847133757961783,0.6292241789623989,0.9923566878980892,0.9950004139784604,1.0,0.09044585987261146,0.09044585987261146,0.9732484076433121,0.09148269943372984,mu=0.003
base,heavy,200,8,fitted_moment,80.0,3.0,0.0,step,0.006312668537322595,157015,785,1.12328822864702,6.876711771352962,0.072992700729927,0.9707006369426752,0.1871713985278654,0.9847133757961783,0.6292241789623989,0.9923566878980892,0.9950004139784604,1.0,0.11082802547770701,0.5184713375796178,0.9770700636942675,0.10999892662476474,mu=0.0139
base,heavy,200,8,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,157015,785,1.12328822864702,6.876711771352962,0.07073170731707316,0.9707006369426752,0.1863157894736842,0.9847133757961783,0.6290476190476191,0.9923566878980892,0.9950004139784604,1.0,0.11719745222929936,0.5248407643312102,0.975796178343949,0.07989410172705186,mu=0.003
