setout,regime,T,rep,family,degree,gamma,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,eff_f100,notes
base,clean,1000,1,comb_prod,40.0,3.0,0.0004247940677551889,4000000,4000,2.1522409349774274,5.847759065022576,0.0,0.997,0.0,0.997,0.0,0.997,0.0,0.997,0.00075,0.99925,1.0,1.0,1.0,
base,clean,1000,2,classical_invA,,3.0,0.0004247940677551889,4000000,4000,1.9999999999999978,5.999999999999997,0.0024937655860349127,1.0,0.0024937655860349127,1.0,0.0024937655860349127,1.0,0.0024937655860349127,1.0,0.0024937655860349127,1.0,0.5,1.0,1.0,reference only (tau_abs 0.350)
base,clean,1000,2,onebqf_cos,1.0,3.0,0.0004247940677551889,4000000,4000,1.9999999999999978,5.999999999999997,0.0024975024975024975,0.9985,0.0024975024975024975,0.9985,0.0024975024975024975,0.9985,0.0024975024975024975,0.9985,0.0024937655860349127,1.0,0.5,1.0,1.0,
base,clean,1000,2,comb_prod,40.0,3.0,0.0004247940677551889,4000000,4000,1.9999999999999978,5.999999999999997,0.0,0.992,0.0,0.992,0.0,0.992,0.0,0.995,0.9990007736752374,0.999,0.995,0.998,0.998,
base,moderate,400,0,classical_invA,,3.0,0.0031777035588293387,626075,1565,0.9218663720531068,7.078133627946842,0.051681195516811954,0.9731629392971246,0.09894613583138173,0.9833865814696485,0.6579525483304042,0.994888178913738,0.9975002994848859,1.0,0.9975002994848859,1.0,0.0012779552715654952,0.0012779552715654952,0.9833865814696485,reference only (tau_abs 0.350)
base,moderate,400,0,onebqf_cos,1.0,3.0,0.0031777035588293387,626075,1565,0.9218663720531068,7.078133627946842,0.10005920663114269,0.9712460063897763,0.09894613583138173,0.9833865814696485,0.6579525483304042,0.994888178913738,0.9975002994848859,1.0,0.9975002994848859,1.0,0.0025559105431309905,0.48690095846645365,0.9833865814696485,
base,moderate,400,0,comb_prod,40.0,3.0,0.0031777035588293387,626075,1565,0.9218663720531068,7.078133627946842,0.09194029850746269,0.9718849840255591,0.09647058823529411,0.9814696485623003,0.9975018847672472,0.9993610223642172,0.9975018847672472,0.9993610223642172,0.9975018847672472,0.9993610223642172,0.4523961661341853,0.9041533546325878,0.9814696485623003,
base,moderate,400,1,classical_invA,,3.0,0.0031777035588293387,626863,1567,1.5680334951575816,6.431966504842413,0.08656716417910448,0.9763880025526483,0.14798453892876864,0.98468410976388,0.6680823954130388,0.9974473516273133,0.6680823954130388,0.9974473516273133,0.9975002512510708,1.0,0.0019144862795149968,0.0019144862795149968,0.9763880025526483,reference only (tau_abs 0.350)
base,moderate,400,1,onebqf_cos,1.0,3.0,0.0031777035588293387,626863,1567,1.5680334951575816,6.431966504842413,0.14681440443213298,0.982769623484365,0.14681440443213298,0.982769623484365,0.6679413639260675,0.9974473516273133,0.6679413639260675,0.9974473516273133,0.9975002512510708,1.0,0.008934269304403318,0.008934269304403318,0.5232929164007658,
base,moderate,400,1,comb_prod,40.0,3.0,0.0031777035588293387,626863,1567,1.5680334951575816,6.431966504842413,0.6717540842648323,0.9744735162731334,0.9975495005671566,0.9802169751116784,0.9975240732823258,0.990427568602425,0.9975113584154373,0.9955328653477984,0.9975002512510708,1.0,0.8576898532227186,0.8596043395022336,0.8895979578813018,
base,moderate,400,2,classical_invA,,3.0,0.0031777035588293387,627260,1569,0.7639320225002109,7.236067977499796,0.05493827160493827,0.975780752071383,0.0625,0.9847036328871893,0.6475225225225225,0.9974506054811982,0.6475225225225225,0.9974506054811982,0.9974986449000415,1.0,0.0,0.0,0.9847036328871893,reference only (tau_abs 0.350)
base,moderate,400,2,onebqf_cos,1.0,3.0,0.0031777035588293387,627260,1569,0.7639320225002109,7.236067977499796,0.09982279976373302,0.97131931166348,0.09871495327102804,0.9834289356277884,0.6475225225225225,0.9974506054811982,0.6475225225225225,0.9974506054811982,0.9974986449000415,1.0,0.0012746972594008922,0.0012746972594008922,0.9847036328871893,
base,moderate,400,2,comb_prod,40.0,3.0,0.0031777035588293387,627260,1569,0.7639320225002109,7.236067977499796,0.08971291866028708,0.9700446144040791,0.09582598471487361,0.9802421924792861,0.6477349560513861,0.9961759082217974,0.6477349560513861,0.9961759082217974,0.9975002311648477,0.9993626513702996,0.89993626513703,0.904397705544933,0.9834289356277884,
base,moderate,400,3,classical_invA,,3.0,0.0031777035588293387,628850,1573,1.2762465831191625,6.723753416880837,0.05466830466830467,0.9783852511125238,0.10362694300518134,0.9898283534647171,0.6532596685082873,0.9974570883661793,0.6532596685082873,0.9974570883661793,0.9974986085712014,1.0,0.003178639542275906,0.003178639542275906,0.9783852511125238,reference only (tau_abs 0.350)
base,moderate,400,3,onebqf_cos,1.0,3.0,0.0031777035588293387,628850,1573,1.2762465831191625,6.723753416880837,0.10372960372960373,0.9777495232040686,0.10311059907834101,0.9898283534647171,0.6532596685082873,0.9974570883661793,0.6532596685082873,0.9974570883661793,0.9974986085712014,1.0,0.003814367450731087,0.003814367450731087,0.5066751430387794,
base,moderate,400,3,comb_prod,40.0,3.0,0.0031777035588293387,628850,1573,1.2762465831191625,6.723753416880837,0.09354647720544701,0.9732994278448824,0.9975368513868389,0.9802924348378894,0.9975114047305672,0.9904640813731723,0.9974986085712014,1.0,0.9974986085712014,1.0,0.22695486331849968,0.9078194532739987,0.9758423394787031,
base,moderate,400,4,classical_invA,,3.0,0.0031777035588293387,624094,1560,1.2728351597263254,6.7271648402736774,0.14668153931957614,0.9807692307692307,0.14668153931957614,0.9807692307692307,0.6608905461724063,0.9910256410256411,0.9975003765458409,1.0,0.9975003765458409,1.0,0.003205128205128205,0.003205128205128205,0.967948717948718,reference only (tau_abs 0.350)
base,moderate,400,4,onebqf_cos,1.0,3.0,0.0031777035588293387,624094,1560,1.2728351597263254,6.7271648402736774,0.1448545861297539,0.9801282051282051,0.1448545861297539,0.9801282051282051,0.6608905461724063,0.9910256410256411,0.9975003765458409,1.0,0.9975003765458409,1.0,0.008333333333333333,0.008333333333333333,0.5147435897435897,
base,moderate,400,4,comb_prod,40.0,3.0,0.0031777035588293387,624094,1560,1.2728351597263254,6.7271648402736774,0.9975614584892631,0.9711538461538461,0.9975294295637954,0.9839743589743589,0.9975019748659254,0.9993589743589744,0.9975019748659254,0.9993589743589744,0.9975019748659254,0.9993589743589744,0.2153846153846154,0.4307692307692308,0.867948717948718,
base,moderate,700,0,classical_invA,,3.0,0.0031777035588293387,1917537,2739,0.7639320225002123,7.236067977499786,0.20477611940298507,0.9726177437020811,0.36550259556394527,0.981745162468054,0.846062591797537,0.9948886454910552,0.9985716051372151,1.0,0.9985716051372151,1.0,0.0,0.0,0.48886454910551297,reference only (tau_abs 0.350)
base,moderate,700,0,onebqf_cos,1.0,3.0,0.0031777035588293387,1917537,2739,0.7639320225002123,7.236067977499786,0.36524822695035464,0.9802847754654983,0.36524822695035464,0.9802847754654983,0.846062591797537,0.9948886454910552,0.9985716051372151,1.0,0.9985716051372151,1.0,0.0014603870025556773,0.0014603870025556773,0.49069003285870755,
base,moderate,700,0,comb_prod,40.0,3.0,0.0031777035588293387,1917537,2739,0.7639320225002123,7.236067977499786,0.36502627806975635,0.9704271631982475,0.8462495053982251,0.9930631617378606,0.8462495053982251,0.9930631617378606,0.9985736844520654,0.9985396129974443,0.9985726444200149,0.9992698064987222,0.0,0.40963855421686746,0.8247535596933188,
base,moderate,700,1,classical_invA,,3.0,0.0031777035588293387,1924454,2750,1.2396649496459224,6.76033505035396,0.17149014778325122,0.9785454545454545,0.32266133066533265,0.9847272727272727,0.8524501884760366,0.9963636363636363,0.8524501884760366,0.9963636363636363,0.9985710232616628,1.0,0.0007272727272727272,0.0007272727272727272,0.49636363636363634,reference only (tau_abs 0.350)
base,moderate,700,1,onebqf_cos,1.0,3.0,0.0031777035588293387,1924454,2750,1.2396649496459224,6.76033505035396,0.3215538847117794,0.9843636363636363,0.3215538847117794,0.9843636363636363,0.8524422424470892,0.9963636363636363,0.8524422424470892,0.9963636363636363,0.9985710232616628,1.0,0.0036363636363636364,0.0036363636363636364,0.5156363636363637,
base,moderate,700,1,comb_prod,40.0,3.0,0.0031777035588293387,1924454,2750,1.2396649496459224,6.76033505035396,0.9985982920840941,0.9734545454545455,0.998588885549455,0.98,0.9985710232616628,1.0,0.9985710232616628,1.0,0.9985710232616628,1.0,0.0,0.432,0.864,
base,moderate,700,2,classical_invA,,3.0,0.0031777035588293387,1936256,2766,0.5928790789532734,7.407120921046722,0.2061046511627907,0.9873463485177151,0.2061046511627907,0.9873463485177151,0.36397400185701023,0.9906001446131598,0.8573199710713917,0.9985538684020245,0.9985714698882793,1.0,0.0,0.0,0.5003615328994938,reference only (tau_abs 0.350)
base,moderate,700,2,onebqf_cos,1.0,3.0,0.0031777035588293387,1936256,2766,0.5928790789532734,7.407120921046722,0.36312849162011174,0.9891540130151844,0.36312849162011174,0.9891540130151844,0.3628750872295883,0.9902386117136659,0.8573199710713917,0.9985538684020245,0.9985714698882793,1.0,0.0010845986984815619,0.0010845986984815619,0.5014461315979755,
base,moderate,700,2,comb_prod,40.0,3.0,0.0031777035588293387,1936256,2766,0.5928790789532734,7.407120921046722,0.3600381497377206,0.970354302241504,0.36145710928319624,0.9822848879248012,0.9985771325838704,0.9960231381055676,0.9985771325838704,0.9960231381055676,0.9985724998605553,0.9992769342010123,0.0,0.43383947939262474,0.8702096890817065,
base,moderate,1000,0,classical_invA,,3.0,0.0031777035588293387,3912481,3914,1.0965366810276518,6.903463318972305,0.38073691014867483,0.9790495656617272,0.5820329432162982,0.9854368932038835,0.92003367003367,0.9951456310679612,0.92003367003367,0.9951456310679612,0.998999611755303,1.0,0.0,0.0,0.0,reference only (tau_abs 0.350)
base,moderate,1000,0,onebqf_cos,1.0,3.0,0.0031777035588293387,3912481,3914,1.0965366810276518,6.903463318972305,0.5817924733521862,0.9823709759836484,0.5817924733521862,0.9823709759836484,0.920028744482086,0.9951456310679612,0.920028744482086,0.9951456310679612,0.998999611755303,1.0,0.0015329586101175269,0.0015329586101175269,0.004087889626980072,
base,moderate,1000,0,comb_prod,40.0,3.0,0.0031777035588293387,3912481,3914,1.0965366810276518,6.903463318972305,0.9990177811562709,0.971895758814512,0.9990118556869674,0.9877363311190598,0.999009557830832,0.9900357690342361,0.999004455540697,0.9951456310679612,0.9989996114996115,1.0,0.0,0.19545222278998467,0.7818088911599387,
base,moderate,1000,1,classical_invA,,3.0,0.0031777035588293387,3926335,3926,0.7639320225002113,7.236067977499788,0.34725759891322805,0.9791136016301579,0.5530661739230858,0.9857361181864494,0.9203584886444648,0.9959246051961284,0.9203584886444648,0.9959246051961284,0.9990000853212984,1.0,0.0,0.0,0.49694345389709627,reference only (tau_abs 0.350)
base,moderate,1000,1,onebqf_cos,1.0,3.0,0.0031777035588293387,3926335,3926,0.7639320225002113,7.236067977499788,0.5525553366554641,0.9834437086092715,0.5525553366554641,0.9834437086092715,0.920353621771368,0.9959246051961284,0.920353621771368,0.9959246051961284,0.9990000853212984,1.0,0.0010188487009679063,0.0010188487009679063,0.49949057564951604,
