regime,setout,family,degree,eff_f010,far_e990,eff_e990
heavy,fork_b0.5,fitted_moment,36.0,0.9133205511503963,0.7296597633136095,0.99367072381282
heavy,fork_b0.5,fitted_moment,40.0,0.9120450409463148,0.7131806350107535,0.9936467495899044
heavy,fork_b0.5,fitted_moment,44.0,0.9222499350058496,0.7120238094916356,0.994281267356402
heavy,fork_b0.5,fitted_moment,48.0,0.9286193617574419,0.7302889204303945,0.994281267356402
heavy,fork_b0.5,fitted_moment,56.0,0.9260333032351482,0.7111317266783563,0.99367072381282
heavy,fork_b0.5,fitted_moment,64.0,0.929369987876902,0.6994551146087796,0.994281267356402
heavy,fork_b0.5,fitted_moment,80.0,0.9323415463693436,0.6734311433846283,0.99367072381282
heavy,fork_b0.5,fitted_moment,84.0,0.9304379930698512,0.6964316571241926,0.994281267356402
heavy,fork_b0.5,fitted_moment,96.0,0.9360008984581816,0.6920097139042944,0.9936346250465956
heavy,fork_b0.5,fitted_moment,120.0,0.938180001299883,0.6812672265772675,0.994281267356402
heavy,fork_b0.5,fitted_moment,160.0,0.9382237627875578,0.6533357124341752,0.994281267356402
heavy,fork_b0.5,onebqf_cos,1.0,0.01147475456504145,0.6450526056222259,0.9930369490927176
heavy,occ0.05_fork0.5,classical_invA,,0.0044368052432049495,0.19360565551332815,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,4.0,0.0057203595331242005,0.99503166407182,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,8.0,0.012077661741407699,0.6517793693093493,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,12.0,0.015889618157716,0.6504017440299434,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,16.0,0.010165200656152649,0.9950425543460069,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,20.0,0.0057171180945738,0.6500418972765962,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,24.0,0.0063654368529215,0.993453434822452,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,28.0,0.0038119502460572004,0.9923233051986425,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,32.0,0.0038022874767075,0.6484602827566657,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,36.0,0.002534858317805,0.9950390154548757,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,40.0,0.0012674291589025,0.937488072205112,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,44.0,0.0012674291589025,0.8553090189056328,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,48.0,0.00127146044165665,0.9901885364186644,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,56.0,0.00126985406756425,0.9950259626102202,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,64.0,0.0018939636103261499,0.9941618200248665,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,80.0,0.0,0.9950396047490468,0.9911054494258664
heavy,occ0.05_fork0.5,comb_prod,120.0,0.0,0.990313214794474,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,4.0,0.005715577370188549,0.20847247200196184,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,8.0,0.01269697752518725,0.2123404078715752,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,12.0,0.036223285589576104,0.4665572676325389,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,16.0,0.0845038813758541,0.37699034643055496,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,20.0,0.49650403503986906,0.524406500007449,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,24.0,0.4878980891719745,0.7089731481702501,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,28.0,0.49299363057324835,0.6259241583378391,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,32.0,0.49171974522292994,0.5015641505810045,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,36.0,0.49966940411911154,0.3276339275125121,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,40.0,0.5094410489841322,0.3295740347736963,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,44.0,0.6435150571964896,0.414786893794931,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,48.0,0.9024860262576369,0.34136432350718066,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,56.0,0.912686045755882,0.27996944993644657,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,64.0,0.9043992915637592,0.306562170453456,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,80.0,0.9063765773484966,0.2301474946317006,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,84.0,0.9101966168146648,0.23711121565240184,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,96.0,0.912050727934486,0.2390029325513196,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,120.0,0.9133837695383498,0.21791008029263093,0.9911054494258664
heavy,occ0.05_fork0.5,fitted_moment,160.0,0.9204340286219024,0.22481355952219273,0.9911054494258664
heavy,occ0.05_fork0.5,onebqf_cos,1.0,0.0,0.9950422053519261,0.9911054494258664
