setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes
occ_a0.05,moderate,200,1,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.993420771564062,0.990990990990991,0.993393367760659,0.9961389961389961,0.9933680437009218,1.0,0.4839124839124839,0.4864864864864865,0.9087544894806108,
occ_a0.05,moderate,200,1,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.9949673531545545,0.990990990990991,0.9949423334531317,0.9961389961389961,0.994984022465382,1.0,0.0,0.0,0.9985094752232528,
occ_a0.05,moderate,200,1,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.9949683397481556,0.990990990990991,0.9949741238807036,0.9961389961389961,0.9949843462543976,1.0,0.0,0.0,0.9918847166669645,
occ_a0.05,moderate,200,2,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.018726591760299626,0.9911727616645649,0.029484029484029485,0.9962168978562421,0.11986681465038845,1.0,0.49558638083228246,0.49936948297604034,1.0000000000000002,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,2,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.0038022813688212928,0.9911727616645649,0.00878293601003764,0.9962168978562421,0.013681592039800995,1.0,0.9747793190416141,0.9987389659520807,0.12312727652920875,mu=0.003
occ_a0.05,moderate,200,2,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.0038022813688212928,0.9911727616645649,0.007537688442211055,0.9962168978562421,0.052568697729988054,1.0,0.9747793190416141,0.9962168978562421,0.12305546398211824,mu=0.003
occ_a0.05,moderate,200,2,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.0038022813688212928,0.9911727616645649,0.01373283395755306,0.9962168978562421,0.0681551116333725,1.0,0.978562421185372,0.9949558638083228,0.12231791622335966,mu=0.003
occ_a0.05,moderate,200,2,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.0038022813688212928,0.9911727616645649,0.0161892901618929,0.9962168978562421,0.057074910820451845,1.0,0.978562421185372,0.9924337957124842,0.12229990758041188,mu=0.003
occ_a0.05,moderate,200,2,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.2982142857142857,0.9911727616645649,0.2990239574090506,0.9962168978562421,0.3000882612533098,1.0,0.0012610340479192938,0.0012610340479192938,0.7902658389772446,
occ_a0.05,moderate,200,2,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.2982142857142857,0.9911727616645649,0.2990239574090506,0.9962168978562421,0.9805637254901961,1.0,0.0012610340479192938,0.0012610340479192938,0.7089639104736449,
occ_a0.05,moderate,200,2,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.993124081461264,0.9911727616645649,0.9930893313271983,0.9962168978562421,0.9949747469946706,1.0,0.0,0.0,0.9985727051868507,
occ_a0.05,moderate,200,2,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022502257475769,44.000809689367436,0.9946360205550968,0.9911727616645649,0.9946088701147151,0.9962168978562421,0.9949787244820425,1.0,0.0,0.0,0.9932715942158372,
