setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes,eff_fixed_tau,far_fixed_tau,tau_fixed
base,moderate,400,0,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.9218663720536228,7.078133627945929,0.9975018847672472,0.9993610223642172,0.9975018847672472,0.9993610223642172,0.9975018847672472,0.9993610223642172,0.678594249201278,0.9041533546325878,0.7958589277973778,,,,
base,moderate,400,0,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.9218663720536228,7.078133627945929,0.9975002954922262,1.0,0.9975002954922262,1.0,0.9975002954922262,1.0,0.678594249201278,0.9041533546325878,0.863495889279637,,,,
base,moderate,400,0,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.9218663720536228,7.078133627945929,0.6579525483304042,0.994888178913738,0.997500299484886,1.0,0.997500299484886,1.0,0.0006389776357827,0.9431309904153354,0.1940576456524366,,,,
base,moderate,400,0,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.9218663720536228,7.078133627945929,0.6579525483304042,0.994888178913738,0.997500299484886,1.0,0.997500299484886,1.0,0.0006389776357827,0.9424920127795527,0.0984144530089992,,,,
base,moderate,400,1,classical_invA,,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.568033495157581,6.4319665048424,0.6680823954130388,0.9974473516273132,0.6680823954130388,0.9974473516273132,0.9975002512510708,1.0,0.0019144862795149,0.0019144862795149,1.0,fixed-tau 0.350: eff 0.9847 far 0.1480,,,
base,moderate,400,1,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.568033495157581,6.4319665048424,0.6680823954130388,0.9974473516273132,0.6680823954130388,0.9974473516273132,0.9975002432756224,1.0,0.9132099553286536,0.9419272495213784,0.080723513366379,mu=0.03,,,
base,moderate,400,1,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.568033495157581,6.4319665048424,0.6680823954130388,0.9974473516273132,0.6680823954130388,0.9974473516273132,0.9975002432756224,1.0,0.9176770899808552,0.9432035737077218,0.0808538102481963,mu=0.03,,,
base,moderate,400,1,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.568033495157581,6.4319665048424,0.9975240732823258,0.990427568602425,0.9975113584154373,0.9955328653477984,0.9975002512510708,1.0,0.8583280153158902,0.8596043395022336,0.4766872304439261,,,,
base,moderate,400,1,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.568033495157581,6.4319665048424,0.6692946942254422,0.990427568602425,0.9975081917001408,0.9968091895341415,0.997501842510792,0.9993618379068284,0.4288449266113593,0.8596043395022336,0.20415360239236,,,,
base,moderate,400,1,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.568033495157581,6.4319665048424,0.6684423609631366,0.9929802169751116,0.6681557115507338,0.9955328653477984,0.997501838525606,0.9993618379068284,0.0012763241863433,0.9246968730057434,0.1951504076554248,,,,
