setout,regime,T,rep,family,degree,gamma,occ_alpha,fork_beta,kernel,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,eff_f001,eff_f010,eff_f100,cos_C,notes
fork_b0.5,heavy,200,3,fitted_moment,40.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.07496977025392987,0.9708121827411168,0.24097560975609755,0.9873096446700508,0.7097488921713442,0.9974619289340102,0.7097488921713442,0.9974619289340102,0.01015228426395939,0.8934010152284264,0.9733502538071066,0.12374557643352463,mu=0.646
fork_b0.5,heavy,200,3,fitted_moment,80.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.08263473053892216,0.9720812182741116,0.13938053097345132,0.9873096446700508,0.6882189607298691,0.9974619289340102,0.6882189607298691,0.9974619289340102,0.45685279187817257,0.9263959390862944,0.9784263959390863,0.12262007415242228,mu=0.646
fork_b0.5,heavy,200,3,fitted_moment,84.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.08820023837902265,0.9708121827411168,0.13747228381374724,0.9873096446700508,0.6620808254514188,0.9974619289340102,0.6620808254514188,0.9974619289340102,0.8756345177664975,0.9225888324873096,0.9720812182741116,0.12005297102986681,mu=0.3
fork_b0.5,heavy,200,3,fitted_moment,160.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.09144893111638955,0.9708121827411168,0.13101903695408734,0.9847715736040609,0.6778688524590164,0.9974619289340102,0.6778688524590164,0.9974619289340102,0.9137055837563451,0.9302030456852792,0.9708121827411168,0.11737393743562144,mu=0.139
fork_b0.5,heavy,200,3,comb_prod,40.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.9606258685470174,0.9708121827411168,0.9950479529619511,0.9822335025380711,0.9950247493336718,0.9949238578680203,0.9950187194618948,0.9961928934010152,0.0,0.8426395939086294,0.8870558375634517,0.5047180109155542,
fork_b0.5,heavy,200,3,comb_prod,44.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.9607269367010627,0.9708121827411168,0.9950189768604734,0.9809644670050761,0.9949702465287616,0.9911167512690355,0.9949630216756262,1.0,0.0,0.8426395939086294,0.8870558375634517,0.6041231472009194,
fork_b0.5,heavy,200,3,normalized_half_comb,40.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.7816059225512528,0.9733502538071066,0.7946949602122015,0.9822335025380711,0.9643393906271348,0.9936548223350253,0.9950172333902491,0.9961928934010152,0.0012690355329949238,0.38451776649746194,0.9137055837563451,0.2147117531886936,
fork_b0.5,heavy,200,3,normalized_half_comb,44.0,3.0,0.0,0.5,step,0.006312668537322595,157608,788,1.67429444614637,8.109700134695846,0.25511197663096397,0.9708121827411168,0.7901966065176407,0.9885786802030457,0.9643475093343047,0.9936548223350253,0.9643392540771363,0.9961928934010152,0.0012690355329949238,0.38451776649746194,0.9137055837563451,0.12957881326701826,
fork_b0.5,heavy,200,4,classical_invA,,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.14933628318584072,0.9734177215189873,0.15376226826608505,0.9822784810126582,0.6027397260273972,0.9911392405063291,0.6310360993905297,0.9962025316455696,0.0037974683544303796,0.0037974683544303796,0.5113924050632911,1.0,reference only (tau_abs 0.350)
fork_b0.5,heavy,200,4,fitted_moment,40.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.08363201911589008,0.970886075949367,0.13377926421404682,0.9835443037974684,0.14705882352941177,0.9911392405063291,0.9024811751635601,1.0,0.017721518987341773,0.8734177215189873,0.9759493670886076,0.12270117420809414,mu=0.3
fork_b0.5,heavy,200,4,fitted_moment,80.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.150609080841639,0.970886075949367,0.17796610169491525,0.9822784810126582,0.6463414634146342,0.9911392405063291,0.7613430127041743,0.9987341772151899,0.45569620253164556,0.9012658227848102,0.959493670886076,0.11751038562989474,mu=0.0646
fork_b0.5,heavy,200,4,fitted_moment,84.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.12727272727272726,0.9721518987341772,0.1594360086767896,0.9810126582278481,0.2050761421319797,0.9911392405063291,0.7662721893491125,1.0,0.46455696202531643,0.9037974683544304,0.9632911392405064,0.11997449151496353,mu=0.139
fork_b0.5,heavy,200,4,fitted_moment,160.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.09551886792452831,0.970886075949367,0.16505894962486603,0.9860759493670886,0.20264765784114053,0.9911392405063291,0.7416612164813604,1.0,0.4139240506329114,0.9278481012658227,0.970886075949367,0.1090025496982985,mu=0.003
fork_b0.5,heavy,200,4,comb_prod,40.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.9646625201566459,0.970886075949367,0.9949174328773233,0.9810126582278481,0.9948666845862862,0.9911392405063291,0.9948565699180958,1.0,0.0,0.4443037974683544,0.9050632911392406,0.679418564533159,
fork_b0.5,heavy,200,4,comb_prod,44.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.9645334319800241,0.970886075949367,0.9702483780567392,0.9810126582278481,0.9700905305779441,0.9911392405063291,0.9950001898662076,1.0,0.0,0.4417721518987342,0.8974683544303798,0.37146754739876536,
fork_b0.5,heavy,200,4,normalized_half_comb,40.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.8890647482014389,0.9759493670886076,0.9022801302931596,0.9873417721518988,0.971299758082252,0.9911392405063291,0.9710904294298696,0.9987341772151899,0.006329113924050633,0.006329113924050633,0.8164556962025317,0.2171475484415463,
fork_b0.5,heavy,200,4,normalized_half_comb,44.0,3.0,0.0,0.5,step,0.006312668537322595,158006,790,1.4424804616670002,9.024426432438693,0.2757318224740321,0.970886075949367,0.31355181576616475,0.9810126582278481,0.897938010634159,0.9962025316455696,0.897938010634159,0.9962025316455696,0.0037974683544303796,0.0037974683544303796,0.8164556962025317,0.1329886912024157,
fork_b0.5,heavy,200,5,classical_invA,,3.0,0.0,0.5,step,0.006312668537322595,156814,784,2.000000000000003,7.508640799378373,0.13789237668161436,0.9808673469387755,0.13789237668161436,0.9808673469387755,0.631578947368421,0.9910714285714286,0.9945882888914965,1.0,0.03316326530612245,0.03316326530612245,0.9451530612244898,0.9999999999999998,reference only (tau_abs 0.350)
