source,provenance,regime,T,rep,solver,response_family,degree,kernel,gamma,eps_setout,fork_beta,occ_alpha,normalization,composed,metric,target_eff,tau,eff,far,notes
store,metrics.csv:Larger_Scatter:sol_1cf84f7e656d5738,"other(sc=0.0005,res=0,drop=0.1)",100,6,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.8832335329341318,0.0033783783783783,
store,metrics.csv:Larger_Scatter:sol_1cf84f7e656d5738,"other(sc=0.0005,res=0,drop=0.1)",100,6,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9898879806236754,
store,metrics.csv:Noisy_Density:sol_057339d48de98f13,moderate,50,13,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9790575916230366,0.5651162790697675,
store,metrics.csv:Noisy_Density:sol_057339d48de98f13,moderate,50,13,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9800125575554626,
store,metrics.csv:Noisy_Density:sol_79ba69c54faa25b6,moderate,50,13,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9528795811518324,0.3132075471698113,
store,metrics.csv:Noisy_Density:sol_79ba69c54faa25b6,moderate,50,13,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9800125575554626,
store,metrics.csv:Larger_Scatter:sol_2fb9907b2ac28c91,"other(sc=0.0007,res=0,drop=0.05)",10,14,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9117647058823528,0.0,
store,metrics.csv:Larger_Scatter:sol_2fb9907b2ac28c91,"other(sc=0.0007,res=0,drop=0.05)",10,14,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9,
store,metrics.csv:QSVT_robustness:sol_fdb4a4cef0fe1ce2,"other(sc=0.0002,res=0,drop=0)",100,2,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:QSVT_robustness:sol_fdb4a4cef0fe1ce2,"other(sc=0.0002,res=0,drop=0)",100,2,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3636363734735717,1.0,0.0,
store,metrics.csv:QSVT_robustness:sol_6d2d9e6673af3405,"other(sc=0.0002,res=0,drop=0)",100,2,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:QSVT_robustness:sol_6d2d9e6673af3405,"other(sc=0.0002,res=0,drop=0)",100,2,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3645849303735576,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Larger_Scatter:sol_e6f6bd51d8d0a015,"other(sc=0.0003,res=0,drop=0.02)",10,17,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.945945945945946,0.0,
store,metrics.csv:Larger_Scatter:sol_e6f6bd51d8d0a015,"other(sc=0.0003,res=0,drop=0.02)",10,17,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3333333422674407,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_0e32acfcb020619e,clean,75,9,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_0e32acfcb020619e,clean,75,9,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3636363734735717,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_f0389f4155e590e5,clean,75,9,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_f0389f4155e590e5,clean,75,9,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3645849228599656,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_8cdf5bf0f4a6ee80,clean,75,9,classical,classical_invA,,step,1.0,formula,0.0,0.0,raw,none,fixed_tau,,0.6,1.0,0.0196078431372549,
store,metrics.csv:Verify_new_results:sol_8cdf5bf0f4a6ee80,clean,75,9,classical,classical_invA,,step,1.0,formula,0.0,0.0,raw,none,wp,0.99,1.999999999,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_c5264c1464454222,clean,75,9,qsvt,comb_prod,40.0,step,1.0,formula,0.0,0.0,raw,none,fixed_tau,,0.6,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_c5264c1464454222,clean,75,9,qsvt,comb_prod,40.0,step,1.0,formula,0.0,0.0,raw,none,wp,0.99,2.011062062009313,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_44ba040905fefe6b,clean,75,9,classical,classical_invA,,step,2.0,formula,0.0,0.0,raw,none,fixed_tau,,0.4333333333333333,1.0,0.0196078431372549,
store,metrics.csv:Verify_new_results:sol_44ba040905fefe6b,clean,75,9,classical,classical_invA,,step,2.0,formula,0.0,0.0,raw,none,wp,0.99,0.6000000228418579,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_3cdff5f319616387,clean,75,9,qsvt,comb_prod,40.0,step,2.0,formula,0.0,0.0,raw,none,fixed_tau,,0.4333333333333333,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_3cdff5f319616387,clean,75,9,qsvt,comb_prod,40.0,step,2.0,formula,0.0,0.0,raw,none,wp,0.99,0.604794323302172,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_09b9907b419f5ccf,clean,75,9,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.75,0.0,
store,metrics.csv:Verify_new_results:sol_09b9907b419f5ccf,clean,75,9,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.1801742156423248,1.0,0.0196078431372549,
store,metrics.csv:Larger_Scatter:sol_7d4f3014bf39956a,"other(sc=0.001,res=0,drop=0.1)",200,13,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.8440366972477065,0.0965630114566284,
store,metrics.csv:Larger_Scatter:sol_7d4f3014bf39956a,"other(sc=0.001,res=0,drop=0.1)",200,13,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9950163454724184,
store,metrics.csv:Larger_Scatter:sol_fba6c8fbfef2e978,"other(sc=0.0005,res=0,drop=0.1)",1000,1,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.8626237623762376,0.2378348824494259,
store,metrics.csv:Larger_Scatter:sol_fba6c8fbfef2e978,"other(sc=0.0005,res=0,drop=0.1)",1000,1,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9990010897764382,
store,metrics.csv:Larger_Scatter:sol_87852e0b503e9d54,"other(sc=0.0005,res=0,drop=0.1)",1000,1,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.6277846534653465,0.2202152190622598,
store,metrics.csv:Larger_Scatter:sol_87852e0b503e9d54,"other(sc=0.0005,res=0,drop=0.1)",1000,1,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,1e-06,0.9489480198019802,0.835496674533362,
store,metrics.csv:Larger_Scatter:sol_0d8bc449d037c2cf,"other(sc=0.0005,res=0,drop=0.1)",1000,1,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.681930693069307,0.0036166365280289,campaign default d=40 line-comb
store,metrics.csv:Larger_Scatter:sol_0d8bc449d037c2cf,"other(sc=0.0005,res=0,drop=0.1)",1000,1,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.002357116877282,1.0,0.9990010894677062,campaign default d=40 line-comb
store,metrics.csv:Larger_Scatter:sol_10ee5ec5697b3432,"other(sc=0.0007,res=0,drop=0.01)",100,11,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9794871794871794,0.0026109660574412,
store,metrics.csv:Larger_Scatter:sol_10ee5ec5697b3432,"other(sc=0.0007,res=0,drop=0.01)",100,11,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9900015382248885,
store,metrics.csv:Larger_Scatter:sol_37b002cbdf19e0d2,"other(sc=0.0001,res=0,drop=0.05)",50,11,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.8971428571428571,0.0,
store,metrics.csv:Larger_Scatter:sol_37b002cbdf19e0d2,"other(sc=0.0001,res=0,drop=0.05)",50,11,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9799794073904587,
store,metrics.csv:Noisy_Density:sol_74902fa8416c4b5e,moderate,100,3,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9898734177215188,0.824032403240324,
store,metrics.csv:Noisy_Density:sol_74902fa8416c4b5e,moderate,100,3,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3333333124651184,0.9949367088607596,0.8892957746478873,
store,metrics.csv:Noisy_Density:sol_26c42043c59bb9b7,moderate,100,3,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9367088607594936,0.5692665890570431,
store,metrics.csv:Noisy_Density:sol_26c42043c59bb9b7,moderate,100,3,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.990000253158148,
store,metrics.csv:Larger_Scatter:sol_1ca3ba1bc970daa4,"other(sc=0.0001,res=0,drop=0.02)",10,8,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9473684210526316,0.0,
store,metrics.csv:Larger_Scatter:sol_1ca3ba1bc970daa4,"other(sc=0.0001,res=0,drop=0.02)",10,8,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9,
store,metrics.csv:Larger_Scatter:sol_bc9fc036de02e3f8,"other(sc=0.0003,res=0,drop=0.05)",20,7,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9466666666666668,0.0,
store,metrics.csv:Larger_Scatter:sol_bc9fc036de02e3f8,"other(sc=0.0003,res=0,drop=0.05)",20,7,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3333333422674407,1.0,0.0,
store,metrics.csv:Larger_Scatter:sol_e1678f0fb4733309,"other(sc=0.0005,res=0,drop=0.01)",50,17,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.995,0.0,
store,metrics.csv:Larger_Scatter:sol_e1678f0fb4733309,"other(sc=0.0005,res=0,drop=0.01)",50,17,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3571428646578063,0.995,0.0,
store,metrics.csv:ERF:sol_7b2def4ef599fe28,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_7b2def4ef599fe28,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.999999999,1.0,0.0,
store,metrics.csv:ERF:sol_b2160b6f5dfe825b,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_b2160b6f5dfe825b,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.999999999,1.0,0.0,
store,metrics.csv:ERF:sol_da92f62e54eca473,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_da92f62e54eca473,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.9995477189554444,1.0,0.0,
store,metrics.csv:ERF:sol_8b369ef735ec21d5,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_8b369ef735ec21d5,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.9171932329668274,1.0,0.0,
store,metrics.csv:ERF:sol_42f7b3ae8f34eb0a,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_42f7b3ae8f34eb0a,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.7784987678064575,1.0,0.0,
store,metrics.csv:ERF:sol_52d7ea483224aefb,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_52d7ea483224aefb,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.4440205683244934,1.0,0.0,
store,metrics.csv:ERF:sol_4992da647f5a0c8f,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_4992da647f5a0c8f,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3988158692850341,1.0,0.0,
store,metrics.csv:ERF:sol_9b83b53a6361101e,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_9b83b53a6361101e,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3942199339403381,1.0,0.0,
store,metrics.csv:ERF:sol_9fa10f98d70340aa,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_9fa10f98d70340aa,clean,10,6,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3783808042539825,1.0,0.0,
store,metrics.csv:ERF:sol_9454f2cd1dcdc54a,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_9454f2cd1dcdc54a,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.5580011083077623,1.0,0.0,
store,metrics.csv:ERF:sol_0b7850f1bc64d495,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_0b7850f1bc64d495,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.5580011083077623,1.0,0.0,
store,metrics.csv:ERF:sol_fe338aad26c2162e,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_fe338aad26c2162e,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.5579749410539616,1.0,0.0,
store,metrics.csv:ERF:sol_66bfb80f0a9e6566,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_66bfb80f0a9e6566,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.5473750065629465,1.0,0.0,
store,metrics.csv:ERF:sol_407dfffeae381475,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:ERF:sol_407dfffeae381475,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.5095795598591827,1.0,0.0,
store,metrics.csv:ERF:sol_eccd6b936fcb4fc6,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.75,0.0,
store,metrics.csv:ERF:sol_eccd6b936fcb4fc6,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.2620199641061054,1.0,0.0,
store,metrics.csv:ERF:sol_66c0826f831caf06,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.75,0.0,
store,metrics.csv:ERF:sol_66c0826f831caf06,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.2152569045051094,1.0,0.0,
store,metrics.csv:ERF:sol_180e65d62bb47d37,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.75,0.0,
store,metrics.csv:ERF:sol_180e65d62bb47d37,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.2105641267889988,1.0,0.0,
store,metrics.csv:ERF:sol_8b2573aaf0cc9c46,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.75,0.0,
store,metrics.csv:ERF:sol_8b2573aaf0cc9c46,clean,10,6,quantum,1bqf_cos,1.0,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.194607352595917,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_e6ce3b16b39d3e64,clean,10,6,classical,classical_invA,,step,1.0,formula,0.0,0.0,raw,none,fixed_tau,,0.6,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_e6ce3b16b39d3e64,clean,10,6,classical,classical_invA,,step,1.0,formula,0.0,0.0,raw,none,wp,0.99,1.999999999,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_e6f9170ca4d10858,clean,10,6,classical,classical_invA,,step,2.0,formula,0.0,0.0,raw,none,fixed_tau,,0.4333333333333333,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_e6f9170ca4d10858,clean,10,6,classical,classical_invA,,step,2.0,formula,0.0,0.0,raw,none,wp,0.99,0.6000000228418579,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_79a67d502c17e8e2,clean,10,6,classical,classical_invA,,step,1.0,formula,0.0,0.0,raw,none,fixed_tau,,0.6,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_79a67d502c17e8e2,clean,10,6,classical,classical_invA,,step,1.0,formula,0.0,0.0,raw,none,wp,0.99,1.999999999,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_ab1126dbb9637996,clean,10,6,classical,classical_invA,,step,2.0,formula,0.0,0.0,raw,none,fixed_tau,,0.4333333333333333,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_ab1126dbb9637996,clean,10,6,classical,classical_invA,,step,2.0,formula,0.0,0.0,raw,none,wp,0.99,0.6000000228418579,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_3a9a0e92a55bc3aa,clean,10,6,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_3a9a0e92a55bc3aa,clean,10,6,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3636363734735717,1.0,0.0,
store,metrics.csv:Verify_new_results:sol_7100bd2382c568ee,clean,10,6,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_7100bd2382c568ee,clean,10,6,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3645849379157698,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Verify_new_results:sol_bb7c9d4e0e64130f,clean,10,6,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.75,0.0,
store,metrics.csv:Verify_new_results:sol_bb7c9d4e0e64130f,clean,10,6,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.1801742137559731,1.0,0.0,
store,metrics.csv:QSVT_robustness:sol_615c30c90716e380,"other(sc=0.0001,res=0.0075,drop=0)",100,2,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.029126213592233,
store,metrics.csv:QSVT_robustness:sol_615c30c90716e380,"other(sc=0.0001,res=0.0075,drop=0)",100,2,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3636362840666046,1.0,0.024390243902439,
store,metrics.csv:QSVT_robustness:sol_7c9c4260b8ca3249,"other(sc=0.0001,res=0.0075,drop=0)",100,2,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.94,0.0,campaign default d=40 line-comb
store,metrics.csv:QSVT_robustness:sol_7c9c4260b8ca3249,"other(sc=0.0001,res=0.0075,drop=0)",100,2,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.0323789202365668,0.99,0.0222222222222222,campaign default d=40 line-comb
store,metrics.csv:ERF:sol_6f1d23b15e46b094,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.935,0.9332238251678332,
store,metrics.csv:ERF:sol_6f1d23b15e46b094,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.2999980141653289,0.99,0.929922667185758,
store,metrics.csv:ERF:sol_be793c5dee8191a3,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9355,0.9331678305441946,
store,metrics.csv:ERF:sol_be793c5dee8191a3,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3000229885114898,0.99,0.930121757543674,
store,metrics.csv:ERF:sol_55fe43d2991b819e,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.949,0.932222757869552,
store,metrics.csv:ERF:sol_55fe43d2991b819e,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.2949500371946563,0.99,0.9309803921568628,
store,metrics.csv:ERF:sol_0fd80d6a041891a1,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9505,0.931919922644415,
store,metrics.csv:ERF:sol_0fd80d6a041891a1,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3147423853410949,0.99,0.93097678309977,
store,metrics.csv:ERF:sol_49698d5d983614d8,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.949,0.9318760992067764,
store,metrics.csv:ERF:sol_49698d5d983614d8,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3056553592218627,0.99,0.9320743065918798,
store,metrics.csv:ERF:sol_3256b74957ec3ca2,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.965,0.9296775368919658,
store,metrics.csv:ERF:sol_3256b74957ec3ca2,"other(sc=0.0003,res=0.01,drop=0)",1000,0,classical,classical_invA,,erf,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.4985980977548828,0.99,0.8582169709989259,
