n_trk,rep,n_true_clean,n_true_C,n_active_C,n_false_C,n_true_Q,n_active_Q,n_false_Q,n_true_total,n_false_total,success_prob,t_quantum,se_C,se_Q,fr_C,fr_Q
20,30006,80,80,80,0,80,80,0,80,1520,0.011072,4.589877605438232,100.0,100.0,0.0,0.0
20,30007,80,80,80,0,80,80,0,80,1520,0.011119,4.605537176132202,100.0,100.0,0.0,0.0
20,30008,80,76,76,0,78,78,0,78,1482,0.010673,5.014748811721802,95.0,97.5,0.0,0.0
20,30009,80,79,79,0,79,79,0,79,1501,0.011058,6.761274337768555,98.75,98.75,0.0,0.0
20,30010,80,75,75,0,77,77,0,77,1464,0.010541,11.010032892227173,93.75,96.25,0.0,0.0
20,30011,80,75,75,0,75,75,0,77,1463,0.010613,5.1091790199279785,93.75,93.75,0.0,0.0
20,30012,80,80,80,0,80,80,0,80,1520,0.011313,8.6742525100708,100.0,100.0,0.0,0.0
20,30013,80,80,80,0,80,80,0,80,1520,0.011042,5.19781756401062,100.0,100.0,0.0,0.0
20,30014,80,80,80,0,80,80,0,80,1520,0.011173,5.142908811569214,100.0,100.0,0.0,0.0
20,30015,80,79,79,0,78,78,0,79,1501,0.010943,4.6006245613098145,98.75,97.5,0.0,0.0
20,30016,80,80,80,0,80,80,0,80,1520,0.011249,4.52486515045166,100.0,100.0,0.0,0.0
20,30017,80,72,72,0,74,74,0,76,1445,0.010251,5.610446929931641,90.0,92.5,0.0,0.0
20,30018,80,75,75,0,77,77,0,77,1463,0.010484,9.883562326431274,93.75,96.25,0.0,0.0
20,30019,80,76,76,0,76,78,2,78,1482,0.010833,5.02950119972229,95.0,95.0,0.0,2.5641025641025643
20,30020,80,76,76,0,78,78,0,78,1482,0.010788,4.09822416305542,95.0,97.5,0.0,0.0
20,30021,80,79,79,0,79,79,0,79,1501,0.011024,5.0635223388671875,98.75,98.75,0.0,0.0
20,30022,80,79,79,0,79,79,0,79,1501,0.011121,4.430370569229126,98.75,98.75,0.0,0.0
20,30023,80,76,76,0,78,78,0,78,1482,0.010823,4.316607713699341,95.0,97.5,0.0,0.0
20,30024,80,78,78,0,78,78,0,78,1482,0.010856,5.062014818191528,97.5,97.5,0.0,0.0
20,30025,80,79,79,0,79,79,0,79,1501,0.011262,7.61237096786499,98.75,98.75,0.0,0.0
20,30026,80,80,80,0,80,80,0,80,1520,0.011227,5.089441537857056,100.0,100.0,0.0,0.0
20,30027,80,76,76,0,76,76,0,78,1482,0.01066,3.320578098297119,95.0,95.0,0.0,0.0
20,30028,80,80,80,0,80,80,0,80,1520,0.011051,4.912702798843384,100.0,100.0,0.0,0.0
20,30029,80,76,76,0,76,76,0,78,1482,0.010528,4.419823169708252,95.0,95.0,0.0,0.0
30,30000,120,120,120,0,119,119,0,120,3480,0.008396,6.322071313858032,100.0,99.16666666666667,0.0,0.0
30,30001,120,120,120,0,120,120,0,120,3480,0.008531,6.998037099838257,100.0,100.0,0.0,0.0
30,30002,120,115,115,0,117,117,0,117,3394,0.008203,17.51110005378723,95.83333333333333,97.5,0.0,0.0
30,30003,120,116,116,0,118,118,0,118,3422,0.008078,12.35459041595459,96.66666666666667,98.33333333333333,0.0,0.0
30,30004,120,115,115,0,115,115,0,117,3393,0.007929,6.791918516159058,95.83333333333333,95.83333333333333,0.0,0.0
30,30005,120,119,119,0,119,119,0,119,3451,0.008256,6.986156940460205,99.16666666666667,99.16666666666667,0.0,0.0
30,30006,120,120,120,0,120,122,2,120,3480,0.00847,7.027914047241211,100.0,100.0,0.0,1.639344262295082
30,30007,120,116,116,0,118,118,0,118,3422,0.008247,6.267085313796997,96.66666666666667,98.33333333333333,0.0,0.0
30,30008,120,120,120,0,120,122,2,120,3480,0.008493,6.348443508148193,100.0,100.0,0.0,1.639344262295082
30,30009,120,120,120,0,120,120,0,120,3480,0.008421,17.41969871520996,100.0,100.0,0.0,0.0
30,30010,120,120,120,0,120,120,0,120,3480,0.008421,10.974300384521484,100.0,100.0,0.0,0.0
30,30011,120,108,108,0,112,112,0,114,3308,0.007591,6.914395809173584,90.0,93.33333333333333,0.0,0.0
30,30012,120,119,119,0,118,118,0,119,3451,0.008309,7.037067413330078,99.16666666666667,98.33333333333333,0.0,0.0
30,30013,120,120,120,0,120,120,0,120,3480,0.008461,6.891123533248901,100.0,100.0,0.0,0.0
30,30014,120,112,112,0,116,116,0,116,3364,0.007865,5.98310112953186,93.33333333333333,96.66666666666667,0.0,0.0
30,30015,120,109,109,0,111,113,2,113,3279,0.00779,5.995734453201294,90.83333333333333,92.5,0.0,1.7699115044247788
30,30016,120,120,120,0,120,120,0,120,3480,0.008346,6.435905694961548,100.0,100.0,0.0,0.0
30,30017,120,119,119,0,119,119,0,119,3451,0.008268,7.010866165161133,99.16666666666667,99.16666666666667,0.0,0.0
30,30018,120,116,116,0,115,115,0,118,3422,0.008228,6.492830038070679,96.66666666666667,95.83333333333333,0.0,0.0
30,30019,120,120,120,0,120,120,0,120,3480,0.008603,6.864484548568726,100.0,100.0,0.0,0.0
50,30000,200,200,200,0,198,202,4,200,9800,0.003438,12.886310815811157,100.0,99.0,0.0,1.9801980198019802
50,30001,200,187,187,0,190,194,4,193,9459,0.003457,31.608960151672363,93.5,95.0,0.0,2.0618556701030926
50,30002,200,187,187,0,187,187,0,193,9461,0.003287,11.23618745803833,93.5,93.5,0.0,0.0
50,30003,200,199,199,0,197,201,4,199,9751,0.003471,12.196338653564453,99.5,98.5,0.0,1.9900497512437811
50,30004,200,198,198,0,196,196,0,198,9702,0.003469,12.200957775115967,99.0,98.0,0.0,0.0
50,30005,200,183,183,0,189,189,0,191,9361,0.003295,26.4095242023468,91.5,94.5,0.0,0.0
50,30006,200,191,191,0,190,190,0,195,9555,0.003306,20.90691900253296,95.5,95.0,0.0,0.0
50,30007,200,183,183,0,183,183,0,191,9364,0.00326,12.712324142456055,91.5,91.5,0.0,0.0
50,30008,200,191,191,0,194,194,0,195,9556,0.003307,13.476590394973755,95.5,97.0,0.0,0.0
50,30009,200,199,199,0,198,200,2,199,9751,0.00345,32.505207777023315,99.5,99.0,0.0,1.0
50,30010,200,186,186,0,192,196,4,192,9412,0.003365,11.211446046829224,93.0,96.0,0.0,2.0408163265306123
50,30011,200,192,192,0,192,192,0,196,9604,0.003287,13.610122442245483,96.0,96.0,0.0,0.0
50,30012,200,177,177,0,182,186,4,187,9173,0.003112,9.519200086593628,88.5,91.0,0.0,2.150537634408602
50,30013,200,192,192,0,193,195,2,196,9604,0.003481,13.191886186599731,96.0,96.5,0.0,1.0256410256410255
50,30014,200,196,196,0,196,198,2,198,9653,0.003472,13.139277696609497,98.0,98.0,0.0,1.0101010101010102
50,30015,200,196,196,0,196,200,4,198,9702,0.003417,11.011503219604492,98.0,98.0,0.0,2.0
50,30016,200,187,187,0,189,191,2,191,9363,0.003265,10.605706691741943,93.5,94.5,0.0,1.0471204188481675
50,30017,200,192,192,0,191,195,4,196,9605,0.003473,12.157243728637695,96.0,95.5,0.0,2.051282051282051
50,30018,200,192,192,0,188,190,2,196,9605,0.003425,13.1259024143219,96.0,94.0,0.0,1.0526315789473684
50,30019,200,192,192,0,194,200,6,196,9605,0.003535,11.183226823806763,96.0,97.0,0.0,3.0
75,30000,300,282,283,1,273,284,11,290,21467,0.00256,28.658049821853638,94.0,91.0,0.35335689045936397,3.8732394366197185
