T,kernel,noise,method,alpha,target,degree_mult,rot,cx,anc,note
400,erf,clean,hit_oracle,8.0,C,1.5104455065573736,,16480.0,45,proposed; QROM over 5T hits
400,erf,clean,onebqf,,exp(-iAt),,,8888448.0,1,native Givens/Trotter per exp(-iAt) call
100,erf,noisy,fable,262144.0,A,81948.14761705804,4294967296.0,4294967344.0,17,
100,erf,noisy,lsfable,65536.0,A,20487.03690426451,40785.0,40832.0,17,fixed approx err
100,erf,noisy,camps,16.0,A,5.001717994205203,,379456.0,3,cx = one transposition-compiled O_c pass
100,erf,noisy,camps_C,4.0,C,1.2504294985513007,,379456.0,3,
100,erf,noisy,dictionary,548.7420574633104,A,171.54081393696404,8.0,1517824.0,5,erf: classes degenerate to per-entry
100,erf,noisy,dictionary_C,544.7420574633104,C,170.29038443841276,8.0,1517824.0,5,
100,erf,noisy,szegedy,1.0,Dnorm,1.0,,,16,alpha=1 by construction; operator changed
100,erf,noisy,dilation,3.1989008613714294,A,1.0,,,1,dense 4^16 sim-only
100,erf,noisy,hit_oracle,4.0,C,1.2504294985513007,,4480.0,43,proposed; QROM over 5T hits
100,erf,noisy,onebqf,,exp(-iAt),,,379456.0,1,native Givens/Trotter per exp(-iAt) call
400,erf,noisy,fable,4194304.0,A,1196702.9091292385,1099511627776.0,1099511627836.0,21,
400,erf,noisy,lsfable,1048576.0,A,299175.7272823096,654729.0,654788.0,21,fixed approx err
400,erf,noisy,camps,32.0,A,9.130118630441578,,9308096.0,4,cx = one transposition-compiled O_c pass
400,erf,noisy,camps_C,8.0,C,2.2825296576103944,,9308096.0,4,
400,erf,noisy,dictionary,3551.7265616829063,A,1013.3651515954783,16.0,55848576.0,6,erf: classes degenerate to per-entry
400,erf,noisy,dictionary_C,3547.7265616829063,C,1012.2238867666731,16.0,55848576.0,6,
400,erf,noisy,szegedy,1.0,Dnorm,1.0,,,20,alpha=1 by construction; operator changed
400,erf,noisy,dilation,3.504883265514845,A,1.0,,,1,dense 4^20 sim-only
400,erf,noisy,hit_oracle,8.0,C,2.2825296576103944,,16480.0,45,proposed; QROM over 5T hits
400,erf,noisy,onebqf,,exp(-iAt),,,9308096.0,1,native Givens/Trotter per exp(-iAt) call
