comp,kind,lam,size
297,isolated_false,0.0,1
298,isolated_false,0.0,1
299,isolated_false,0.0,1
300,isolated_false,0.0,1
301,isolated_false,0.0,1
302,isolated_false,0.0,1
303,isolated_false,0.0,1
304,isolated_false,0.0,1
305,isolated_false,0.0,1
306,isolated_false,0.0,1
307,isolated_false,0.0,1
308,isolated_false,0.0,1
309,isolated_false,0.0,1
310,isolated_false,0.0,1
311,isolated_false,0.0,1
312,isolated_false,0.0,1
313,isolated_false,0.0,1
314,isolated_false,0.0,1
315,isolated_false,0.0,1
316,isolated_false,0.0,1
317,isolated_false,0.0,1
318,isolated_false,0.0,1
319,isolated_false,0.0,1
320,isolated_false,0.0,1
321,isolated_false,0.0,1
322,isolated_false,0.0,1
323,isolated_false,0.0,1
324,isolated_false,0.0,1
325,isolated_false,0.0,1
326,isolated_false,0.0,1
327,isolated_false,0.0,1
328,isolated_false,0.0,1
329,isolated_false,0.0,1
330,isolated_false,0.0,1
331,isolated_false,0.0,1
332,isolated_false,0.0,1
333,isolated_false,0.0,1
334,isolated_false,0.0,1
335,isolated_false,0.0,1
336,isolated_false,0.0,1
337,isolated_false,0.0,1
338,isolated_false,0.0,1
339,isolated_false,0.0,1
340,isolated_false,0.0,1
341,isolated_false,0.0,1
342,isolated_false,0.0,1
343,isolated_false,0.0,1
344,isolated_false,0.0,1
345,isolated_false,0.0,1
346,isolated_false,0.0,1
347,isolated_false,0.0,1
348,isolated_false,0.0,1
349,isolated_false,0.0,1
350,isolated_false,0.0,1
351,isolated_false,0.0,1
352,isolated_false,0.0,1
353,isolated_false,0.0,1
354,isolated_false,0.0,1
355,isolated_false,0.0,1
356,isolated_false,0.0,1
357,isolated_false,0.0,1
358,isolated_false,0.0,1
359,isolated_false,0.0,1
360,isolated_false,0.0,1
361,isolated_false,0.0,1
362,isolated_false,0.0,1
363,isolated_false,0.0,1
364,isolated_false,0.0,1
365,isolated_false,0.0,1
366,isolated_false,0.0,1
367,isolated_false,0.0,1
368,isolated_false,0.0,1
369,isolated_false,0.0,1
370,isolated_false,0.0,1
371,isolated_false,0.0,1
372,isolated_false,0.0,1
373,isolated_false,0.0,1
374,isolated_false,0.0,1
375,isolated_false,0.0,1
376,isolated_false,0.0,1
377,isolated_false,0.0,1
378,isolated_false,0.0,1
379,isolated_false,0.0,1
380,isolated_false,0.0,1
381,isolated_false,0.0,1
382,isolated_false,0.0,1
383,isolated_false,0.0,1
384,pure_false,-1.0,2
384,pure_false,1.0,2
385,isolated_false,0.0,1
386,isolated_false,0.0,1
387,isolated_false,0.0,1
388,isolated_false,0.0,1
389,isolated_false,0.0,1
390,isolated_false,0.0,1
391,isolated_false,0.0,1
392,isolated_false,0.0,1
393,isolated_false,0.0,1
