n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,far,far_s,n_reps,f1
50,0.6,0.86725,0.004375093983952925,0.9884629325520919,0.0027330067782984405,0.011537067447907997,0.002733006778298439,0.00021218813958575358,5.05907880003632e-05,20,0.9238977249319115
50,0.65,0.86725,0.004375093983952925,0.9884629325520919,0.0027330067782984405,0.011537067447907997,0.002733006778298439,0.00021218813958575358,5.05907880003632e-05,20,0.9238977249319115
50,0.7,0.86725,0.004375093983952925,0.9884629325520919,0.0027330067782984405,0.011537067447907997,0.002733006778298439,0.00021218813958575358,5.05907880003632e-05,20,0.9238977249319115
50,0.75,0.86725,0.004375093983952925,0.9884629325520919,0.0027330067782984405,0.011537067447907997,0.002733006778298439,0.00021218813958575358,5.05907880003632e-05,20,0.9238977249319115
50,0.8,0.86725,0.004375093983952925,0.9884629325520919,0.0027330067782984405,0.011537067447907997,0.002733006778298439,0.00021218813958575358,5.05907880003632e-05,20,0.9238977249319115
50,0.85,0.8525,0.00944861449046757,0.9884629325520919,0.0027330067782984405,0.011537067447907997,0.002733006778298439,0.00021218813958575358,5.05907880003632e-05,20,0.9154607462220745
50,0.9,0.73125,0.003400367627183864,0.9894013499997719,0.0027849057006292207,0.010598650000228107,0.002784905700629222,0.00016554330103287952,4.3921503082615444e-05,20,0.8409602993510906
50,0.95,0.73125,0.003400367627183864,0.9894013499997719,0.0027849057006292207,0.010598650000228107,0.002784905700629222,0.00016554330103287952,4.3921503082615444e-05,20,0.8409602993510906
50,1.0,0.73125,0.003400367627183864,0.9894013499997719,0.0027849057006292207,0.010598650000228107,0.002784905700629222,0.00016554330103287952,4.3921503082615444e-05,20,0.8409602993510906
50,1.05,0.73125,0.003400367627183864,0.9894013499997719,0.0027849057006292207,0.010598650000228107,0.002784905700629222,0.00016554330103287952,4.3921503082615444e-05,20,0.8409602993510906
50,1.1,0.73125,0.003400367627183864,0.9894013499997719,0.0027849057006292207,0.010598650000228107,0.002784905700629222,0.00016554330103287952,4.3921503082615444e-05,20,0.8409602993510906
50,1.15,0.73125,0.003400367627183864,0.9894013499997719,0.0027849057006292207,0.010598650000228107,0.002784905700629222,0.00016554330103287952,4.3921503082615444e-05,20,0.8409602993510906
50,1.2,0.7205,0.007521023166676473,0.9894013499997719,0.0027849057006292207,0.010598650000228107,0.002784905700629222,0.00016554330103287952,4.3921503082615444e-05,20,0.8338067838532683
50,1.25,0.61825,0.004416997670483047,0.9920635094341268,0.0027437272525613677,0.007936490565873288,0.0027437272525613677,0.00010340970917785744,3.591651546510026e-05,20,0.7617687625600076
50,1.3,0.61825,0.004416997670483047,0.9920635094341268,0.0027437272525613677,0.007936490565873288,0.0027437272525613677,0.00010340970917785744,3.591651546510026e-05,20,0.7617687625600076
50,1.35,0.61825,0.004416997670483047,0.9920635094341268,0.0027437272525613677,0.007936490565873288,0.0027437272525613677,0.00010340970917785744,3.591651546510026e-05,20,0.7617687625600076
50,1.4,0.61825,0.004416997670483047,0.9920635094341268,0.0027437272525613677,0.007936490565873288,0.0027437272525613677,0.00010340970917785744,3.591651546510026e-05,20,0.7617687625600076
50,1.45,0.615,0.004757265910937548,0.9920635094341268,0.0027437272525613677,0.007936490565873288,0.0027437272525613677,0.00010340970917785744,3.591651546510026e-05,20,0.7592967604831259
50,1.5,0.548,0.008361880926656328,0.9924383092641337,0.0028002311103073993,0.00756169073586638,0.0028002311103073993,9.302434474809624e-05,3.583473392908731e-05,20,0.706105775487426
100,0.1,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.15,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.2,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.25,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.3,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.35,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.4,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.45,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.5,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.55,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.6,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.65,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.7,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.75,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.8,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.85,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.9,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,0.95,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,1.0,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,1.05,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,1.1,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,1.15,0.8622500000000001,0.003548999117616416,0.9637040380119972,0.0028446532551858125,0.0362959619880029,0.002844653255185812,0.00033607981788307515,2.7321017181510393e-05,20,0.9101585138260582
100,1.2,0.780625,0.013549221913958168,0.9680513212044038,0.002787381245822879,0.03194867879559617,0.0027873812458228753,0.00026654891054801673,2.3786091953442703e-05,20,0.864293812927836
100,1.25,0.735375,0.0035553656633319696,0.9693131751228684,0.0027396449426304696,0.030686824877131542,0.0027396449426304688,0.00024077857531124743,2.2044108249149557e-05,20,0.8362921577778908
100,1.3,0.735375,0.0035553656633319696,0.9693131751228684,0.0027396449426304696,0.030686824877131542,0.0027396449426304688,0.00024077857531124743,2.2044108249149557e-05,20,0.8362921577778908
100,1.35,0.735375,0.0035553656633319696,0.9693131751228684,0.0027396449426304696,0.030686824877131542,0.0027396449426304688,0.00024077857531124743,2.2044108249149557e-05,20,0.8362921577778908
100,1.4,0.735375,0.0035553656633319696,0.9693131751228684,0.0027396449426304696,0.030686824877131542,0.0027396449426304688,0.00024077857531124743,2.2044108249149557e-05,20,0.8362921577778908
100,1.45,0.735375,0.0035553656633319696,0.9693131751228684,0.0027396449426304696,0.030686824877131542,0.0027396449426304688,0.00024077857531124743,2.2044108249149557e-05,20,0.8362921577778908
100,1.5,0.735375,0.0035553656633319696,0.9693131751228684,0.0027396449426304696,0.030686824877131542,0.0027396449426304688,0.00024077857531124743,2.2044108249149557e-05,20,0.8362921577778908
200,0.1,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.15,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.2,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.25,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.3,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.35,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.4,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.45,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.5,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.55,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.6,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.65,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.7,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
200,0.75,0.86025,0.002968585521759482,0.8357310827252782,0.006653261278246123,0.1642689172747218,0.006653261278246119,0.0008710768786603781,4.179701548055337e-05,10,0.8478133055106452
