n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,qmax,n_reps,f1
10,0.45,0.7424999999999999,0.004178145108983664,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.8522238163558106
10,0.5,0.7424999999999999,0.004178145108983664,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.8522238163558106
10,0.55,0.7424999999999999,0.004178145108983664,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.8522238163558106
10,0.6,0.7358333333333333,0.004746949010071053,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.8478156505040807
10,0.65,0.7358333333333333,0.004746949010071053,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.8478156505040807
10,0.7,0.7358333333333333,0.004746949010071053,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.8478156505040807
10,0.75,0.5108333333333334,0.009861347199159733,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.6762272476558192
10,0.8,0.48833333333333334,0.003542300484191949,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.6562150055991042
10,0.85,0.48833333333333334,0.003542300484191949,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.6562150055991042
10,0.9,0.48833333333333334,0.003542300484191949,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.6562150055991042
10,0.95,0.26916666666666667,0.01069988541493414,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.42416283650689435
10,1.0,0.2475,0.0013927150363278885,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.39679358717434865
10,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1705182535357357,30,0.0
20,0.1,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.15,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.2,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.25,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.3,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.35,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.4,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.45,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.5,0.96375,0.007589267603571553,0.9975406504065041,0.001370173234516822,0.002459349593495935,0.0013701732345168206,1.6011993149708563,30,0.9803542393168593
20,0.55,0.7304166666666667,0.005383408063251283,0.9967565661907279,0.0018069309124716026,0.0032434338092719906,0.001806930912471603,1.6011993149708563,30,0.8430510555686177
20,0.6,0.7304166666666667,0.005383408063251283,0.9967565661907279,0.0018069309124716026,0.0032434338092719906,0.001806930912471603,1.6011993149708563,30,0.8430510555686177
20,0.65,0.7304166666666667,0.005383408063251283,0.9967565661907279,0.0018069309124716026,0.0032434338092719906,0.001806930912471603,1.6011993149708563,30,0.8430510555686177
20,0.7,0.7304166666666667,0.005383408063251283,0.9967565661907279,0.0018069309124716026,0.0032434338092719906,0.001806930912471603,1.6011993149708563,30,0.8430510555686177
20,0.75,0.7304166666666667,0.005383408063251283,0.9967565661907279,0.0018069309124716026,0.0032434338092719906,0.001806930912471603,1.6011993149708563,30,0.8430510555686177
20,0.8,0.725,0.005525541529606153,0.9967565661907279,0.0018069309124716026,0.0032434338092719906,0.001806930912471603,1.6011993149708563,30,0.8394316881707494
20,0.85,0.7116666666666667,0.006563497689167631,1.0,0.0,0.0,0.0,1.6011993149708563,30,0.8315481986368062
20,0.9,0.7108333333333333,0.0069824629803551886,1.0,0.0,0.0,0.0,1.6011993149708563,30,0.8309790550414028
20,0.95,0.7108333333333333,0.0069824629803551886,1.0,0.0,0.0,0.0,1.6011993149708563,30,0.8309790550414028
20,1.0,0.7108333333333333,0.0069824629803551886,1.0,0.0,0.0,0.0,1.6011993149708563,30,0.8309790550414028
20,1.2,0.4720833333333333,0.004707055314291596,1.0,0.0,0.0,0.0,1.6011993149708563,30,0.6413812623832437
20,1.4,0.23875,0.0023481161439092733,1.0,0.0,0.0,0.0,1.6011993149708563,30,0.38546922300706354
20,1.6,0.08041666666666666,0.019665698641673886,0.36666666666666664,0.08948554539839962,0.0,0.0,1.6011993149708563,30,0.13190431811121467
20,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6011993149708563,30,0.0
50,0.1,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
50,0.15,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
50,0.2,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
50,0.25,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
50,0.3,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
50,0.35,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
50,0.4,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
