drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate
0.02,0.2,8,273,4759061,273,8,1.0,0.0284697508896797
0.02,0.2,9,289,5230475,289,12,1.0,0.0398671096345514
0.02,0.5,0,276,9007932,276,10,1.0,0.0349650349650349
0.02,0.5,1,280,9617470,280,15,1.0,0.0508474576271186
0.02,0.5,2,282,10017813,282,17,1.0,0.0568561872909698
0.02,0.5,3,281,9587011,281,9,1.0,0.0310344827586206
0.02,0.5,4,281,9629291,281,11,1.0,0.0376712328767123
0.02,0.5,5,283,9915623,283,12,1.0,0.0406779661016949
0.02,0.5,6,284,9594580,284,13,1.0,0.0437710437710437
0.02,0.5,7,282,9602470,281,22,0.99645390070922,0.0726072607260726
0.02,0.5,8,279,9695869,279,13,1.0,0.0445205479452054
0.02,0.5,9,275,9503505,275,12,1.0,0.0418118466898954
0.05,0.0,0,253,2517631,253,12,1.0,0.0452830188679245
0.05,0.0,1,255,2553255,255,6,1.0,0.0229885057471264
0.05,0.0,2,262,2616410,262,5,1.0,0.0187265917602996
0.05,0.0,3,263,2625157,263,4,1.0,0.0149812734082397
0.05,0.0,4,265,2663159,265,5,1.0,0.0185185185185185
0.05,0.0,5,248,2471320,248,4,1.0,0.0158730158730158
0.05,0.0,6,260,2588581,260,3,1.0,0.0114068441064638
0.05,0.0,7,259,2598089,259,6,1.0,0.0226415094339622
0.05,0.0,8,240,2410590,240,15,1.0,0.0588235294117647
0.05,0.0,9,253,2535491,253,6,1.0,0.0231660231660231
0.05,0.02,0,252,2653196,252,7,1.0,0.027027027027027
0.05,0.02,1,264,2746970,264,6,1.0,0.0222222222222222
0.05,0.02,2,257,2736986,257,10,1.0,0.0374531835205992
0.05,0.02,3,237,2543379,237,2,1.0,0.00836820083682
0.05,0.02,4,247,2613749,247,5,1.0,0.0198412698412698
0.05,0.02,5,255,2716080,255,6,1.0,0.0229885057471264
0.05,0.02,6,253,2662979,253,7,1.0,0.0269230769230769
0.05,0.02,7,255,2698109,255,7,1.0,0.0267175572519083
0.05,0.02,8,248,2616994,248,2,1.0,0.008
0.05,0.02,9,248,2678952,248,6,1.0,0.0236220472440944
0.05,0.05,0,251,2906785,251,4,1.0,0.0156862745098039
0.05,0.05,1,258,2989036,258,2,1.0,0.0076923076923076
0.05,0.05,2,254,2938746,254,6,1.0,0.023076923076923
0.05,0.05,3,260,3048841,260,10,1.0,0.037037037037037
0.05,0.05,4,246,2919561,246,5,1.0,0.0199203187250996
0.05,0.05,5,252,2929051,251,3,0.996031746031746,0.0118110236220472
0.05,0.05,6,267,3108788,267,3,1.0,0.0111111111111111
0.05,0.05,7,257,2988992,257,8,1.0,0.030188679245283
0.05,0.05,8,251,2930604,251,3,1.0,0.0118110236220472
0.05,0.05,9,263,3028543,263,4,1.0,0.0149812734082397
0.05,0.1,0,234,3105415,234,4,1.0,0.0168067226890756
0.05,0.1,1,261,3492891,261,2,1.0,0.0076045627376425
0.05,0.1,2,266,3484834,266,6,1.0,0.0220588235294117
0.05,0.1,3,259,3567335,259,6,1.0,0.0226415094339622
0.05,0.1,4,273,3715683,273,9,1.0,0.0319148936170212
0.05,0.1,5,262,3483738,262,7,1.0,0.0260223048327137
0.05,0.1,6,260,3544804,260,7,1.0,0.0262172284644194
0.05,0.1,7,266,3538759,266,6,1.0,0.0220588235294117
0.05,0.1,8,255,3459075,255,13,1.0,0.0485074626865671
0.05,0.1,9,258,3550318,258,8,1.0,0.0300751879699248
0.05,0.2,0,256,4677944,256,10,1.0,0.037593984962406
0.05,0.2,1,269,4655863,269,8,1.0,0.0288808664259927
0.05,0.2,2,265,4531643,265,6,1.0,0.022140221402214
0.05,0.2,3,249,4538883,249,5,1.0,0.0196850393700787
0.05,0.2,4,269,4785891,269,11,1.0,0.0392857142857142
0.05,0.2,5,242,4420370,242,10,1.0,0.0396825396825396
0.05,0.2,6,254,4507522,254,23,1.0,0.0830324909747292
0.05,0.2,7,246,4389126,246,3,1.0,0.0120481927710843
0.05,0.2,8,258,4703133,258,8,1.0,0.0300751879699248
0.05,0.2,9,261,4691151,261,7,1.0,0.0261194029850746
0.05,0.5,0,268,8960491,268,10,1.0,0.0359712230215827
0.05,0.5,1,263,9284155,263,12,1.0,0.0436363636363636
0.05,0.5,2,266,9177898,266,20,1.0,0.0699300699300699
0.05,0.5,3,255,8966477,255,19,1.0,0.0693430656934306
0.05,0.5,4,262,9017874,262,13,1.0,0.0472727272727272
0.05,0.5,5,273,9714614,273,12,1.0,0.0421052631578947
0.05,0.5,6,258,8963850,257,10,0.996124031007752,0.0374531835205992
0.05,0.5,7,255,8982605,255,9,1.0,0.034090909090909
0.05,0.5,8,232,8658716,232,17,1.0,0.0682730923694779
0.05,0.5,9,261,9401043,260,15,0.9961685823754788,0.0545454545454545
0.1,0.0,0,230,2327095,230,7,1.0,0.0295358649789029
0.1,0.0,1,221,2258787,221,3,1.0,0.0133928571428571
0.1,0.0,2,224,2235836,224,3,1.0,0.013215859030837
0.1,0.0,3,225,2217895,225,10,1.0,0.0425531914893617
0.1,0.0,4,226,2259764,226,4,1.0,0.017391304347826
0.1,0.0,5,186,1900414,186,3,1.0,0.0158730158730158
0.1,0.0,6,217,2136563,217,4,1.0,0.0180995475113122
0.1,0.0,7,209,2111007,209,3,1.0,0.0141509433962264
0.1,0.0,8,212,2149980,212,6,1.0,0.0275229357798165
0.1,0.0,9,215,2112289,215,8,1.0,0.0358744394618834
0.1,0.02,0,209,2243579,209,6,1.0,0.027906976744186
0.1,0.02,1,217,2393688,217,3,1.0,0.0136363636363636
0.1,0.02,2,225,2351475,225,4,1.0,0.0174672489082969
0.1,0.02,3,219,2301899,219,4,1.0,0.0179372197309417
0.1,0.02,4,224,2393486,224,8,1.0,0.0344827586206896
0.1,0.02,5,225,2463327,225,4,1.0,0.0174672489082969
0.1,0.02,6,221,2387639,221,3,1.0,0.0133928571428571
0.1,0.02,7,220,2344217,220,6,1.0,0.0265486725663716
0.1,0.02,8,213,2296107,213,5,1.0,0.0229357798165137
0.1,0.02,9,217,2317723,217,2,1.0,0.0091324200913242
0.1,0.05,0,226,2644010,226,4,1.0,0.017391304347826
0.1,0.05,1,217,2568755,217,1,1.0,0.0045871559633027
0.1,0.05,2,212,2544274,212,9,1.0,0.0407239819004524
0.1,0.05,3,210,2526030,210,4,1.0,0.0186915887850467
0.1,0.05,4,220,2608292,220,6,1.0,0.0265486725663716
0.1,0.05,5,216,2525094,216,4,1.0,0.0181818181818181
0.1,0.05,6,214,2415210,214,5,1.0,0.0228310502283105
0.1,0.05,7,224,2625184,224,6,1.0,0.0260869565217391
0.1,0.05,8,213,2534121,213,10,1.0,0.0448430493273542
0.1,0.05,9,216,2471019,216,4,1.0,0.0181818181818181
0.1,0.1,0,223,3001345,223,3,1.0,0.0132743362831858
0.1,0.1,1,230,3193895,230,13,1.0,0.0534979423868312
0.1,0.1,2,217,3012652,217,4,1.0,0.0180995475113122
0.1,0.1,3,214,3003731,214,3,1.0,0.0138248847926267
0.1,0.1,4,224,3078544,224,5,1.0,0.0218340611353711
0.1,0.1,5,208,2802812,208,9,1.0,0.0414746543778801
0.1,0.1,6,228,3121177,228,16,1.0,0.0655737704918032
0.1,0.1,7,225,3090084,224,7,0.9955555555555556,0.0303030303030303
0.1,0.1,8,204,2953916,204,9,1.0,0.0422535211267605
0.1,0.1,9,216,2979288,216,11,1.0,0.0484581497797356
0.1,0.2,0,231,4312896,231,5,1.0,0.0211864406779661
0.1,0.2,1,204,3801066,204,7,1.0,0.0331753554502369
0.1,0.2,2,206,3987586,206,11,1.0,0.0506912442396313
0.1,0.2,3,219,4009285,219,8,1.0,0.0352422907488986
0.1,0.2,4,205,3818775,205,8,1.0,0.0375586854460093
0.1,0.2,5,195,3589077,195,5,1.0,0.025
0.1,0.2,6,236,4237490,236,7,1.0,0.0288065843621399
0.1,0.2,7,208,3884444,207,10,0.9951923076923076,0.0460829493087557
0.1,0.2,8,216,3891084,216,6,1.0,0.027027027027027
0.1,0.2,9,216,3787164,216,11,1.0,0.0484581497797356
0.1,0.5,0,221,8089579,221,12,1.0,0.0515021459227467
0.1,0.5,1,222,8449382,222,12,1.0,0.0512820512820512
