solver,phi_max,sigma_scatt,n_trk,n_rep,n_valid,excluded_frac,density,eff,eff_sem,far,far_sem,pur,pur_sem,cos_QC
classical,0.1,0.0001,1000,20,20,0.0,99999.99999999999,99.99125000000001,0.006354391353519452,1.100411602093169,0.07769014011338973,98.89958839790684,0.07769014011339022,
classical,0.1,0.0003,10,20,20,0.0,999.9999999999998,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.1,0.0003,20,20,20,0.0,1999.9999999999995,100.0,0.0,0.12195121951219501,0.12195121951219498,99.8780487804878,0.12195121951219504,
classical,0.1,0.0003,50,20,20,0.0,4999.999999999999,100.0,0.0,0.1729015266058625,0.09660939089170462,99.82709847339413,0.09660939089170527,
classical,0.1,0.0003,100,20,20,0.0,9999.999999999998,100.0,0.0,0.23524657617928355,0.09382401960179028,99.76475342382072,0.09382401960179027,
classical,0.1,0.0003,200,20,20,0.0,19999.999999999996,100.0,0.0,1.406308000478557,0.2360479637523811,98.59369199952144,0.23604796375238168,
classical,0.1,0.0003,400,20,20,0.0,39999.99999999999,99.965625,0.01319997383370612,5.260877712347594,0.3061703809755978,94.73912228765239,0.30617038097559796,
classical,0.1,0.0003,700,20,20,0.0,69999.99999999999,99.99107142857143,0.0072709381343386125,18.10535320545977,0.5485711318535309,81.89464679454022,0.5485711318535307,
classical,0.1,0.0003,1000,20,20,0.0,99999.99999999999,99.98249999999999,0.0070477693372848265,35.82207493301259,0.6975426880888328,64.1779250669874,0.6975426880888326,
classical,0.2,0.0001,10,20,20,0.0,249.99999999999994,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.2,0.0001,20,20,20,0.0,499.9999999999999,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.2,0.0001,50,20,20,0.0,1249.9999999999998,99.975,0.025,0.0,0.0,100.0,0.0,
classical,0.2,0.0001,100,20,20,0.0,2499.9999999999995,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.2,0.0001,200,20,20,0.0,4999.999999999999,99.975,0.025,0.086957155128677,0.04937671397103239,99.91304284487133,0.049376713971032125,
classical,0.2,0.0001,400,20,20,0.0,9999.999999999998,99.984375,0.012724141735093052,0.062402594601676,0.020232832559825963,99.93759740539831,0.020232832559826837,
classical,0.2,0.0001,700,20,20,0.0,17499.999999999996,99.98392857142858,0.009511073878158919,0.10868825852469348,0.027132210401528637,99.8913117414753,0.027132210401528755,
classical,0.2,0.0001,1000,20,20,0.0,24999.999999999996,99.9825,0.006810402260319245,0.18441150754902003,0.03880430240273989,99.81558849245097,0.03880430240273958,
classical,0.2,0.0003,10,20,20,0.0,249.99999999999994,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.2,0.0003,20,20,20,0.0,499.9999999999999,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.2,0.0003,50,20,20,0.0,1249.9999999999998,100.0,0.0,0.17241978807187103,0.10855411134012079,99.82758021192812,0.10855411134012068,
