task,n_tracks,angle,sigma_scatt,sigma_res,epsilon,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s
verify_scatt,100,0.02,0.0004,0.0,0.0016971888521905864,20,0.737,0.06448622864000132,0.28839118170327355,0.06004849545286537,0.014605580481081668,0.06531814161308538,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1276.1299999999999
verify_scatt,10,0.02,0.0006,0.0,0.002545672799084753,20,0.9800000000000001,0.013764944032233703,0.061558701125109236,0.01111111111111111,0.007647191129018724,0.034199278402838464,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.81
verify_scatt,20,0.02,0.0006,0.0,0.002545672799084753,20,0.8900000000000002,0.048476798574163295,0.21679483388678802,0.04637218045112781,0.017715678490472852,0.07922692274445632,0.0,0.0,0.0,1.0,0.0,0.0,0.9995,0.0005000000000000003,0.002236067977499791,6.029999999999999
verify_scatt,50,0.02,0.0006,0.0,0.002545672799084753,20,0.47400000000000003,0.08411896337925237,0.37619144062564747,0.28267734045408577,0.08356245168855268,0.37370264468429176,0.0,0.0,0.0,0.8,0.0917662935482247,0.41039134083406165,0.8,0.0917662935482247,0.41039134083406165,113.66
verify_scatt,100,0.02,0.0006,0.0,0.002545672799084753,20,0.366,0.06462604982349976,0.2890164810452675,0.16235223952943909,0.0657628808086689,0.2941005437688,0.0,0.0,0.0,0.9,0.06882472016116853,0.30779350562554625,0.9,0.06882472016116853,0.30779350562554625,1298.58
verify_scatt,10,0.02,0.0008,0.0,0.0033941788403088016,20,0.97,0.021884866196096624,0.09787209698591859,0.012698412698412698,0.008815185548464772,0.039422708241281995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.81
verify_scatt,20,0.02,0.0008,0.0,0.0033941788403088016,20,0.7900000000000001,0.06762901899721979,0.30244616745881625,0.14572411420708636,0.06623288518251777,0.2962024672280966,0.0,0.0,0.0,0.9,0.06882472016116853,0.30779350562554625,0.9,0.06882472016116853,0.30779350562554625,6.12
verify_scatt,50,0.02,0.0008,0.0,0.0033941788403088016,20,0.5569999999999999,0.08194060750259748,0.3664495369868745,0.11019503448624397,0.025233056407433705,0.11284565881421679,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,116.75
verify_scatt,100,0.02,0.0008,0.0,0.0033941788403088016,20,0.16550000000000004,0.051023601350128574,0.22818448215147508,0.45128466651057497,0.10326225270729149,0.4618028331265309,0.0,0.0,0.0,0.6,0.11239029738980327,0.5026246899500346,0.5985714285714285,0.11213148258965946,0.5014672349766255,1302.91
verify_scatt,10,0.02,0.001,0.0,0.004242693719796422,20,0.8600000000000001,0.058219186564315094,0.26036411750510197,0.09484126984126984,0.0512543881623517,0.22921659215235787,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,0.81
verify_scatt,20,0.02,0.001,0.0,0.004242693719796422,20,0.6525,0.07647453996695824,0.3420045398282863,0.23493550051599588,0.07617108165401212,0.3406474329961165,0.0,0.0,0.0,0.8465702947845806,0.08162210885667132,0.3650251677408094,0.85,0.08191780219091253,0.36634754853252327,6.22
verify_scatt,50,0.02,0.001,0.0,0.004242693719796422,20,0.514,0.05231684844845824,0.23396805899861406,0.09668060839222344,0.018484833594523548,0.08266668894025288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,118.25
verify_scatt,100,0.02,0.001,0.0,0.004242693719796422,20,0.08249999999999999,0.030598202561588485,0.1368393218340401,0.5818629518629519,0.09919050239024457,0.4435934121338845,0.0,0.0,0.0,0.5,0.11470786693528086,0.512989176042577,0.5,0.11470786693528086,0.512989176042577,1112.1299999999999
verify_scatt,10,0.2,5e-05,0.0,0.00021319005605327846,20,0.9599999999999997,0.01685854460847049,0.07539370349250518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.66
verify_scatt,20,0.2,5e-05,0.0,0.00021319005605327846,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0
