task,n_tracks,angle,sigma_scatt,sigma_res,epsilon,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s
verify_res,10,0.2,0.0001,0.005,0.0016308858027061653,20,0.975,0.020358626776148882,0.0910465468000326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.77
verify_res,20,0.2,0.0001,0.005,0.0016308858027061653,20,0.9949999999999999,0.0034412360080584297,0.015389675281277326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.24
verify_res,50,0.2,0.0001,0.005,0.0016308858027061653,20,0.982,0.011323008713049258,0.0506380343844011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,118.67999999999999
verify_res,100,0.2,0.0001,0.005,0.0016308858027061653,20,0.967,0.018354692501976307,0.08208468028104944,0.007131556529146892,0.0066191669990793905,0.029601814728729612,0.0,0.0,0.0,1.0,0.0,0.0,0.9999,0.00010000000000000009,0.00044721359549995833,981.16
verify_res,10,0.2,0.0001,0.01,0.0031777035588293387,20,0.9450000000000001,0.026631006858843877,0.11909748329127612,0.018055555555555554,0.013409110932884266,0.05996736712752968,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.79
verify_res,20,0.2,0.0001,0.01,0.0031777035588293387,20,0.9824999999999999,0.00978384812895858,0.04375469899577103,0.002631578947368421,0.0026315789473684214,0.011768778828946263,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.98
verify_res,50,0.2,0.0001,0.01,0.0031777035588293387,20,0.909,0.056316305949427055,0.25185417668918947,0.060312500000000005,0.043898420705767154,0.19631970560595932,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,81.87
verify_res,100,0.2,0.0001,0.01,0.0031777035588293387,20,0.9595,0.016834722888626412,0.07528716952268057,0.006287363430220573,0.004811772717275143,0.021518901776212192,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1249.05
verify_res,10,0.2,0.0001,0.015,0.0047428337441630134,20,0.945,0.04998684037350547,0.22354794611117842,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,0.8
verify_res,20,0.2,0.0001,0.015,0.0047428337441630134,20,0.9824999999999999,0.008331140062250908,0.037257991018529724,0.002631578947368421,0.002631578947368421,0.011768778828946261,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.62
verify_res,50,0.2,0.0001,0.015,0.0047428337441630134,20,0.9730000000000001,0.011264756404028685,0.05037752213876845,0.005187074829931972,0.0029694055954275003,0.013279585528288259,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,108.19
verify_res,100,0.2,0.0001,0.015,0.0047428337441630134,20,0.966,0.012719649117967463,0.056884000155440984,0.008387759393177697,0.00484910258454145,0.021685846017809207,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1005.08
verify_res,10,0.2,0.0001,0.02,0.006312668537322595,20,0.96,0.019735087641318597,0.08825799501580875,0.005555555555555555,0.005555555555555554,0.02484519974999766,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.58
verify_res,20,0.2,0.0001,0.02,0.006312668537322595,20,0.9800000000000001,0.013278395591097752,0.05938279034765615,0.002631578947368421,0.0026315789473684214,0.011768778828946263,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.87
verify_res,50,0.2,0.0001,0.02,0.006312668537322595,20,0.968,0.00998946813820488,0.044674259632188754,0.00946835255841467,0.004219479452518145,0.01887008577098834,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,93.07
verify_res,100,0.2,0.0001,0.02,0.006312668537322595,20,0.8630000000000001,0.0573452150071,0.2564555978804334,0.023208800195220047,0.00696389326686173,0.031143477465511826,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1054.6200000000001
verify_res,10,0.2,0.0001,0.03,0.009457071732672446,20,0.985,0.015000000000000003,0.06708203932499371,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.59
verify_res,20,0.2,0.0001,0.03,0.009457071732672446,20,0.9099999999999999,0.050340942842936394,0.2251315404964746,0.002631578947368421,0.0026315789473684214,0.011768778828946263,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,4.7
verify_res,50,0.2,0.0001,0.03,0.009457071732672446,20,0.9640000000000001,0.010523157420910471,0.04706099066217437,0.013729276400662025,0.0047713845985238494,0.02133828061818974,0.0,0.0,0.0,1.0,0.0,0.0,0.9997777777777778,0.0002222222222222237,0.0009938079899999132,95.69
verify_res,100,0.2,0.0001,0.03,0.009457071732672446,20,0.906,0.019254527833869703,0.08610886622238886,0.021115192485389674,0.004370275380448081,0.01954446566215133,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,998.15
verify_res,10,0.2,0.0001,0.05,0.015751537045137484,20,0.9700000000000001,0.014689774459950376,0.06569466853317861,0.005555555555555555,0.005555555555555554,0.02484519974999766,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6
verify_res,20,0.2,0.0001,0.05,0.015751537045137484,20,0.915,0.05105466626439175,0.22832340867149042,0.05557275541795666,0.04985409416276316,0.2229542870092278,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,5.86
verify_res,50,0.2,0.0001,0.05,0.015751537045137484,20,0.8029999999999999,0.05591864391097218,0.250075777989077,0.06673837823633912,0.02208364890383297,0.09876108028041848,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,114.35
verify_res,100,0.2,0.0001,0.05,0.015751537045137484,20,0.5125,0.061630798008446196,0.2756213077088887,0.11245395322328297,0.049226294484039444,0.22014668149347028,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,1482.3799999999999
