sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.0,0.0003,1000,sol_7b9d3cc3d0e6807a,ev_5fa8ac93cb81,hm_a0f8ed47a107,1.3915616273880005,False
0.01,0.0005,200,sol_5c062151756c1f62,ev_5fb18dcaaaf9,hm_bd4d3751a16f,0.642497718334198,False
0.02,0.0005,10,sol_73d3ede2ee07e62d,ev_5fe23f0ad944,hm_f442e5139114,0.4545454680919647,False
0.02,0.0001,400,sol_cf3a50add848c908,ev_60238e21e565,hm_979a58ab8892,2.060669183731079,False
0.05,0.0003,200,sol_112c4b512cb262c0,ev_6031cb96806d,hm_8c986396d3ec,2.8963265419006348,False
0.01,0.0001,400,sol_17210999fb0e69f8,ev_603f6e2853ad,hm_844cdcf42c7e,0.9941082000732422,False
0.02,0.0003,20,sol_a6d04e012c8c9557,ev_60b2316c018f,hm_1602ff939866,0.6000000238418579,False
0.05,0.0003,200,sol_b3600546e75bfbca,ev_60b45f92f662,hm_8c986396d3ec,2.098170518875122,False
0.01,0.0005,20,sol_9dfec37d5c77e6ed,ev_60b912aacb6c,hm_bd4d3751a16f,0.4545454680919647,False
0.05,0.0005,10,sol_44de9d860ff00c7a,ev_60ba13f681b8,hm_af8fc4d5852f,0.4545454680919647,False
0.02,0.0001,10,sol_4484f5bfda0b16cc,ev_60d191e32170,hm_979a58ab8892,0.4545454680919647,False
0.01,0.0005,20,sol_6420369822a5d9c9,ev_614e5e6cee32,hm_bd4d3751a16f,0.6000000238418579,False
0.02,0.0003,1000,sol_9063b8a0bbc375e4,ev_61708a61efb4,hm_1602ff939866,11.666608810424805,False
0.05,0.0001,700,sol_0607b2baf8207fdd,ev_617b0ac950e0,hm_9108b6e19b67,1609.5673828125,True
0.02,0.0001,50,sol_899129c77b94c2a6,ev_6195bac647f3,hm_979a58ab8892,0.6509754061698914,False
0.01,0.0005,100,sol_0fedeea8bdd05139,ev_619c857549ef,hm_bd4d3751a16f,0.5669513940811157,False
0.02,0.0001,20,sol_0cfbd5ce210691b6,ev_61bc7f8a4357,hm_979a58ab8892,0.4545454680919647,False
0.05,0.0005,50,sol_f75313916d125c6f,ev_61cbdafe9a2d,hm_af8fc4d5852f,0.9308940768241882,False
0.01,0.0001,200,sol_193e9130205b5d44,ev_61ff95b45555,hm_844cdcf42c7e,0.6849737763404846,False
0.02,0.0003,100,sol_5c0ca1135d068c42,ev_6290a06ba855,hm_1602ff939866,1.5000007152557373,False
0.05,0.0003,100,sol_353272bfd5734e15,ev_629d16dcab6e,hm_8c986396d3ec,1.362944483757019,False
0.05,0.0003,20,sol_34c37305ff8390ac,ev_62cc56240a9b,hm_8c986396d3ec,1.157907485961914,False
0.01,0.0001,20,sol_1a594ee262f23acb,ev_62eeab53a4e6,hm_844cdcf42c7e,0.4545454680919647,False
0.01,0.0001,50,sol_516aaed04fb9c606,ev_6328befa4258,hm_844cdcf42c7e,0.4545454680919647,False
0.0,0.0005,50,sol_ed5d7fd2a53b5fbb,ev_632c3cb89e63,hm_7a9cff01f511,0.5670134425163269,False
0.01,0.0005,100,sol_58f6e743598d350f,ev_639b9d1ba9b5,hm_bd4d3751a16f,0.4545454680919647,False
0.0,0.0005,400,sol_c859a0f3478a07ba,ev_63a15693b5f5,hm_7a9cff01f511,0.5669559240341187,False
0.01,0.0001,400,sol_b6dcaf16ef2a1db0,ev_6435047f2901,hm_844cdcf42c7e,0.9737217426300049,False
0.01,0.0003,700,sol_fcd36038dc8f3115,ev_64430ac28768,hm_3298667cddaa,1.4997400045394897,False
0.02,0.0001,1000,sol_c649000f64caaa17,ev_644b4c16b227,hm_979a58ab8892,3.4876418113708496,False
0.01,0.0005,10,sol_27f1d2f5204c5f85,ev_646c46ee946d,hm_bd4d3751a16f,0.4545454680919647,False
0.02,0.0005,700,sol_4ccb70d7bf8aa3a7,ev_6484e5f48e5b,hm_f442e5139114,20.045705795288086,False
0.02,0.0005,100,sol_338ffeb560de1745,ev_648c57dba38f,hm_f442e5139114,0.5999165177345276,False
0.05,0.0001,50,sol_afc5ce8a18dc3306,ev_64c5f7e72236,hm_9108b6e19b67,0.6851902008056641,False
0.0,0.0005,400,sol_28137f043ccbf85a,ev_6502f404bcfe,hm_7a9cff01f511,0.6981776356697083,False
