phi_max,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.01,0.0001,400,sol_612d0e140c21c466,ev_fbec2c3b3549,hm_a00ad2a2c52a,1.5026984214782715,False
0.02,0.0003,100,sol_be76a138549a4c0a,ev_fbedc3932ec1,hm_a0f8ed47a107,1.3449763059616089,False
0.02,0.0001,20,sol_50af3aa3f346ac19,ev_fc3801f63696,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,10,sol_4e97a3f9019c1c0b,ev_fc9f9cc6fc56,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,100,sol_6eecf84f8e5a18b2,ev_fcc87dcaa7cf,hm_a0f8ed47a107,0.5999400615692139,False
0.1,0.0003,700,sol_665fb3e1724100bf,ev_fcd81724b30a,hm_a0f8ed47a107,1.3918895721435547,False
0.02,0.0003,20,sol_1fbeb3eaf50d224a,ev_fcfa7a09c24f,hm_a0f8ed47a107,0.5670102834701538,False
0.01,0.0003,20,sol_d391b659df34fd35,ev_fd352d89fb37,hm_a0f8ed47a107,1.0702463388442993,False
0.01,0.0003,20,sol_f629b2999b1bb958,ev_fd5889322ffd,hm_a0f8ed47a107,0.5670102834701538,False
0.02,0.0001,100,sol_50fe1fa8c5042600,ev_fd8354727330,hm_a00ad2a2c52a,0.6290995478630066,False
0.2,0.0001,20,sol_34064088970a6122,ev_fd91b4bf6212,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,400,sol_5a516721b23d88b8,ev_fdb07cae7e60,hm_a0f8ed47a107,3282.927978515625,True
0.02,0.0003,20,sol_cd71d3b6d4f3b97f,ev_fdca3ac35c3c,hm_a0f8ed47a107,0.760869562625885,False
0.02,0.0001,10,sol_a562a5c2fed491d3,ev_fddac275087e,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,200,sol_0223fb1022263a0a,ev_fdde19a34edf,hm_a0f8ed47a107,0.739344596862793,False
0.01,0.0003,700,sol_ecb324fa3276a430,ev_fdfc09b597d4,hm_a0f8ed47a107,659.8990478515625,True
0.1,0.0003,20,sol_39a149e85594ec94,ev_fe8beb7d7705,hm_a0f8ed47a107,0.4545454680919647,False
0.1,0.0003,100,sol_0e6a6e552e7c5787,ev_fee2279a659f,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0001,10,sol_95f501b1d2de162f,ev_fee5cc57153b,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,200,sol_dd4f1385428abf61,ev_fef276c60149,hm_a00ad2a2c52a,0.7361292839050293,False
0.2,0.0001,200,sol_6857eaf63be3306f,ev_ff47c55886b6,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0003,20,sol_71449bc8d629eed0,ev_ffe3678898f5,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0003,100,sol_b0f3ab365ea8700d,ev_ffef2f384609,hm_a0f8ed47a107,0.6980745792388916,False
0.2,0.0001,10,sol_ef5a6ae4ff0f4ac7,ev_fffb9dda5d63,hm_a00ad2a2c52a,0.4545454680919647,False
