hit_ineff,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.02,0.0003,20,sol_e22bef0aabb338a2,ev_e23997a5714c,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0001,200,sol_4a6653938fc2b73b,ev_e23be380178e,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0005,50,sol_918f3a53e85cb533,ev_e24361eab6d6,hm_7a9cff01f511,0.4545454680919647,False
0.1,0.001,700,sol_11614350d9c58e91,ev_e24e75381f89,hm_8de6b26636d5,2.5467123985290527,False
0.01,0.001,100,sol_29ca043b281be11d,ev_e25322c721ed,hm_8de6b26636d5,0.5669770836830139,False
0.1,0.0005,10,sol_896b85c65186e636,ev_e257aaab7146,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.001,50,sol_0f36219cf2760aec,ev_e26137272809,hm_8de6b26636d5,0.4545454680919647,False
0.01,0.0005,50,sol_e889cca35d577a1e,ev_e26da3df1e72,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.0003,1000,sol_c95c91f9cf40c886,ev_e27129e22c0e,hm_a0f8ed47a107,1.143102765083313,False
0.1,0.0003,200,sol_86a02d5861c123f7,ev_e27e0cd02dc4,hm_a0f8ed47a107,0.5744736790657043,False
0.1,0.0005,1000,sol_f64a55ee10923427,ev_e284906c5192,hm_7a9cff01f511,1.6149711608886719,False
0.05,0.001,50,sol_7fb9ba5b1af5ef69,ev_e29eeb8037fa,hm_8de6b26636d5,0.4545454680919647,False
0.1,0.0005,1000,sol_18253551bba1d81b,ev_e2ae12e078e3,hm_7a9cff01f511,0.821977436542511,False
0.1,0.0005,1000,sol_6a05457cde0cc1c9,ev_e2bf32c6c8e4,hm_7a9cff01f511,1.1417546272277832,False
0.05,0.0007,200,sol_1f7187e33eb7aa7e,ev_e2bf8331fc81,hm_b46918a75620,0.5669057369232178,False
0.1,0.0001,1000,sol_c7b6fb571b1b836f,ev_e2c6f44569fc,hm_a00ad2a2c52a,0.8203326463699341,False
0.02,0.0003,400,sol_3278c80e4bf30732,ev_e2e674258a52,hm_a0f8ed47a107,0.5669031143188477,False
0.02,0.0003,400,sol_81cc2a153f15c66d,ev_e2e845ede0a9,hm_a0f8ed47a107,0.5669180750846863,False
0.0,0.001,700,sol_98aece67b2d19e4c,ev_e2f4e75859db,hm_8de6b26636d5,2.10831618309021,False
0.05,0.0005,10,sol_c2e63950c8e3fae5,ev_e2f4eba62ace,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.0007,400,sol_7459f292eea1b297,ev_e322158ffd84,hm_b46918a75620,0.9337818026542664,False
0.01,0.0003,400,sol_9ad0f231ade2128b,ev_e33170b12c97,hm_a0f8ed47a107,0.4545443654060364,False
