shots,n_trk,rep,who,drop_rate,n_true_all,n_true_clean,n_false_all,n_active,n_true_active,n_false_active,eff_pct,fr_pct,cos,jaccard,t_classical,t_quantum,success_prob,n_seg
8192,75,10,Q,0.0,300,300,22200,25,25,0,8.333333333333334,0.0,0.05782957198747922,0.08250825082508251,0.0012938976287841797,16.86906147003174,0.003173828125,22500
8192,75,11,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04823008688582901,0.06666666666666667,0.0009870529174804688,9.554282188415527,0.00244140625,22500
8192,75,11,Q,0.0,300,300,22200,20,20,0,6.666666666666667,0.0,0.04823008688582901,0.06666666666666667,0.0009870529174804688,9.554282188415527,0.00244140625,22500
8192,75,12,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.054341281895335436,0.07666666666666666,0.0010859966278076172,16.046552658081055,0.0029296875,22500
8192,75,12,Q,0.0,300,300,22200,23,23,0,7.666666666666667,0.0,0.054341281895335436,0.07666666666666666,0.0010859966278076172,16.046552658081055,0.0029296875,22500
8192,75,13,C,0.0,300,300,22200,305,300,5,100.0,1.639344262295082,0.04891062098414051,0.06557377049180328,0.0014452934265136719,11.584630966186523,0.00244140625,22500
8192,75,13,Q,0.0,300,300,22200,20,20,0,6.666666666666667,0.0,0.04891062098414051,0.06557377049180328,0.0014452934265136719,11.584630966186523,0.00244140625,22500
8192,75,14,C,0.0,300,300,22200,316,300,16,100.0,5.063291139240507,0.05494494892144119,0.07278481012658228,0.0017540454864501953,14.087727785110474,0.0028076171875,22500
8192,75,14,Q,0.0,300,300,22200,23,23,0,7.666666666666667,0.0,0.05494494892144119,0.07278481012658228,0.0017540454864501953,14.087727785110474,0.0028076171875,22500
8192,75,15,C,0.0,300,300,22200,303,300,3,100.0,0.9900990099009901,0.04773133896361794,0.0627062706270627,0.00125885009765625,14.57445240020752,0.00244140625,22500
8192,75,15,Q,0.0,300,300,22200,19,19,0,6.333333333333333,0.0,0.04773133896361794,0.0627062706270627,0.00125885009765625,14.57445240020752,0.00244140625,22500
8192,75,16,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04453329277378183,0.046357615894039736,0.0010497570037841797,14.050786256790161,0.001953125,22500
8192,75,16,Q,0.0,300,300,22200,16,14,2,4.666666666666667,12.5,0.04453329277378183,0.046357615894039736,0.0010497570037841797,14.050786256790161,0.001953125,22500
8192,75,17,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04373389973018501,0.046511627906976744,0.0014498233795166016,14.436140060424805,0.0018310546875,22500
8192,75,17,Q,0.0,300,300,22200,15,14,1,4.666666666666667,6.666666666666667,0.04373389973018501,0.046511627906976744,0.0014498233795166016,14.436140060424805,0.0018310546875,22500
8192,75,18,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.05279809083894934,0.07333333333333333,0.0009572505950927734,13.915985107421875,0.0032958984375,22500
8192,75,18,Q,0.0,300,300,22200,22,22,0,7.333333333333333,0.0,0.05279809083894934,0.07333333333333333,0.0009572505950927734,13.915985107421875,0.0032958984375,22500
8192,75,19,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04186905893363425,0.043333333333333335,0.001180887222290039,11.039668083190918,0.0018310546875,22500
8192,75,19,Q,0.0,300,300,22200,13,13,0,4.333333333333333,0.0,0.04186905893363425,0.043333333333333335,0.001180887222290039,11.039668083190918,0.0018310546875,22500
8192,75,20,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.050959517603636956,0.06666666666666667,0.0010428428649902344,15.020074605941772,0.002685546875,22500
8192,75,20,Q,0.0,300,300,22200,20,20,0,6.666666666666667,0.0,0.050959517603636956,0.06666666666666667,0.0010428428649902344,15.020074605941772,0.002685546875,22500
8192,75,21,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.05400343512179779,0.07333333333333333,0.0007727146148681641,10.226619243621826,0.0028076171875,22500
8192,75,21,Q,0.0,300,300,22200,22,22,0,7.333333333333333,0.0,0.05400343512179779,0.07333333333333333,0.0007727146148681641,10.226619243621826,0.0028076171875,22500
8192,75,22,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04594538045657288,0.06,0.0012805461883544922,15.5770845413208,0.00244140625,22500
8192,75,22,Q,0.0,300,300,22200,18,18,0,6.0,0.0,0.04594538045657288,0.06,0.0012805461883544922,15.5770845413208,0.00244140625,22500
8192,75,23,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.038301349835845135,0.03666666666666667,0.0007240772247314453,9.371532440185547,0.0013427734375,22500
8192,75,23,Q,0.0,300,300,22200,11,11,0,3.6666666666666665,0.0,0.038301349835845135,0.03666666666666667,0.0007240772247314453,9.371532440185547,0.0013427734375,22500
8192,75,24,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.050498544970959375,0.07,0.0012507438659667969,15.722060918807983,0.0029296875,22500
8192,75,24,Q,0.0,300,300,22200,21,21,0,7.0,0.0,0.050498544970959375,0.07,0.0012507438659667969,15.722060918807983,0.0029296875,22500
8192,75,25,C,0.0,300,300,22200,302,300,2,100.0,0.6622516556291391,0.044945161449112654,0.049342105263157895,0.0013260841369628906,15.292133331298828,0.0020751953125,22500
8192,75,25,Q,0.0,300,300,22200,17,15,2,5.0,11.764705882352942,0.044945161449112654,0.049342105263157895,0.0013260841369628906,15.292133331298828,0.0020751953125,22500
8192,75,26,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04838503691835113,0.06333333333333334,0.0007011890411376953,12.837703943252563,0.0023193359375,22500
8192,75,26,Q,0.0,300,300,22200,19,19,0,6.333333333333333,0.0,0.04838503691835113,0.06333333333333334,0.0007011890411376953,12.837703943252563,0.0023193359375,22500
8192,75,27,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.05037875244225234,0.06666666666666667,0.000986337661743164,14.44959020614624,0.00244140625,22500
8192,75,27,Q,0.0,300,300,22200,20,20,0,6.666666666666667,0.0,0.05037875244225234,0.06666666666666667,0.000986337661743164,14.44959020614624,0.00244140625,22500
8192,75,28,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04212612253031496,0.04666666666666667,0.0011439323425292969,16.56129026412964,0.0018310546875,22500
8192,75,28,Q,0.0,300,300,22200,14,14,0,4.666666666666667,0.0,0.04212612253031496,0.04666666666666667,0.0011439323425292969,16.56129026412964,0.0018310546875,22500
8192,75,29,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.05007012826251992,0.06312292358803986,0.0009853839874267578,14.823042154312134,0.0025634765625,22500
8192,75,29,Q,0.0,300,300,22200,20,19,1,6.333333333333333,5.0,0.05007012826251992,0.06312292358803986,0.0009853839874267578,14.823042154312134,0.0025634765625,22500
8192,75,30,C,0.0,300,300,22200,302,300,2,100.0,0.6622516556291391,0.05144020307614921,0.0695364238410596,0.0009837150573730469,11.298531293869019,0.002685546875,22500
