T,rep,n_bins,eff,ghost,n_cand,t_ms
20,6,64,0.9,0.0,18,4.0035247802734375
20,6,128,0.9,0.0,18,4.563093185424805
20,6,256,1.0,0.0,20,8.187294006347656
20,6,512,1.0,0.0,20,25.68840980529785
20,6,1024,0.95,0.0,19,93.7514305114746
20,6,2048,0.5,0.0,10,319.2744255065918
20,7,64,0.95,0.0,19,4.120826721191406
20,7,128,0.95,0.0,19,4.637718200683594
20,7,256,0.95,0.0,19,7.771968841552734
20,7,512,1.0,0.0,20,24.43146705627441
20,7,1024,1.0,0.0,20,85.42370796203613
20,7,2048,1.0,0.0,20,328.2809257507324
20,8,64,1.0,0.0,20,4.230976104736328
20,8,128,1.0,0.0,20,4.803895950317383
20,8,256,1.0,0.0,20,7.975101470947266
20,8,512,1.0,0.0,20,24.871826171875
20,8,1024,1.0,0.0,20,90.28267860412598
20,8,2048,1.0,0.0,20,326.5178203582764
20,9,64,0.9,0.0526315789473684,19,4.15349006652832
20,9,128,1.0,0.0,20,4.829883575439453
20,9,256,1.0,0.0,20,8.012056350708008
20,9,512,1.0,0.0,20,24.909257888793945
20,9,1024,1.0,0.0,20,89.60890769958496
20,9,2048,1.0,0.0,20,327.88681983947754
50,0,64,0.88,0.0,44,8.693933486938477
50,0,128,0.94,0.0,47,9.926557540893556
50,0,256,0.94,0.0,47,12.911081314086914
50,0,512,0.92,0.0212765957446808,47,29.88290786743164
50,0,1024,1.0,0.0,50,93.13535690307616
50,0,2048,1.0,0.0,50,343.6257839202881
50,1,64,0.84,0.0,42,8.727312088012695
50,1,128,0.94,0.0,47,10.174989700317385
50,1,256,1.0,0.0,50,14.017105102539062
50,1,512,1.0,0.0,50,32.55867958068848
50,1,1024,0.96,0.0,48,100.0819206237793
50,1,2048,0.64,0.0,32,344.32244300842285
50,2,64,0.9,0.0,45,8.965730667114258
50,2,128,1.0,0.0,50,10.497331619262695
50,2,256,1.0,0.0,50,13.654708862304688
50,2,512,1.0,0.0,50,31.45360946655273
50,2,1024,0.96,0.0,48,95.86405754089355
50,2,2048,0.94,0.0,47,328.427791595459
50,3,64,0.86,0.0,43,8.614778518676758
50,3,128,0.96,0.0,48,10.05840301513672
50,3,256,0.98,0.0,49,13.438701629638672
50,3,512,1.0,0.0,50,30.362606048583984
50,3,1024,1.0,0.0,50,91.75372123718262
50,3,2048,1.0,0.0,50,336.7464542388916
50,4,64,0.92,0.0,46,9.221792221069336
50,4,128,0.98,0.0,49,10.338306427001951
50,4,256,0.98,0.0,49,13.444900512695312
50,4,512,1.0,0.0,50,30.58147430419922
50,4,1024,1.0,0.0,50,95.46971321105956
50,4,2048,0.98,0.0,49,333.5416316986084
50,5,64,0.9,0.0,45,8.834362030029297
50,5,128,1.0,0.0,50,10.336875915527344
50,5,256,1.0,0.0,50,13.421297073364258
50,5,512,1.0,0.0,50,30.31754493713379
50,5,1024,1.0,0.0,50,94.8941707611084
50,5,2048,0.98,0.0,49,332.6871395111084
50,6,64,0.78,0.025,40,7.99870491027832
50,6,128,0.92,0.0,46,9.671449661254885
50,6,256,1.0,0.0,50,14.049530029296877
50,6,512,0.98,0.0,49,31.783580780029297
50,6,1024,0.74,0.0,37,97.93686866760254
50,6,2048,0.22,0.0,11,333.7385654449463
50,7,64,0.92,0.0,46,8.876323699951172
50,7,128,0.98,0.0,49,9.931564331054688
