config,T,rep,eff,ghost,clone,t_ms
locus 1024,200,8,0.96,0.0,0.0,296.4167594909668
locus 2048,200,8,0.95,0.010416666666666666,0.0,704.4110298156738
point 256,200,9,0.95,0.005235602094240838,0.0,73.82702827453613
point 1024,200,9,0.475,0.0,0.0,222.6879596710205
locus 1024,200,9,0.98,0.005076142131979695,0.0,323.14538955688477
locus 2048,200,9,0.985,0.005050505050505051,0.0,724.5965003967285
point 256,400,0,0.88,0.024930747922437674,0.0,124.22370910644531
point 1024,400,0,0.9375,0.005305039787798408,0.0,300.1086711883545
locus 1024,400,0,0.955,0.015463917525773196,0.0,521.5926170349121
locus 2048,400,0,0.965,0.010256410256410256,0.0,892.3513889312744
point 256,400,1,0.8575,0.04189944134078212,0.0,113.38090896606445
point 1024,400,1,0.94,0.005291005291005291,0.0,284.1620445251465
locus 1024,400,1,0.93,0.008,0.0,485.57043075561523
locus 2048,400,1,0.9575,0.0103359173126615,0.0,918.7400341033936
point 256,400,2,0.885,0.03278688524590164,0.0,145.9667682647705
point 1024,400,2,0.9625,0.0025906735751295338,0.0,283.933162689209
locus 1024,400,2,0.955,0.005208333333333333,0.0,478.21950912475586
locus 2048,400,2,0.975,0.00510204081632653,0.0,946.8488693237305
point 256,400,3,0.855,0.04201680672268908,0.0,123.81315231323242
point 1024,400,3,0.8175,0.003048780487804878,0.0,299.7152805328369
locus 1024,400,3,0.925,0.02631578947368421,0.0,537.7981662750244
locus 2048,400,3,0.9425,0.015665796344647518,0.0,929.4846057891846
point 256,400,4,0.895,0.011049723756906077,0.0,127.10213661193848
point 1024,400,4,0.97,0.005128205128205128,0.0,294.24118995666504
locus 1024,400,4,0.9525,0.0078125,0.0,543.1022644042969
locus 2048,400,4,0.97,0.002570694087403599,0.0,925.1399040222168
point 256,400,5,0.88,0.01675977653631285,0.0,150.0387191772461
point 1024,400,5,0.9725,0.002564102564102564,0.0,304.58807945251465
locus 1024,400,5,0.9425,0.005277044854881266,0.0,518.9847946166992
locus 2048,400,5,0.9775,0.002551020408163265,0.0,1136.890172958374
point 256,400,6,0.8825,0.03814713896457766,0.0,129.06932830810547
point 1024,400,6,0.73,0.006802721088435374,0.0,297.9252338409424
locus 1024,400,6,0.9275,0.013297872340425532,0.0,489.9334907531738
locus 2048,400,6,0.9575,0.0103359173126615,0.0,1009.3369483947754
point 256,400,7,0.9075,0.00819672131147541,0.0,129.84514236450195
point 1024,400,7,1.0,0.0,0.0,295.3476905822754
locus 1024,400,7,0.95,0.005235602094240838,0.0,560.8210563659668
locus 2048,400,7,0.9725,0.002564102564102564,0.0,1039.853572845459
point 256,400,8,0.94,0.002652519893899204,0.0,146.99745178222656
point 1024,400,8,0.9925,0.002512562814070352,0.0,311.0692501068115
locus 1024,400,8,0.9425,0.013089005235602094,0.0,520.2212333679199
locus 2048,400,8,0.9725,0.007653061224489796,0.0,1061.9609355926514
point 256,400,9,0.9475,0.0,0.0,136.08956336975098
point 1024,400,9,0.9975,0.0,0.0,268.1775093078613
locus 1024,400,9,0.955,0.0026109660574412533,0.0,476.22036933898926
locus 2048,400,9,0.975,0.007633587786259542,0.0,1043.114185333252
point 256,700,0,0.8242857142857143,0.022033898305084745,0.0,206.8154811859131
point 1024,700,0,0.9814285714285714,0.004347826086956522,0.0,391.190767288208
locus 1024,700,0,0.8942857142857142,0.018808777429467086,0.0,844.0589904785156
locus 2048,700,0,0.9328571428571428,0.016566265060240965,0.0,1347.6347923278809
point 256,700,1,0.7528571428571429,0.08347826086956522,0.0,265.4683589935303
point 1024,700,1,0.7057142857142857,0.040776699029126215,0.0,459.42163467407227
locus 1024,700,1,0.88,0.02066772655007949,0.0,729.9768924713135
locus 2048,700,1,0.9242857142857143,0.018209408194233688,0.0,2746.212959289551
point 256,700,2,0.8357142857142857,0.03305785123966942,0.0,242.03038215637207
