tag,sigma_res,sigma_scatt,n_trk,rep,n_seg,repro_ok,type,count,act_C,act_Q,act_Q_wp,tau_Q_wp,have_q
eps2_sr0.01_ss0.0001,0.01,0.0001,200,2,160000,True,hub,18,0,1.0,1.0,1.3729776839661458,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,2,160000,True,TRUE,800,800,800.0,793.0,1.3729776839661458,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,3,160000,True,isolated,158773,17,381.0,381.0,1.3818788132456783,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,3,160000,True,pair,412,0,1.0,1.0,1.3818788132456783,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,3,160000,True,chain>=3,9,0,1.0,1.0,1.3818788132456783,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,3,160000,True,hub,6,0,0.0,0.0,1.3818788132456783,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,3,160000,True,TRUE,800,799,799.0,792.0,1.3818788132456783,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,4,160000,True,isolated,158818,35,375.0,372.0,1.3723717481478608,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,4,160000,True,pair,372,0,0.0,0.0,1.3723717481478608,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,4,160000,True,chain>=3,0,0,0.0,0.0,1.3723717481478608,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,4,160000,True,hub,10,0,0.0,0.0,1.3723717481478608,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,4,160000,True,TRUE,800,800,800.0,793.0,1.3723717481478608,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,0,640000,True,isolated,635243,222,3160.0,3157.0,1.5173884534059734,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,0,640000,True,pair,2958,0,18.0,18.0,1.5173884534059734,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,0,640000,True,chain>=3,156,0,0.0,0.0,1.5173884534059734,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,0,640000,True,hub,43,0,0.0,0.0,1.5173884534059734,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,0,640000,True,TRUE,1600,1600,1600.0,1585.0,1.5173884534059734,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,1,640000,True,isolated,635050,193,3014.0,3013.0,1.4360137831730821,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,1,640000,True,pair,3166,0,25.0,25.0,1.4360137831730821,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,1,640000,True,chain>=3,147,0,0.0,0.0,1.4360137831730821,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,1,640000,True,hub,37,0,0.0,0.0,1.4360137831730821,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,1,640000,True,TRUE,1600,1600,1600.0,1600.0,1.4360137831730821,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,2,640000,True,isolated,635184,132,3001.0,2999.0,1.5492891898467696,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,2,640000,True,pair,3012,0,10.0,10.0,1.5492891898467696,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,2,640000,True,chain>=3,142,1,2.0,2.0,1.5492891898467696,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,2,640000,True,hub,62,0,0.0,0.0,1.5492891898467696,True
eps2_sr0.01_ss0.0001,0.01,0.0001,400,2,640000,True,TRUE,1600,1600,1600.0,1584.0,1.5492891898467696,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,0,10000,True,isolated,9800,0,8.0,8.0,0.7792485372771676,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,0,10000,True,pair,0,0,0.0,0.0,0.7792485372771676,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,0,10000,True,chain>=3,0,0,0.0,0.0,0.7792485372771676,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,0,10000,True,hub,0,0,0.0,0.0,0.7792485372771676,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,0,10000,True,TRUE,200,200,200.0,200.0,0.7792485372771676,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,1,10000,True,isolated,9795,0,8.0,8.0,0.7792485372771557,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,1,10000,True,pair,4,0,0.0,0.0,0.7792485372771557,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,1,10000,True,chain>=3,0,0,0.0,0.0,0.7792485372771557,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,1,10000,True,hub,1,0,0.0,0.0,0.7792485372771557,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,1,10000,True,TRUE,200,200,200.0,200.0,0.7792485372771557,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,2,10000,True,isolated,9794,0,6.0,6.0,0.7811481209439672,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,2,10000,True,pair,6,0,0.0,0.0,0.7811481209439672,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,2,10000,True,chain>=3,0,0,0.0,0.0,0.7811481209439672,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,2,10000,True,hub,0,0,0.0,0.0,0.7811481209439672,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,2,10000,True,TRUE,200,200,200.0,200.0,0.7811481209439672,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,3,10000,True,isolated,9798,0,8.0,8.0,0.7792485372771715,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,3,10000,True,pair,2,0,0.0,0.0,0.7792485372771715,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,3,10000,True,chain>=3,0,0,0.0,0.0,0.7792485372771715,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,3,10000,True,hub,0,0,0.0,0.0,0.7792485372771715,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,3,10000,True,TRUE,200,200,200.0,200.0,0.7792485372771715,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,4,10000,True,isolated,9785,2,8.0,8.0,0.7742740761368762,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,4,10000,True,pair,8,0,0.0,0.0,0.7742740761368762,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,4,10000,True,chain>=3,0,0,0.0,0.0,0.7742740761368762,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,4,10000,True,hub,7,0,0.0,0.0,0.7742740761368762,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,4,10000,True,TRUE,200,200,200.0,198.0,0.7742740761368762,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,5,10000,True,isolated,9794,2,8.0,8.0,0.7742740761369047,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,5,10000,True,pair,6,0,0.0,0.0,0.7742740761369047,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,5,10000,True,chain>=3,0,0,0.0,0.0,0.7742740761369047,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,5,10000,True,hub,0,0,0.0,0.0,0.7742740761369047,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,5,10000,True,TRUE,200,200,200.0,198.0,0.7742740761369047,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,6,10000,True,isolated,9798,0,6.0,6.0,0.7811481209439772,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,6,10000,True,pair,2,0,0.0,0.0,0.7811481209439772,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,6,10000,True,chain>=3,0,0,0.0,0.0,0.7811481209439772,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,6,10000,True,hub,0,0,0.0,0.0,0.7811481209439772,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,6,10000,True,TRUE,200,200,200.0,200.0,0.7811481209439772,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,7,10000,True,isolated,9796,1,5.0,5.0,0.779574372801699,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,7,10000,True,pair,4,0,0.0,0.0,0.779574372801699,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,7,10000,True,chain>=3,0,0,0.0,0.0,0.779574372801699,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,7,10000,True,hub,0,0,0.0,0.0,0.779574372801699,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,7,10000,True,TRUE,200,200,200.0,199.0,0.779574372801699,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,8,10000,True,isolated,9797,0,6.0,6.0,0.7811481209439658,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,8,10000,True,pair,2,0,0.0,0.0,0.7811481209439658,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,8,10000,True,chain>=3,0,0,0.0,0.0,0.7811481209439658,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,8,10000,True,hub,1,0,0.0,0.0,0.7811481209439658,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,8,10000,True,TRUE,200,200,200.0,200.0,0.7811481209439658,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,9,10000,True,isolated,9792,0,10.0,10.0,0.7773633094825989,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,9,10000,True,pair,8,0,0.0,0.0,0.7773633094825989,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,9,10000,True,chain>=3,0,0,0.0,0.0,0.7773633094825989,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,9,10000,True,hub,0,0,0.0,0.0,0.7773633094825989,True
eps2_sr0.01_ss0.0003,0.01,0.0003,50,9,10000,True,TRUE,200,200,200.0,200.0,0.7773633094825989,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,0,40000,True,isolated,39543,2,34.0,34.0,1.0773147106704104,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,0,40000,True,pair,56,0,0.0,0.0,1.0773147106704104,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,0,40000,True,chain>=3,0,0,0.0,0.0,1.0773147106704104,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,0,40000,True,hub,1,0,0.0,0.0,1.0773147106704104,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,0,40000,True,TRUE,400,400,400.0,398.0,1.0773147106704104,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,1,40000,True,isolated,39541,0,48.0,48.0,1.0717878167305541,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,1,40000,True,pair,52,0,0.0,0.0,1.0717878167305541,True
