n_trk,rep,who,drop_rate,n_true_all,n_true_clean,n_false_all,n_active,n_true_active,n_false_active,eff_pct,fr_pct,cos,jaccard,t_classical,t_quantum,success_prob,n_seg
2,19,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8247501068939861,0.75,0.0003285408020019531,0.4138526916503906,0.143798828125,16
2,19,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8247501068939861,0.75,0.0003285408020019531,0.4138526916503906,0.143798828125,16
2,20,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8272610901307847,0.75,0.0002601146697998047,0.35159897804260254,0.1409912109375,16
2,20,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8272610901307847,0.75,0.0002601146697998047,0.35159897804260254,0.1409912109375,16
2,21,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8216153601341564,0.75,0.0002925395965576172,0.32438015937805176,0.1544189453125,16
2,21,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8216153601341564,0.75,0.0002925395965576172,0.32438015937805176,0.1544189453125,16
2,22,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8290486781980887,0.75,0.0003082752227783203,0.32399535179138184,0.1455078125,16
2,22,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8290486781980887,0.75,0.0003082752227783203,0.32399535179138184,0.1455078125,16
2,23,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8247147087806815,0.75,0.0002522468566894531,0.36644816398620605,0.1407470703125,16
2,23,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8247147087806815,0.75,0.0002522468566894531,0.36644816398620605,0.1407470703125,16
2,24,C,0.01,7,8,7,7,7,0,87.5,0.0,0.8249793036481777,0.7142857142857143,0.00034928321838378906,0.3610570430755615,0.118896484375,14
2,24,Q,0.01,7,8,7,5,5,0,62.5,0.0,0.8249793036481777,0.7142857142857143,0.00034928321838378906,0.3610570430755615,0.118896484375,14
2,25,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8246209557075488,0.75,0.00021529197692871094,0.28819990158081055,0.141845703125,16
2,25,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8246209557075488,0.75,0.00021529197692871094,0.28819990158081055,0.141845703125,16
2,26,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8268000417536631,0.75,0.0003819465637207031,0.42426395416259766,0.140869140625,16
2,26,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8268000417536631,0.75,0.0003819465637207031,0.42426395416259766,0.140869140625,16
2,27,C,0.01,7,8,7,7,7,0,87.5,0.0,0.8272471002491263,0.7142857142857143,0.0003082752227783203,0.4108247756958008,0.1168212890625,14
2,27,Q,0.01,7,8,7,5,5,0,62.5,0.0,0.8272471002491263,0.7142857142857143,0.0003082752227783203,0.4108247756958008,0.1168212890625,14
2,28,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8260182982069871,0.75,0.00040721893310546875,0.40653347969055176,0.146240234375,16
2,28,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8260182982069871,0.75,0.00040721893310546875,0.40653347969055176,0.146240234375,16
2,29,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8240537116395027,0.75,0.0003879070281982422,0.4280998706817627,0.1357421875,16
2,29,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8240537116395027,0.75,0.0003879070281982422,0.4280998706817627,0.1357421875,16
2,30,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8308940059995998,0.75,0.00044608116149902344,0.46445417404174805,0.1435546875,16
2,30,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8308940059995998,0.75,0.00044608116149902344,0.46445417404174805,0.1435546875,16
2,31,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8234730974705389,0.75,0.00034117698669433594,0.5121321678161621,0.1329345703125,16
2,31,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8234730974705389,0.75,0.00034117698669433594,0.5121321678161621,0.1329345703125,16
2,32,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8259298274684671,0.75,0.0003552436828613281,0.4632234573364258,0.1436767578125,16
2,32,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8259298274684671,0.75,0.0003552436828613281,0.4632234573364258,0.1436767578125,16
2,33,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8294122348542506,0.75,0.0004754066467285156,0.44493603706359863,0.1376953125,16
2,33,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8294122348542506,0.75,0.0004754066467285156,0.44493603706359863,0.1376953125,16
2,34,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8272939052917015,0.75,0.00037789344787597656,0.44228100776672363,0.1392822265625,16
2,34,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8272939052917015,0.75,0.00037789344787597656,0.44228100776672363,0.1392822265625,16
2,35,C,0.01,6,8,6,4,4,0,50.0,0.0,0.8086550570608957,0.6,0.0003635883331298828,0.5162637233734131,0.0906982421875,12
2,35,Q,0.01,6,8,6,4,4,0,50.0,0.0,0.8086550570608957,0.6,0.0003635883331298828,0.5162637233734131,0.0906982421875,12
2,36,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8312727383707261,0.75,0.00031638145446777344,0.4101829528808594,0.1392822265625,16
2,36,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8312727383707261,0.75,0.00031638145446777344,0.4101829528808594,0.1392822265625,16
2,37,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8237566788954653,0.75,0.00036215782165527344,0.7627556324005127,0.14697265625,16
2,37,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8237566788954653,0.75,0.00036215782165527344,0.7627556324005127,0.14697265625,16
2,38,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8295267682290062,0.75,0.0004215240478515625,0.39380550384521484,0.1429443359375,16
2,38,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8295267682290062,0.75,0.0004215240478515625,0.39380550384521484,0.1429443359375,16
2,39,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8265433048857828,0.75,0.0002601146697998047,0.2954244613647461,0.1431884765625,16
2,39,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8265433048857828,0.75,0.0002601146697998047,0.2954244613647461,0.1431884765625,16
2,40,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8238749843282024,0.75,0.0004169940948486328,0.47084736824035645,0.14453125,16
