phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,100,0.0006,0.6,0.0025456727990847,3,300,2999700,300,1671,1.0,0.84779299847793
0.02,100,0.0006,0.6,0.0025456727990847,4,300,2999700,300,1538,1.0,0.8367791077257889
0.02,100,0.0006,0.6,0.0025456727990847,5,300,2999700,300,1528,1.0,0.8358862144420132
0.02,100,0.0006,0.6,0.0025456727990847,6,300,2999700,300,1373,1.0,0.8206814106395697
0.02,100,0.0006,0.6,0.0025456727990847,7,300,2999700,300,1512,1.0,0.8344370860927153
0.02,100,0.0006,0.6,0.0025456727990847,8,300,2999700,300,1541,1.0,0.8370450841933732
0.02,100,0.0006,0.6,0.0025456727990847,9,300,2999700,300,1287,1.0,0.8109640831758034
0.02,100,0.0008,0.8,0.0033941788403088,0,300,2999700,300,2636,1.0,0.8978201634877384
0.02,100,0.0008,0.8,0.0033941788403088,1,300,2999700,300,2474,1.0,0.8918529199711608
0.02,100,0.0008,0.8,0.0033941788403088,2,300,2999700,300,2895,1.0,0.9061032863849764
0.02,100,0.0008,0.8,0.0033941788403088,3,300,2999700,300,2450,1.0,0.8909090909090909
0.02,100,0.0008,0.8,0.0033941788403088,4,300,2999700,300,2642,1.0,0.8980285520054385
0.02,100,0.0008,0.8,0.0033941788403088,5,300,2999700,300,2680,1.0,0.8993288590604027
0.02,100,0.0008,0.8,0.0033941788403088,6,300,2999700,300,2624,1.0,0.8974008207934336
0.02,100,0.0008,0.8,0.0033941788403088,7,300,2999700,300,2284,1.0,0.8839009287925697
0.02,100,0.0008,0.8,0.0033941788403088,8,300,2999700,300,2512,1.0,0.8933143669985776
0.02,100,0.0008,0.8,0.0033941788403088,9,300,2999700,300,2626,1.0,0.8974709501025291
0.02,100,0.001,1.0,0.0042426937197964,0,300,2999700,300,4728,1.0,0.9403341288782816
0.02,100,0.001,1.0,0.0042426937197964,1,300,2999700,300,3982,1.0,0.9299392807099486
0.02,100,0.001,1.0,0.0042426937197964,2,300,2999700,300,3971,1.0,0.9297588386794662
0.02,100,0.001,1.0,0.0042426937197964,3,300,2999700,299,4592,0.9966666666666668,0.9388673072991208
0.02,100,0.001,1.0,0.0042426937197964,4,300,2999700,300,4119,1.0,0.9321113374066532
0.02,100,0.001,1.0,0.0042426937197964,5,300,2999700,300,4731,1.0,0.9403697078115684
0.02,100,0.001,1.0,0.0042426937197964,6,300,2999700,300,3978,1.0,0.9298737727910238
0.02,100,0.001,1.0,0.0042426937197964,7,300,2999700,300,4068,1.0,0.9313186813186812
0.02,100,0.001,1.0,0.0042426937197964,8,300,2999700,300,4589,1.0,0.9386377582327674
0.02,100,0.001,1.0,0.0042426937197964,9,300,2999700,299,3985,0.9966666666666668,0.9302054154995332
0.2,10,5e-05,0.05,0.0002131900560532,0,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,1,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,2,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,3,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,4,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,5,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,6,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,7,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,8,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.0002131900560532,9,30,2970,30,0,1.0,0.0
