phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,20,0.02,0.02,0.0063126685373225,2,60,23940,60,79,1.0,0.5683453237410072
0.02,20,0.02,0.02,0.0063126685373225,3,60,23940,60,73,1.0,0.5488721804511278
0.02,20,0.02,0.02,0.0063126685373225,4,60,23940,60,101,1.0,0.6273291925465838
0.02,20,0.02,0.02,0.0063126685373225,5,60,23940,60,91,1.0,0.6026490066225165
0.02,20,0.02,0.02,0.0063126685373225,6,60,23940,60,107,1.0,0.6407185628742516
0.02,20,0.02,0.02,0.0063126685373225,7,60,23940,60,61,1.0,0.5041322314049587
0.02,20,0.02,0.02,0.0063126685373225,8,60,23940,60,103,1.0,0.6319018404907976
0.02,20,0.02,0.02,0.0063126685373225,9,60,23940,60,99,1.0,0.6226415094339622
0.02,20,0.03,0.03,0.0094570717326724,0,60,23940,60,243,1.0,0.801980198019802
0.02,20,0.03,0.03,0.0094570717326724,1,60,23940,60,181,1.0,0.7510373443983402
0.02,20,0.03,0.03,0.0094570717326724,2,60,23940,60,209,1.0,0.7769516728624535
0.02,20,0.03,0.03,0.0094570717326724,3,60,23940,60,181,1.0,0.7510373443983402
0.02,20,0.03,0.03,0.0094570717326724,4,60,23940,60,270,1.0,0.8181818181818182
0.02,20,0.03,0.03,0.0094570717326724,5,60,23940,60,379,1.0,0.8633257403189066
0.02,20,0.03,0.03,0.0094570717326724,6,60,23940,60,139,1.0,0.6984924623115578
0.02,20,0.03,0.03,0.0094570717326724,7,60,23940,60,188,1.0,0.7580645161290323
0.02,20,0.03,0.03,0.0094570717326724,8,60,23940,60,284,1.0,0.8255813953488372
0.02,20,0.03,0.03,0.0094570717326724,9,60,23940,60,181,1.0,0.7510373443983402
0.02,20,0.05,0.05,0.0157515370451374,0,60,23940,60,710,1.0,0.922077922077922
0.02,20,0.05,0.05,0.0157515370451374,1,60,23940,60,498,1.0,0.8924731182795699
0.02,20,0.05,0.05,0.0157515370451374,2,60,23940,60,607,1.0,0.9100449775112444
0.02,20,0.05,0.05,0.0157515370451374,3,60,23940,60,430,1.0,0.8775510204081632
0.02,20,0.05,0.05,0.0157515370451374,4,60,23940,60,653,1.0,0.9158485273492286
0.02,20,0.05,0.05,0.0157515370451374,5,60,23940,60,572,1.0,0.9050632911392406
0.02,20,0.05,0.05,0.0157515370451374,6,60,23940,60,552,1.0,0.9019607843137256
0.02,20,0.05,0.05,0.0157515370451374,7,60,23940,60,654,1.0,0.9159663865546218
0.02,20,0.05,0.05,0.0157515370451374,8,60,23940,60,599,1.0,0.9089529590288316
0.02,20,0.05,0.05,0.0157515370451374,9,60,23940,60,593,1.0,0.9081163859111792
0.02,50,0.0,0.0,0.0004247940677551,0,150,374850,150,3,1.0,0.0196078431372549
0.02,50,0.0,0.0,0.0004247940677551,1,150,374850,150,4,1.0,0.0259740259740259
0.02,50,0.0,0.0,0.0004247940677551,2,150,374850,150,5,1.0,0.032258064516129
0.02,50,0.0,0.0,0.0004247940677551,3,150,374850,150,5,1.0,0.032258064516129
0.02,50,0.0,0.0,0.0004247940677551,4,150,374850,150,4,1.0,0.0259740259740259
0.02,50,0.0,0.0,0.0004247940677551,5,150,374850,150,3,1.0,0.0196078431372549
0.02,50,0.0,0.0,0.0004247940677551,6,150,374850,150,1,1.0,0.0066225165562913
0.02,50,0.0,0.0,0.0004247940677551,7,150,374850,150,2,1.0,0.0131578947368421
0.02,50,0.0,0.0,0.0004247940677551,8,150,374850,149,5,0.9933333333333332,0.0324675324675324
0.02,50,0.0,0.0,0.0004247940677551,9,150,374850,150,3,1.0,0.0196078431372549
0.02,50,0.005,0.005,0.0016308858027061,0,150,374850,150,89,1.0,0.3723849372384937
0.02,50,0.005,0.005,0.0016308858027061,1,150,374850,150,102,1.0,0.4047619047619047
0.02,50,0.005,0.005,0.0016308858027061,2,150,374850,150,79,1.0,0.3449781659388646
0.02,50,0.005,0.005,0.0016308858027061,3,150,374850,150,72,1.0,0.3243243243243243
0.02,50,0.005,0.005,0.0016308858027061,4,150,374850,150,132,1.0,0.4680851063829787
0.02,50,0.005,0.005,0.0016308858027061,5,150,374850,150,106,1.0,0.4140625
0.02,50,0.005,0.005,0.0016308858027061,6,150,374850,150,78,1.0,0.3421052631578947
0.02,50,0.005,0.005,0.0016308858027061,7,150,374850,150,80,1.0,0.3478260869565217
0.02,50,0.005,0.005,0.0016308858027061,8,150,374850,150,84,1.0,0.358974358974359
0.02,50,0.005,0.005,0.0016308858027061,9,150,374850,150,61,1.0,0.2890995260663507
0.02,50,0.01,0.01,0.0031777035588293,0,150,374850,150,290,1.0,0.6590909090909091
0.02,50,0.01,0.01,0.0031777035588293,1,150,374850,150,427,1.0,0.7400346620450606
0.02,50,0.01,0.01,0.0031777035588293,2,150,374850,150,392,1.0,0.7232472324723247
0.02,50,0.01,0.01,0.0031777035588293,3,150,374850,150,294,1.0,0.6621621621621622
0.02,50,0.01,0.01,0.0031777035588293,4,150,374850,150,241,1.0,0.6163682864450127
0.02,50,0.01,0.01,0.0031777035588293,5,150,374850,150,301,1.0,0.6674057649667405
0.02,50,0.01,0.01,0.0031777035588293,6,150,374850,150,329,1.0,0.6868475991649269
0.02,50,0.01,0.01,0.0031777035588293,7,150,374850,150,298,1.0,0.6651785714285714
0.02,50,0.01,0.01,0.0031777035588293,8,150,374850,150,327,1.0,0.6855345911949685
0.02,50,0.01,0.01,0.0031777035588293,9,150,374850,150,403,1.0,0.72875226039783
0.02,50,0.015,0.015,0.004742833744163,0,150,374850,150,1109,1.0,0.880857823669579
0.02,50,0.015,0.015,0.004742833744163,1,150,374850,150,674,1.0,0.8179611650485437
0.02,50,0.015,0.015,0.004742833744163,2,150,374850,150,809,1.0,0.8435870698644421
0.02,50,0.015,0.015,0.004742833744163,3,150,374850,150,741,1.0,0.8316498316498316
0.02,50,0.015,0.015,0.004742833744163,4,150,374850,150,763,1.0,0.8357064622124863
0.02,50,0.015,0.015,0.004742833744163,5,150,374850,150,743,1.0,0.832026875699888
0.02,50,0.015,0.015,0.004742833744163,6,150,374850,150,610,1.0,0.8026315789473685
0.02,50,0.015,0.015,0.004742833744163,7,150,374850,150,829,1.0,0.8467824310520939
0.02,50,0.015,0.015,0.004742833744163,8,150,374850,150,708,1.0,0.8251748251748252
0.02,50,0.015,0.015,0.004742833744163,9,150,374850,150,792,1.0,0.8407643312101911
0.02,50,0.02,0.02,0.0063126685373225,0,150,374850,150,1200,1.0,0.8888888888888888
0.02,50,0.02,0.02,0.0063126685373225,1,150,374850,150,1080,1.0,0.8780487804878049
0.02,50,0.02,0.02,0.0063126685373225,2,150,374850,150,1470,1.0,0.9074074074074074
0.02,50,0.02,0.02,0.0063126685373225,3,150,374850,150,1544,1.0,0.911452184179457
0.02,50,0.02,0.02,0.0063126685373225,4,150,374850,150,1399,1.0,0.9031633311814072
0.02,50,0.02,0.02,0.0063126685373225,5,150,374850,150,1454,1.0,0.9064837905236908
0.02,50,0.02,0.02,0.0063126685373225,6,150,374850,150,1249,1.0,0.8927805575411007
0.02,50,0.02,0.02,0.0063126685373225,7,150,374850,150,1187,1.0,0.8878085265519821
0.02,50,0.02,0.02,0.0063126685373225,8,150,374850,150,1237,1.0,0.8918529199711608
0.02,50,0.02,0.02,0.0063126685373225,9,150,374850,150,1452,1.0,0.906367041198502
0.02,50,0.03,0.03,0.0094570717326724,0,150,374850,150,2922,1.0,0.951171875
0.02,50,0.03,0.03,0.0094570717326724,1,150,374850,150,3685,1.0,0.9608865710560626
0.02,50,0.03,0.03,0.0094570717326724,2,150,374850,150,2977,1.0,0.9520307003517748
0.02,50,0.03,0.03,0.0094570717326724,3,150,374850,150,2771,1.0,0.9486477233824032
0.02,50,0.03,0.03,0.0094570717326724,4,150,374850,150,3055,1.0,0.953198127925117
0.02,50,0.03,0.03,0.0094570717326724,5,150,374850,150,3186,1.0,0.9550359712230216
0.02,50,0.03,0.03,0.0094570717326724,6,150,374850,150,2238,1.0,0.9371859296482412
0.02,50,0.03,0.03,0.0094570717326724,7,150,374850,150,2772,1.0,0.9486652977412732
0.02,50,0.03,0.03,0.0094570717326724,8,150,374850,150,2443,1.0,0.9421519475510992
0.02,50,0.03,0.03,0.0094570717326724,9,150,374850,150,2950,1.0,0.9516129032258064
0.02,50,0.05,0.05,0.0157515370451374,0,150,374850,150,5499,1.0,0.9734466277217206
0.02,50,0.05,0.05,0.0157515370451374,1,150,374850,150,9750,1.0,0.9848484848484848
0.02,50,0.05,0.05,0.0157515370451374,2,150,374850,150,6926,1.0,0.9788015828151498
0.02,50,0.05,0.05,0.0157515370451374,3,150,374850,150,7922,1.0,0.9814172447968286
0.02,50,0.05,0.05,0.0157515370451374,4,150,374850,150,8463,1.0,0.982584465343086
0.02,50,0.05,0.05,0.0157515370451374,5,150,374850,150,7666,1.0,0.9808085977482088
0.02,50,0.05,0.05,0.0157515370451374,6,150,374850,150,6947,1.0,0.9788643088628998
0.02,50,0.05,0.05,0.0157515370451374,7,150,374850,150,6920,1.0,0.9787835926449788
0.02,50,0.05,0.05,0.0157515370451374,8,150,374850,150,6288,1.0,0.9767008387698044
0.02,50,0.05,0.05,0.0157515370451374,9,150,374850,150,8187,1.0,0.9820079165167328
0.02,100,0.0,0.0,0.0004247940677551,0,300,2999700,300,40,1.0,0.1176470588235294
0.02,100,0.0,0.0,0.0004247940677551,1,300,2999700,300,32,1.0,0.0963855421686747
0.02,100,0.0,0.0,0.0004247940677551,2,300,2999700,300,39,1.0,0.1150442477876106
0.02,100,0.0,0.0,0.0004247940677551,3,300,2999700,300,48,1.0,0.1379310344827586
0.02,100,0.0,0.0,0.0004247940677551,4,300,2999700,300,30,1.0,0.0909090909090909
0.02,100,0.0,0.0,0.0004247940677551,5,300,2999700,300,34,1.0,0.1017964071856287
0.02,100,0.0,0.0,0.0004247940677551,6,300,2999700,300,56,1.0,0.1573033707865168
0.02,100,0.0,0.0,0.0004247940677551,7,300,2999700,300,60,1.0,0.1666666666666666
0.02,100,0.0,0.0,0.0004247940677551,8,300,2999700,300,41,1.0,0.1202346041055718
0.02,100,0.0,0.0,0.0004247940677551,9,300,2999700,300,34,1.0,0.1017964071856287
0.02,100,0.005,0.005,0.0016308858027061,0,300,2999700,300,569,1.0,0.6547756041426928
0.02,100,0.005,0.005,0.0016308858027061,1,300,2999700,300,627,1.0,0.6763754045307443
0.02,100,0.005,0.005,0.0016308858027061,2,300,2999700,300,616,1.0,0.6724890829694323
0.02,100,0.005,0.005,0.0016308858027061,3,300,2999700,300,642,1.0,0.6815286624203821
0.02,100,0.005,0.005,0.0016308858027061,4,300,2999700,300,655,1.0,0.6858638743455497
0.02,100,0.005,0.005,0.0016308858027061,5,300,2999700,300,648,1.0,0.6835443037974683
0.02,100,0.005,0.005,0.0016308858027061,6,300,2999700,300,629,1.0,0.6770721205597416
0.02,100,0.005,0.005,0.0016308858027061,7,300,2999700,300,564,1.0,0.6527777777777778
0.02,100,0.005,0.005,0.0016308858027061,8,300,2999700,300,553,1.0,0.6483001172332943
0.02,100,0.005,0.005,0.0016308858027061,9,300,2999700,300,563,1.0,0.6523754345307068
0.02,100,0.01,0.01,0.0031777035588293,0,300,2999700,300,2622,1.0,0.8973305954825462
0.02,100,0.01,0.01,0.0031777035588293,1,300,2999700,300,2513,1.0,0.8933522929257021
0.02,100,0.01,0.01,0.0031777035588293,2,300,2999700,300,2258,1.0,0.8827208756841283
0.02,100,0.01,0.01,0.0031777035588293,3,300,2999700,299,2226,0.9966666666666668,0.8815841584158416
0.02,100,0.01,0.01,0.0031777035588293,4,300,2999700,300,2356,1.0,0.8870481927710844
0.02,100,0.01,0.01,0.0031777035588293,5,300,2999700,300,2290,1.0,0.8841698841698842
0.02,100,0.01,0.01,0.0031777035588293,6,300,2999700,300,2099,1.0,0.8749478949562317
0.02,100,0.01,0.01,0.0031777035588293,7,300,2999700,300,2446,1.0,0.8907501820830298
0.02,100,0.01,0.01,0.0031777035588293,8,300,2999700,299,2341,0.9966666666666668,0.8867424242424242
0.02,100,0.01,0.01,0.0031777035588293,9,300,2999700,300,1966,1.0,0.8676081200353045
0.02,100,0.015,0.015,0.004742833744163,0,300,2999700,300,5465,1.0,0.9479618386817
