n_tracks,drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate,pair_n_true,pair_n_false,pair_true_accepted,pair_false_accepted,pair_segment_efficiency,pair_segment_false_rate
500,0.0,0.02,9,1500,397683240,1499,822,0.9993333333333333,0.35415769065058167,3000,1996000,3000,210,1.0,0.06542056074766354
500,0.0,0.05,0,1500,431836192,1500,884,1.0,0.37080536912751677,3000,1996000,3000,162,1.0,0.051233396584440226
500,0.0,0.05,1,1500,436303908,1500,905,1.0,0.3762993762993763,3000,1996000,3000,152,1.0,0.048223350253807105
500,0.0,0.05,2,1500,435183075,1500,857,1.0,0.3635977938056852,3000,1996000,3000,117,1.0,0.03753609239653513
500,0.0,0.05,3,1500,433807096,1500,885,1.0,0.3710691823899371,3000,1996000,3000,128,1.0,0.04092071611253197
500,0.0,0.05,4,1500,434081028,1500,824,1.0,0.35456110154905335,3000,1996000,3000,188,1.0,0.05897114178168131
500,0.0,0.05,5,1500,430814442,1500,879,1.0,0.3694829760403531,3000,1996000,3000,162,1.0,0.051233396584440226
500,0.0,0.05,6,1500,433832775,1500,839,1.0,0.3587002992731937,3000,1996000,3000,201,1.0,0.06279287722586692
500,0.0,0.05,7,1500,433775740,1500,917,1.0,0.3793959453868432,3000,1996000,3000,181,1.0,0.05690034580320654
500,0.0,0.05,8,1500,435756900,1500,796,1.0,0.34668989547038326,3000,1996000,3000,87,1.0,0.028182701652089408
500,0.0,0.05,9,1500,433272077,1500,877,1.0,0.36895246108540175,3000,1996000,3000,242,1.0,0.07464528069093153
500,0.0,0.1,0,1500,500595735,1500,1022,1.0,0.40523394131641555,3000,1996000,3000,168,1.0,0.05303030303030303
500,0.0,0.1,1,1500,493953140,1500,883,1.0,0.370541334452371,3000,1996000,3000,196,1.0,0.06132665832290363
500,0.0,0.1,2,1500,503948004,1500,1068,1.0,0.4158878504672897,3000,1996000,3000,82,1.0,0.026606099935107073
500,0.0,0.1,3,1500,501214474,1500,884,1.0,0.37080536912751677,3000,1996000,3000,181,1.0,0.05690034580320654
500,0.0,0.1,4,1500,502989495,1500,987,1.0,0.3968636911942099,3000,1996000,3000,127,1.0,0.04061400703549728
500,0.0,0.1,5,1500,508148934,1499,976,0.9993333333333333,0.39434343434343433,3000,1996000,3000,200,1.0,0.0625
500,0.0,0.1,6,1500,492410360,1500,1022,1.0,0.40523394131641555,3000,1996000,3000,181,1.0,0.05690034580320654
500,0.0,0.1,7,1500,500625586,1500,963,1.0,0.3909866017052375,3000,1996000,3000,184,1.0,0.05778894472361809
500,0.0,0.1,8,1500,503394348,1500,978,1.0,0.3946731234866828,3000,1996000,3000,220,1.0,0.06832298136645963
500,0.0,0.1,9,1500,497001063,1500,966,1.0,0.39172749391727496,3000,1996000,3000,69,1.0,0.022482893450635387
500,0.0,0.2,0,1500,655495960,1500,1164,1.0,0.4369369369369369,3000,1996000,3000,170,1.0,0.05362776025236593
500,0.0,0.2,1,1500,642153778,1500,1071,1.0,0.41656942823803966,3000,1996000,3000,146,1.0,0.046408137317228225
500,0.0,0.2,2,1500,646465204,1500,1079,1.0,0.4183792167506786,3000,1996000,3000,186,1.0,0.0583804143126177
500,0.0,0.2,3,1500,637828956,1500,1150,1.0,0.4339622641509434,3000,1996000,3000,271,1.0,0.08284928156527056
500,0.0,0.2,4,1500,643312500,1500,1158,1.0,0.435665914221219,3000,1996000,3000,154,1.0,0.04882688649334179
500,0.0,0.2,5,1500,641503316,1500,1143,1.0,0.43246311010215666,3000,1996000,3000,145,1.0,0.046104928457869634
500,0.0,0.2,6,1500,643619352,1499,1139,0.9993333333333333,0.43176648976497345,3000,1996000,2999,164,0.9996666666666667,0.05184950995889978
500,0.0,0.2,7,1500,651456120,1500,1070,1.0,0.4163424124513619,3000,1996000,3000,192,1.0,0.06015037593984962
500,0.0,0.2,8,1500,646466358,1500,1158,1.0,0.435665914221219,3000,1996000,3000,176,1.0,0.055415617128463476
500,0.0,0.2,9,1500,645103536,1500,1118,1.0,0.4270435446906035,3000,1996000,3000,68,1.0,0.02216427640156454
500,0.0,0.5,0,1500,1268148123,1499,1738,0.9993333333333333,0.5369168983626815,3000,1996000,3000,188,1.0,0.05897114178168131
500,0.0,0.5,1,1500,1247316984,1500,1737,1.0,0.5366079703429101,3000,1996000,3000,147,1.0,0.04671115347950429
500,0.0,0.5,2,1500,1261015176,1500,1827,1.0,0.5491433724075744,3000,1996000,3000,100,1.0,0.03225806451612903
500,0.0,0.5,3,1500,1265919750,1500,1761,1.0,0.5400183992640294,3000,1996000,3000,123,1.0,0.0393852065321806
500,0.0,0.5,4,1500,1257738825,1500,1831,1.0,0.5496847793455418,3000,1996000,3000,207,1.0,0.06454630495790459
500,0.0,0.5,5,1500,1279640900,1500,1847,1.0,0.55183746638781,3000,1996000,3000,135,1.0,0.0430622009569378
500,0.0,0.5,6,1500,1278545892,1500,1712,1.0,0.5330012453300125,3000,1996000,3000,143,1.0,0.04549793191218581
500,0.0,0.5,7,1500,1237933398,1500,1761,1.0,0.5400183992640294,3000,1996000,3000,169,1.0,0.05332912590722626
500,0.0,0.5,8,1500,1247989964,1499,1720,0.9993333333333333,0.534327430879155,3000,1996000,3000,152,1.0,0.048223350253807105
500,0.0,0.5,9,1500,1273557996,1500,1817,1.0,0.5477841422972566,3000,1996000,3000,88,1.0,0.02849740932642487
