n_tracks,drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate,pair_n_true,pair_n_false,pair_true_accepted,pair_false_accepted,pair_segment_efficiency,pair_segment_false_rate
500,0.0,0.0,3,1500,374998500,1500,792,1.0,0.34554973821989526,3000,1996000,3000,112,1.0,0.03598971722365039
500,0.0,0.0,4,1500,374998500,1499,797,0.9993333333333333,0.3471254355400697,3000,1996000,3000,141,1.0,0.044890162368672396
500,0.0,0.0,5,1500,374998500,1500,814,1.0,0.35177182368193605,3000,1996000,3000,67,1.0,0.021845451581349852
500,0.0,0.0,6,1500,374998500,1500,760,1.0,0.336283185840708,3000,1996000,3000,256,1.0,0.07862407862407862
500,0.0,0.0,7,1500,374998500,1500,814,1.0,0.35177182368193605,3000,1996000,3000,110,1.0,0.03536977491961415
500,0.0,0.0,8,1500,374998500,1500,804,1.0,0.3489583333333333,3000,1996000,3000,207,1.0,0.06454630495790459
500,0.0,0.0,9,1500,374998500,1499,891,0.9993333333333333,0.3728033472803347,3000,1996000,3000,130,1.0,0.04153354632587859
500,0.01,0.0,0,1456,363612678,1456,801,1.0,0.3548958794860434,2924,1944427,2924,100,1.0,0.03306878306878307
500,0.01,0.0,1,1459,364840269,1459,765,1.0,0.3439748201438849,2925,1946400,2925,29,1.0,0.00981719702098849
500,0.01,0.0,2,1470,367542450,1470,723,1.0,0.32968536251709984,2941,1956269,2941,159,1.0,0.05129032258064516
500,0.01,0.0,3,1444,361165916,1444,815,1.0,0.3607791057990261,2913,1938522,2913,283,1.0,0.08854818523153943
500,0.01,0.0,4,1461,365331307,1460,705,0.999315537303217,0.325635103926097,2940,1956270,2940,143,1.0,0.04638339279922154
500,0.01,0.0,5,1460,364824869,1460,784,1.0,0.3493761140819964,2932,1950344,2932,158,1.0,0.0511326860841424
500,0.01,0.0,6,1459,364839771,1459,740,1.0,0.33651659845384263,2934,1952319,2934,208,1.0,0.06619987269255251
500,0.01,0.0,7,1453,362870687,1453,839,1.0,0.36605584642233857,2930,1948370,2930,172,1.0,0.05544809800128949
500,0.01,0.0,8,1462,365574840,1462,872,1.0,0.3736075407026564,2928,1948372,2928,223,1.0,0.0707711837511901
500,0.01,0.0,9,1454,363125101,1454,793,1.0,0.35291499777481083,2926,1946399,2926,224,1.0,0.07111111111111111
500,0.02,0.0,0,1400,350545096,1400,785,1.0,0.35926773455377575,2836,1887704,2836,245,1.0,0.0795196364816618
500,0.02,0.0,1,1431,358006800,1431,760,1.0,0.34687357371063443,2883,1918897,2883,138,1.0,0.04568023833167825
500,0.02,0.0,2,1435,357755895,1435,746,1.0,0.3420449335167354,2891,1920850,2891,121,1.0,0.040172642762284196
500,0.02,0.0,3,1418,354857539,1418,762,1.0,0.3495412844036697,2859,1903269,2859,178,1.0,0.05861047085940072
500,0.02,0.0,4,1416,353657064,1416,791,1.0,0.3584050747621205,2855,1899370,2855,249,1.0,0.08021907216494846
500,0.02,0.0,5,1418,354834998,1418,753,1.0,0.3468447719944726,2857,1901319,2857,195,1.0,0.06389252948885976
500,0.02,0.0,6,1416,353659036,1416,804,1.0,0.3621621621621622,2851,1895475,2851,126,1.0,0.0423244877393349
500,0.02,0.0,7,1433,358251807,1433,767,1.0,0.34863636363636363,2894,1924772,2894,195,1.0,0.06312722563936549
500,0.02,0.0,8,1427,356800417,1427,753,1.0,0.34541284403669725,2884,1918896,2884,149,1.0,0.0491262776129245
500,0.02,0.0,9,1400,349354381,1399,791,0.9992857142857143,0.36118721461187214,2834,1883819,2834,156,1.0,0.05217391304347826
500,0.05,0.0,0,1271,318351852,1271,724,1.0,0.36290726817042607,2605,1735575,2605,167,1.0,0.06024531024531025
500,0.05,0.0,1,1284,320147820,1284,654,1.0,0.33746130030959753,2630,1750498,2630,67,1.0,0.024842417500926955
500,0.05,0.0,2,1319,330612151,1319,763,1.0,0.3664745437079731,2696,1793764,2696,130,1.0,0.04600141542816702
500,0.05,0.0,3,1288,319922612,1288,651,1.0,0.33574007220216606,2631,1746754,2631,109,1.0,0.03978102189781022
500,0.05,0.0,4,1301,325081849,1300,726,0.9992313604919293,0.3583415597235933,2658,1763602,2658,119,1.0,0.042851998559596684
500,0.05,0.0,5,1301,325329045,1301,689,1.0,0.34623115577889446,2658,1767363,2658,135,1.0,0.04833512352309345
500,0.05,0.0,6,1291,322651025,1291,700,1.0,0.3515821195379206,2631,1752370,2631,123,1.0,0.044662309368191724
500,0.05,0.0,7,1296,324685449,1296,679,1.0,0.34379746835443037,2658,1769245,2658,121,1.0,0.04354084202950702
500,0.05,0.0,8,1265,315889947,1265,695,1.0,0.35459183673469385,2592,1722561,2592,114,1.0,0.04212860310421286
500,0.05,0.0,9,1286,320827014,1286,664,1.0,0.3405128205128205,2618,1741160,2618,116,1.0,0.04242867593269934
500,0.1,0.0,0,1098,274790496,1098,597,1.0,0.35221238938053095,2297,1526329,2297,176,1.0,0.07116862110796603
500,0.1,0.0,1,1072,267707752,1072,594,1.0,0.3565426170468187,2287,1517609,2287,199,1.0,0.08004827031375704
500,0.1,0.0,2,1143,284618161,1143,598,1.0,0.34348075818495116,2402,1595176,2402,177,1.0,0.06863125242341993
500,0.1,0.0,3,1145,284988985,1144,651,0.9991266375545852,0.3626740947075209,2376,1580934,2376,192,1.0,0.07476635514018691
500,0.1,0.0,4,1102,276742638,1102,603,1.0,0.3536656891495601,2325,1547355,2325,153,1.0,0.06174334140435835
500,0.1,0.0,5,1077,272745273,1077,545,1.0,0.3360049321824908,2296,1531580,2296,68,1.0,0.028764805414551606
500,0.1,0.0,6,1083,272524221,1083,572,1.0,0.345619335347432,2249,1503731,2249,139,1.0,0.05820770519262981
500,0.1,0.0,7,1152,289438464,1152,580,1.0,0.3348729792147806,2398,1595180,2398,150,1.0,0.05886970172684458
500,0.1,0.0,8,1055,263548924,1055,546,1.0,0.3410368519675203,2230,1477830,2230,125,1.0,0.05307855626326964
500,0.1,0.0,9,1119,277809638,1119,598,1.0,0.3482818870122306,2322,1540324,2322,187,1.0,0.07453168593064965
500,0.15,0.0,0,892,224503964,892,479,1.0,0.34938001458789203,1981,1319144,1981,60,1.0,0.02939735423811857
500,0.15,0.0,1,914,228482943,914,472,1.0,0.34054834054834054,1975,1307796,1975,72,1.0,0.03517342452369321
500,0.15,0.0,2,959,242596366,959,534,1.0,0.3576691225720027,2052,1366633,2052,135,1.0,0.06172839506172839
500,0.15,0.0,3,964,239259629,964,517,1.0,0.34908845374746794,2066,1369930,2066,127,1.0,0.05791153670770634
500,0.15,0.0,4,860,218568436,860,471,1.0,0.3538692712246431,1893,1266135,1893,64,1.0,0.032703117015840576
500,0.15,0.0,5,899,225115335,899,485,1.0,0.3504335260115607,1947,1286868,1947,177,1.0,0.08333333333333333
500,0.15,0.0,6,952,234657758,952,493,1.0,0.3411764705882353,2020,1335410,2020,116,1.0,0.054307116104868915
500,0.15,0.0,7,887,220853175,887,478,1.0,0.35018315018315016,1936,1277264,1936,138,1.0,0.0665380906460945
500,0.15,0.0,8,938,227568856,938,459,1.0,0.3285612025769506,2014,1320737,2014,72,1.0,0.03451581975071908
500,0.15,0.0,9,892,227586500,892,475,1.0,0.3474762253108998,1973,1319152,1973,100,1.0,0.0482392667631452
500,0.2,0.0,0,773,196428027,773,406,1.0,0.3443596268023749,1723,1134555,1723,106,1.0,0.057955166757791145
500,0.2,0.0,1,731,185998449,731,406,1.0,0.357080035180299,1653,1095768,1653,86,1.0,0.04945370902817711
500,0.2,0.0,2,778,194063246,778,421,1.0,0.3511259382819016,1707,1122543,1707,98,1.0,0.054293628808864264
500,0.2,0.0,3,756,187203222,756,411,1.0,0.35218508997429304,1671,1101684,1671,76,1.0,0.04350314825414997
500,0.2,0.0,4,745,187039355,745,396,1.0,0.3470639789658195,1676,1103165,1676,98,1.0,0.0552423900789177
500,0.2,0.0,5,735,184085601,735,384,1.0,0.34316353887399464,1631,1069285,1631,62,1.0,0.03662138216184288
500,0.2,0.0,6,795,196181201,795,492,1.0,0.3822843822843823,1724,1140592,1724,90,1.0,0.04961411245865491
500,0.2,0.0,7,774,194388291,774,401,1.0,0.34127659574468083,1729,1142099,1729,82,1.0,0.04527885146327996
500,0.2,0.0,8,785,191654795,785,446,1.0,0.36230706742485785,1725,1127028,1725,120,1.0,0.06504065040650407
500,0.2,0.0,9,754,186071950,754,400,1.0,0.3466204506065858,1649,1088377,1649,78,1.0,0.0451650260567458
500,0.3,0.0,0,488,121795120,488,259,1.0,0.3467202141900937,1151,744880,1151,91,1.0,0.07326892109500806
500,0.3,0.0,1,502,129459962,502,282,1.0,0.3596938775510204,1159,758369,1159,53,1.0,0.04372937293729373
500,0.3,0.0,2,504,133345896,504,284,1.0,0.3604060913705584,1205,805880,1205,89,1.0,0.0687789799072643
500,0.3,0.0,3,516,124819740,516,269,1.0,0.34267515923566877,1196,764507,1196,41,1.0,0.033144704931285365
500,0.3,0.0,4,510,125833150,510,252,1.0,0.33070866141732286,1202,778174,1202,67,1.0,0.05279747832939322
500,0.3,0.0,5,486,121384218,486,271,1.0,0.3579920739762219,1180,770723,1180,77,1.0,0.061256961018297536
500,0.3,0.0,6,502,125388438,502,232,1.0,0.31607629427792916,1174,763292,1174,72,1.0,0.05778491171749599
500,0.3,0.0,7,523,138021389,523,306,1.0,0.3691194209891435,1238,826303,1238,70,1.0,0.053516819571865444
500,0.3,0.0,8,539,130228777,539,293,1.0,0.35216346153846156,1206,779419,1206,48,1.0,0.03827751196172249
500,0.3,0.0,9,528,133603406,527,292,0.9981060606060606,0.35653235653235654,1233,802045,1233,49,1.0,0.038221528861154444
