regime,phi_max,n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,seg_efficiency,seg_false_rate
dense,0.02,70,17,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,18,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,19,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,75,0,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,1,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,2,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,3,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,4,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,5,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,6,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,7,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,8,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,9,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,10,2.121324586196087e-05,225,1265400,225,1,1.0,0.004424778761061947
dense,0.02,75,11,2.121324586196087e-05,225,1265400,225,1,1.0,0.004424778761061947
dense,0.02,75,12,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,13,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,14,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,15,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,16,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,17,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,18,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
dense,0.02,75,19,2.121324586196087e-05,225,1265400,225,0,1.0,0.0
