event,n_tracks,angle,sigma_scatt,sigma_res,gamma,delta,epsilon,threshold,n_segments,n_reco,n_truth,n_hits,x_min,x_max,x_median,wall_time_s,t_generate_s,t_build_s,t_solve_s,t_reco_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency
42,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,370,10,10,47,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,0.7,0.0,0.0,1.0,0.6
43,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,380,10,10,48,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,0.8,0.0,0.0,1.0,0.6
44,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
45,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
46,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
47,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
48,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
49,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
0,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.73,0.01,0.73,0.0,0.001,1.0,0.0,0.0,1.0,0.6000000000000001
1,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25,0.4545454545454549,0.25,0.06,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
