status,n_trk,rep,seed,tag,sigma_res,sigma_scatt,phi_max,hit_ineff,convolution,erf_sigma,epsilon,gamma,delta,tau_default,n_seg,n_pad,A_nnz,n_qubits,quantum_metrics_default,cos_QC,P_anc,t_gen,t_angles,t_classical,t_q,t_total,sol_Q,angle_n_true,angle_n_false,angle_true_accepted,angle_false_accepted,angle_segment_efficiency,angle_segment_false_rate,cls_default_n_true_all,cls_default_n_false_all,cls_default_n_true_active,cls_default_n_false_active,cls_default_n_active,cls_default_segment_efficiency,cls_default_segment_purity,cls_default_segment_false_rate,file,q_default_n_true_all,q_default_n_false_all,q_default_n_true_active,q_default_n_false_active,q_default_n_active,q_default_segment_efficiency,q_default_segment_purity,q_default_segment_false_rate
ok,2.0,20.0,200220.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005962848663330078,0.24712133407592773,0.002523183822631836,0.0,0.2505929470062256,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r020.pkl,,,,,,,,
ok,2.0,21.0,200221.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004992485046386719,0.2513575553894043,0.0021715164184570312,0.0,0.25435423851013184,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r021.pkl,,,,,,,,
ok,2.0,22.0,200222.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,12.0,16.0,20.0,,,,,0.0004780292510986328,0.18921256065368652,0.0020227432250976562,0.0,0.19198894500732422,,4.0,12.0,4.0,0.0,1.0,0.0,6.0,6.0,6.0,6.0,12.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r022.pkl,,,,,,,,
ok,2.0,23.0,200223.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004868507385253906,0.18942046165466309,0.0019974708557128906,0.0,0.19218921661376953,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r023.pkl,,,,,,,,
ok,2.0,24.0,200224.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004792213439941406,0.23833203315734863,0.0020716190338134766,0.0,0.2411644458770752,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r024.pkl,,,,,,,,
ok,2.0,25.0,200225.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,14.0,16.0,24.0,,,,,0.000545501708984375,0.23640084266662598,0.0024831295013427734,0.0,0.23978567123413086,,5.0,15.0,5.0,0.0,1.0,0.0,7.0,7.0,7.0,7.0,14.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r025.pkl,,,,,,,,
ok,2.0,26.0,200226.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,14.0,16.0,24.0,,,,,0.0004591941833496094,0.1974179744720459,0.002303600311279297,0.0,0.20047354698181152,,5.0,15.0,5.0,0.0,1.0,0.0,7.0,7.0,7.0,7.0,14.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r026.pkl,,,,,,,,
ok,2.0,27.0,200227.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004603862762451172,0.2334156036376953,0.0019507408142089844,0.0,0.23609018325805664,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r027.pkl,,,,,,,,
ok,2.0,28.0,200228.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005452632904052734,0.22446274757385254,0.0023958683013916016,0.0,0.22774982452392578,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r028.pkl,,,,,,,,
ok,2.0,29.0,200229.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005042552947998047,0.19349288940429688,0.0020520687103271484,0.0,0.19634532928466797,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r029.pkl,,,,,,,,
