solver,sigma_scatt,hit_ineff,n_trk,n_rep,n_valid,excluded_frac,eff,eff_sem,far,far_sem,pur,pur_sem,eff_wp,eff_wp_sem,far_wp,far_wp_sem,cos_QC
classical,0.0005,0.05,200,20,20,0.0,92.2733468561549,0.26123784120860916,1.1493533348944434,0.16867464078682629,98.85064666510556,0.16867464078682634,100.0,0.0,99.49998811495695,0.00019941695489328844,
classical,0.0005,0.05,400,20,20,0.0,92.49963445173384,0.22636169618602198,3.250078668368346,0.26047736433938484,96.74992133163165,0.2604773643393851,100.0,0.0,99.75004209360307,8.237850213634398e-05,
classical,0.0005,0.05,700,20,20,0.0,92.70771739361192,0.17917750428318946,10.799669682859399,0.470572667388025,89.2003303171406,0.4705726673880245,100.0,0.0,99.85706021302857,3.522454650474961e-05,
classical,0.0005,0.05,1000,20,20,0.0,93.06932769698946,0.15891644025509294,24.804366870732398,0.6723536461967288,75.19563312926759,0.6723536461967283,100.0,0.0,99.89999495356615,1.836703278470097e-05,
classical,0.0005,0.1,10,20,20,0.0,79.09923335850979,3.597092543298273,0.0,0.0,100.0,0.0,100.0,0.0,58.46925169818387,9.843094250258975,
classical,0.0005,0.1,20,20,20,0.0,84.97719405725843,1.7346701155381996,0.0,0.0,100.0,0.0,100.0,0.0,85.49327777648507,6.537846154429261,
classical,0.0005,0.1,50,20,20,0.0,85.2744899167491,0.6904875018641192,0.0,0.0,100.0,0.0,100.0,0.0,98.0019475796498,0.003449556978854538,
classical,0.0005,0.1,100,20,20,0.0,85.2827325231614,0.4864574496799704,0.3370310794067815,0.11624360059835596,99.66296892059322,0.11624360059835576,100.0,0.0,98.99965629154654,0.0013985622113837136,
classical,0.0005,0.1,200,20,20,0.0,84.91426470034708,0.3776154469963844,0.4365658535918374,0.06890442413314377,99.56343414640816,0.06890442413314306,100.0,0.0,99.50031611693791,0.0004077555887864991,
classical,0.0005,0.1,400,20,20,0.0,85.16663490659364,0.34067542904088033,2.715369029060647,0.28355865653796414,97.28463097093935,0.28355865653796425,100.0,0.0,99.75006151824358,0.00016482786815124706,
classical,0.0005,0.1,700,20,20,0.0,85.67048853013657,0.22761879668814874,11.228208923037212,0.5109623483341572,88.77179107696278,0.5109623483341572,100.0,0.0,99.85700226100123,7.348685160549544e-05,
classical,0.0005,0.1,1000,20,20,0.0,85.48640138702619,0.19877075104569733,24.083450742671904,0.6131980970767433,75.91654925732809,0.6131980970767427,100.0,0.0,99.90000544778347,2.7686533696441718e-05,
classical,0.0007,0.0,10,20,20,0.0,100.0,0.0,0.12195121951219501,0.12195121951219498,99.8780487804878,0.12195121951219504,100.0,0.0,0.12195121951219501,0.12195121951219498,
classical,0.0007,0.0,20,20,20,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,
classical,0.0007,0.0,50,20,20,0.0,100.0,0.0,0.3455603997279365,0.1294912893916237,99.65443960027207,0.12949128939162424,100.0,0.0,0.3455603997279365,0.1294912893916237,
classical,0.0007,0.0,100,20,20,0.0,100.0,0.0,0.5552725644022806,0.1456356848785197,99.44472743559773,0.14563568487852013,100.0,0.0,0.4817490092877925,0.13256720794427437,
classical,0.0007,0.0,200,20,20,0.0,99.975,0.025,2.3743310848295573,0.24378443360809643,97.62566891517045,0.24378443360809765,99.975,0.025,1.7077569136517787,0.18316925291320585,
classical,0.0007,0.0,400,20,20,0.0,99.98125,0.0129046350302191,9.160087340120581,0.5702793432692158,90.83991265987942,0.5702793432692153,99.96875,0.01726582035790883,4.970422870788999,0.3302432330311091,
classical,0.0007,0.0,700,20,20,0.0,99.96964285714287,0.013531550036922628,28.85014129865356,0.6978107747465111,71.14985870134642,0.6978107747465115,99.95535714285714,0.016965522313457798,15.119687521397925,0.48229119846025514,
classical,0.0007,0.0,1000,20,20,0.0,99.96249999999999,0.018540496217739358,51.65979785047598,0.5404647821987258,48.34020214952401,0.540464782198726,99.9625,0.0120988255193375,31.464866363385177,0.5968624848229013,
classical,0.0007,0.01,10,20,20,0.0,98.53485064011379,0.5279320561150322,0.135135135135135,0.13513513513513495,99.86486486486487,0.13513513513513473,100.0,0.0,13.48753462603878,7.365802025539325,
classical,0.0007,0.01,20,20,20,0.0,98.56940953783058,0.4025563195724998,0.0625,0.0625,99.9375,0.0625,100.0,0.0,23.812664365548983,9.429283532553313,
classical,0.0007,0.01,50,20,20,0.0,98.73767022013767,0.3085084435390141,0.051813471502590504,0.0518134715025905,99.94818652849742,0.05181347150259085,99.97474747474747,0.02525252525252597,34.74839302184954,10.649719981434767,
classical,0.0007,0.01,100,20,20,0.0,98.48077120264423,0.13529916033263584,0.6519762655109396,0.15858362100078904,99.34802373448905,0.15858362100078974,99.7585196766262,0.05677785090120113,39.04652391979638,10.116623266347515,
classical,0.0007,0.01,200,20,20,0.0,98.39299971252254,0.13563285075386583,2.6721555264156143,0.3820624679315175,97.32784447358438,0.3820624679315176,99.61069553254325,0.06505092688112553,33.68539603131877,5.370728099888727,
classical,0.0007,0.01,400,20,20,0.0,98.5577000357125,0.07332027974441148,9.161478445872884,0.5036715943528927,90.83852155412713,0.5036715943528932,99.47743285833407,0.04835187938788689,54.24768583143632,4.430182953545367,
classical,0.0007,0.01,700,20,20,0.0,98.66405216870149,0.04112430941659486,30.19762926484384,0.6769555534085245,69.80237073515617,0.6769555534085239,99.52678049637598,0.038196292946220414,80.5642680116279,2.9248543854749793,
classical,0.0007,0.01,1000,20,20,0.0,98.63539516968109,0.052057830924302835,52.21788987122183,0.513467619363365,47.78211012877817,0.5134676193633656,99.48763573128538,0.029880918101767708,89.03473443335142,2.0190062845695484,
classical,0.0007,0.02,10,20,20,0.0,96.62214658267291,0.716083695807517,0.0,0.0,100.0,0.0,100.0,0.0,27.002809542975747,9.462819412594971,
classical,0.0007,0.02,20,20,20,0.0,96.7989989701628,0.6520730221212708,0.2027027027027025,0.2027027027027025,99.79729729729729,0.20270270270270316,100.0,0.0,28.501368307082267,9.987971703265014,
classical,0.0007,0.02,50,20,20,0.0,96.32342577889854,0.448150706193631,0.1859396566498055,0.0953799712925813,99.81406034335019,0.09537997129258115,100.0,0.0,74.24483095767263,9.443227372655182,
classical,0.0007,0.02,100,20,20,0.0,97.00982788675961,0.33016592309165127,0.4021028214381305,0.11548331317568769,99.59789717856187,0.11548331317568722,99.75368111753859,0.06652844974077768,48.79830593708491,10.43953061735456,
