event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible,sigma_scatt_mrad
18,50,5e-05,0.0,0.02,0.0002131900560532,4.09,1.0,0.0,0.0,1.0,1.0,50,50,0.05
19,50,5e-05,0.0,0.02,0.0002131900560532,4.09,1.0,0.0,0.0,1.0,1.0,50,50,0.05
0,100,5e-05,0.0,0.02,0.0002131900560532,65.37,1.0,0.0,0.0,1.0,1.0,100,100,0.05
1,100,5e-05,0.0,0.02,0.0002131900560532,67.97,1.0,0.0,0.0,1.0,1.0,100,100,0.05
2,100,5e-05,0.0,0.02,0.0002131900560532,67.16,1.0,0.0,0.0,1.0,1.0,100,100,0.05
3,100,5e-05,0.0,0.02,0.0002131900560532,66.08,1.0,0.0,0.0,1.0,1.0,100,100,0.05
4,100,5e-05,0.0,0.02,0.0002131900560532,70.11,1.0,0.0,0.0,1.0,1.0,100,100,0.05
5,100,5e-05,0.0,0.02,0.0002131900560532,67.55,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.05
6,100,5e-05,0.0,0.02,0.0002131900560532,61.84,1.0,0.0,0.0,1.0,1.0,100,100,0.05
7,100,5e-05,0.0,0.02,0.0002131900560532,69.72,0.96,0.0103092783505154,0.0,1.0,1.0,97,100,0.05
8,100,5e-05,0.0,0.02,0.0002131900560532,59.71,1.0,0.0,0.0,1.0,0.998,100,100,0.05
9,100,5e-05,0.0,0.02,0.0002131900560532,68.98,1.0,0.0,0.0,1.0,1.0,100,100,0.05
10,100,5e-05,0.0,0.02,0.0002131900560532,63.98,1.0,0.0,0.0,1.0,1.0,100,100,0.05
11,100,5e-05,0.0,0.02,0.0002131900560532,65.05,1.0,0.0,0.0,1.0,1.0,100,100,0.05
12,100,5e-05,0.0,0.02,0.0002131900560532,68.18,1.0,0.0,0.0,1.0,1.0,100,100,0.05
13,100,5e-05,0.0,0.02,0.0002131900560532,61.17,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.05
14,100,5e-05,0.0,0.02,0.0002131900560532,68.36,1.0,0.0,0.0,1.0,1.0,100,100,0.05
15,100,5e-05,0.0,0.02,0.0002131900560532,65.24,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.05
16,100,5e-05,0.0,0.02,0.0002131900560532,68.86,1.0,0.0,0.0,1.0,1.0,100,100,0.05
17,100,5e-05,0.0,0.02,0.0002131900560532,70.33,1.0,0.0,0.0,1.0,1.0,100,100,0.05
18,100,5e-05,0.0,0.02,0.0002131900560532,70.04,1.0,0.0,0.0,1.0,1.0,100,100,0.05
19,100,5e-05,0.0,0.02,0.0002131900560532,70.88,1.0,0.0,0.0,1.0,1.0,100,100,0.05
0,10,0.0001,0.0,0.02,0.0004247940677551,0.07,1.0,0.0,0.0,1.0,1.0,10,10,0.1
1,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
2,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
3,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
4,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
5,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
6,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
7,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
8,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
9,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
10,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
11,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
12,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
13,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
14,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
15,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
16,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
17,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
18,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,0.98,10,10,0.1
19,10,0.0001,0.0,0.02,0.0004247940677551,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.1
0,20,0.0001,0.0,0.02,0.0004247940677551,0.33,1.0,0.0,0.0,1.0,1.0,20,20,0.1
1,20,0.0001,0.0,0.02,0.0004247940677551,0.28,1.0,0.0,0.0,1.0,1.0,20,20,0.1
2,20,0.0001,0.0,0.02,0.0004247940677551,0.21,1.0,0.0,0.0,1.0,1.0,20,20,0.1
3,20,0.0001,0.0,0.02,0.0004247940677551,0.21,1.0,0.0,0.0,1.0,1.0,20,20,0.1
4,20,0.0001,0.0,0.02,0.0004247940677551,0.28,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.1
5,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
6,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
7,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
8,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
9,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
10,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
11,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
12,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
13,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
14,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
15,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
16,20,0.0001,0.0,0.02,0.0004247940677551,0.36,0.1,0.5,0.0,1.0,1.0,4,20,0.1
17,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
18,20,0.0001,0.0,0.02,0.0004247940677551,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.1
19,20,0.0001,0.0,0.02,0.0004247940677551,0.33,1.0,0.0,0.0,1.0,1.0,20,20,0.1
0,50,0.0001,0.0,0.02,0.0004247940677551,6.12,0.02,0.875,0.0,1.0,1.0,8,50,0.1
1,50,0.0001,0.0,0.02,0.0004247940677551,5.98,1.0,0.0,0.0,1.0,1.0,50,50,0.1
2,50,0.0001,0.0,0.02,0.0004247940677551,6.06,1.0,0.0,0.0,1.0,1.0,50,50,0.1
3,50,0.0001,0.0,0.02,0.0004247940677551,6.04,1.0,0.0,0.0,1.0,1.0,50,50,0.1
4,50,0.0001,0.0,0.02,0.0004247940677551,5.94,1.0,0.0,0.0,1.0,1.0,50,50,0.1
5,50,0.0001,0.0,0.02,0.0004247940677551,6.14,1.0,0.0,0.0,1.0,1.0,50,50,0.1
6,50,0.0001,0.0,0.02,0.0004247940677551,6.01,1.0,0.0,0.0,1.0,1.0,50,50,0.1
7,50,0.0001,0.0,0.02,0.0004247940677551,6.1,1.0,0.0,0.0,1.0,1.0,50,50,0.1
8,50,0.0001,0.0,0.02,0.0004247940677551,6.09,1.0,0.0,0.0,1.0,1.0,50,50,0.1
9,50,0.0001,0.0,0.02,0.0004247940677551,6.02,1.0,0.0,0.0,1.0,1.0,50,50,0.1
10,50,0.0001,0.0,0.02,0.0004247940677551,6.08,1.0,0.0,0.0,1.0,1.0,50,50,0.1
11,50,0.0001,0.0,0.02,0.0004247940677551,6.03,1.0,0.0,0.0,1.0,1.0,50,50,0.1
12,50,0.0001,0.0,0.02,0.0004247940677551,6.12,0.76,0.1162790697674418,0.0,1.0,1.0,43,50,0.1
13,50,0.0001,0.0,0.02,0.0004247940677551,6.16,1.0,0.0,0.0,1.0,1.0,50,50,0.1
14,50,0.0001,0.0,0.02,0.0004247940677551,5.92,1.0,0.0,0.0,1.0,1.0,50,50,0.1
15,50,0.0001,0.0,0.02,0.0004247940677551,5.98,1.0,0.0,0.0,1.0,1.0,50,50,0.1
16,50,0.0001,0.0,0.02,0.0004247940677551,5.98,1.0,0.0,0.0,1.0,1.0,50,50,0.1
17,50,0.0001,0.0,0.02,0.0004247940677551,6.03,1.0,0.0,0.0,1.0,1.0,50,50,0.1
18,50,0.0001,0.0,0.02,0.0004247940677551,5.96,1.0,0.0,0.0,1.0,1.0,50,50,0.1
19,50,0.0001,0.0,0.02,0.0004247940677551,5.97,1.0,0.0,0.0,1.0,1.0,50,50,0.1
0,100,0.0001,0.0,0.02,0.0004247940677551,64.89,0.92,0.0416666666666666,0.0,1.0,1.0,96,100,0.1
1,100,0.0001,0.0,0.02,0.0004247940677551,65.19,1.0,0.0,0.0,1.0,1.0,100,100,0.1
2,100,0.0001,0.0,0.02,0.0004247940677551,65.11,1.0,0.0,0.0,1.0,1.0,100,100,0.1
3,100,0.0001,0.0,0.02,0.0004247940677551,65.31,1.0,0.0,0.0,1.0,1.0,100,100,0.1
4,100,0.0001,0.0,0.02,0.0004247940677551,65.01,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.1
5,100,0.0001,0.0,0.02,0.0004247940677551,65.23,0.96,0.0204081632653061,0.0,1.0,1.0,98,100,0.1
6,100,0.0001,0.0,0.02,0.0004247940677551,65.5,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.1
7,100,0.0001,0.0,0.02,0.0004247940677551,65.37,0.94,0.0208333333333333,0.0,1.0,1.0,96,100,0.1
8,100,0.0001,0.0,0.02,0.0004247940677551,65.36,0.76,0.1162790697674418,0.0,1.0,1.0,86,100,0.1
9,100,0.0001,0.0,0.02,0.0004247940677551,65.47,1.0,0.0,0.0,1.0,1.0,100,100,0.1
10,100,0.0001,0.0,0.02,0.0004247940677551,65.49,1.0,0.0,0.0,1.0,1.0,100,100,0.1
11,100,0.0001,0.0,0.02,0.0004247940677551,65.95,1.0,0.0,0.0,1.0,1.0,100,100,0.1
12,100,0.0001,0.0,0.02,0.0004247940677551,65.92,1.0,0.0,0.0,1.0,1.0,100,100,0.1
13,100,0.0001,0.0,0.02,0.0004247940677551,65.2,1.0,0.0,0.0,1.0,1.0,100,100,0.1
14,100,0.0001,0.0,0.02,0.0004247940677551,65.52,0.96,0.0103092783505154,0.0,1.0,1.0,97,100,0.1
15,100,0.0001,0.0,0.02,0.0004247940677551,65.11,1.0,0.0,0.0,1.0,1.0,100,100,0.1
16,100,0.0001,0.0,0.02,0.0004247940677551,65.27,1.0,0.0,0.0,1.0,1.0,100,100,0.1
17,100,0.0001,0.0,0.02,0.0004247940677551,65.0,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.1
18,100,0.0001,0.0,0.02,0.0004247940677551,65.65,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.1
19,100,0.0001,0.0,0.02,0.0004247940677551,65.71,1.0,0.0,0.0,1.0,1.0,100,100,0.1
0,10,0.0002,0.0,0.02,0.0008487932610477,0.06,1.0,0.0,0.0,1.0,1.0,10,10,0.2
1,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
2,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
3,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
4,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
5,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
6,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
7,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
8,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
9,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
10,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
11,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
12,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
13,10,0.0002,0.0,0.02,0.0008487932610477,0.03,0.0,1.0,0.0,0.0,0.0,1,10,0.2
14,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
15,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
16,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
17,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
18,10,0.0002,0.0,0.02,0.0008487932610477,0.03,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,0.2
19,10,0.0002,0.0,0.02,0.0008487932610477,0.03,1.0,0.0,0.0,1.0,1.0,10,10,0.2
0,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
1,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
2,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
3,20,0.0002,0.0,0.02,0.0008487932610477,0.27,1.0,0.0,0.0,1.0,1.0,20,20,0.2
4,20,0.0002,0.0,0.02,0.0008487932610477,0.25,0.0,1.0,0.0,0.0,0.0,1,20,0.2
5,20,0.0002,0.0,0.02,0.0008487932610477,0.25,0.8,0.1111111111111111,0.0,1.0,1.0,18,20,0.2
6,20,0.0002,0.0,0.02,0.0008487932610477,0.25,0.8,0.0588235294117647,0.0,1.0,1.0,17,20,0.2
7,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
8,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
9,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
10,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
11,20,0.0002,0.0,0.02,0.0008487932610477,0.25,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.2
12,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
13,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
14,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
15,20,0.0002,0.0,0.02,0.0008487932610477,0.26,1.0,0.0,0.0,1.0,1.0,20,20,0.2
16,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
17,20,0.0002,0.0,0.02,0.0008487932610477,0.25,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.2
18,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
19,20,0.0002,0.0,0.02,0.0008487932610477,0.25,1.0,0.0,0.0,1.0,1.0,20,20,0.2
0,50,0.0002,0.0,0.02,0.0008487932610477,4.88,1.0,0.0,0.0,1.0,1.0,50,50,0.2
1,50,0.0002,0.0,0.02,0.0008487932610477,4.9,1.0,0.0,0.0,1.0,1.0,50,50,0.2
2,50,0.0002,0.0,0.02,0.0008487932610477,4.89,1.0,0.0,0.0,1.0,1.0,50,50,0.2
3,50,0.0002,0.0,0.02,0.0008487932610477,4.87,0.48,0.0769230769230769,0.0,1.0,1.0,26,50,0.2
4,50,0.0002,0.0,0.02,0.0008487932610477,4.92,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.2
5,50,0.0002,0.0,0.02,0.0008487932610477,4.85,0.92,0.0416666666666666,0.0,1.0,1.0,48,50,0.2
6,50,0.0002,0.0,0.02,0.0008487932610477,4.87,1.0,0.0,0.0,1.0,1.0,50,50,0.2
7,50,0.0002,0.0,0.02,0.0008487932610477,4.87,0.74,0.119047619047619,0.0,1.0,1.0,42,50,0.2
8,50,0.0002,0.0,0.02,0.0008487932610477,4.88,1.0,0.0,0.0,1.0,1.0,50,50,0.2
9,50,0.0002,0.0,0.02,0.0008487932610477,4.89,1.0,0.0,0.0,1.0,0.996,50,50,0.2
10,50,0.0002,0.0,0.02,0.0008487932610477,4.88,0.92,0.0212765957446808,0.0,1.0,1.0,47,50,0.2
11,50,0.0002,0.0,0.02,0.0008487932610477,4.9,1.0,0.0,0.0,1.0,1.0,50,50,0.2
12,50,0.0002,0.0,0.02,0.0008487932610477,4.79,1.0,0.0,0.0,1.0,1.0,50,50,0.2
13,50,0.0002,0.0,0.02,0.0008487932610477,4.85,1.0,0.0,0.0,1.0,1.0,50,50,0.2
14,50,0.0002,0.0,0.02,0.0008487932610477,4.83,1.0,0.0,0.0,1.0,1.0,50,50,0.2
15,50,0.0002,0.0,0.02,0.0008487932610477,4.86,0.84,0.0666666666666666,0.0,1.0,1.0,45,50,0.2
16,50,0.0002,0.0,0.02,0.0008487932610477,4.84,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.2
17,50,0.0002,0.0,0.02,0.0008487932610477,4.83,1.0,0.0,0.0,1.0,1.0,50,50,0.2
18,50,0.0002,0.0,0.02,0.0008487932610477,4.88,1.0,0.0,0.0,1.0,1.0,50,50,0.2
19,50,0.0002,0.0,0.02,0.0008487932610477,4.84,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.2
0,100,0.0002,0.0,0.02,0.0008487932610477,63.65,0.94,0.0208333333333333,0.0,1.0,1.0,96,100,0.2
1,100,0.0002,0.0,0.02,0.0008487932610477,61.14,1.0,0.0,0.0,1.0,1.0,100,100,0.2
2,100,0.0002,0.0,0.02,0.0008487932610477,68.77,1.0,0.0,0.0,1.0,1.0,100,100,0.2
3,100,0.0002,0.0,0.02,0.0008487932610477,65.45,0.87,0.0543478260869565,0.0,1.0,1.0,92,100,0.2
4,100,0.0002,0.0,0.02,0.0008487932610477,59.18,1.0,0.0,0.0,1.0,1.0,100,100,0.2
5,100,0.0002,0.0,0.02,0.0008487932610477,66.36,0.92,0.0212765957446808,0.0,1.0,1.0,94,100,0.2
6,100,0.0002,0.0,0.02,0.0008487932610477,64.1,0.92,0.0212765957446808,0.0,1.0,1.0,94,100,0.2
7,100,0.0002,0.0,0.02,0.0008487932610477,60.16,1.0,0.0,0.0,1.0,1.0,100,100,0.2
8,100,0.0002,0.0,0.02,0.0008487932610477,48.18,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.2
9,100,0.0002,0.0,0.02,0.0008487932610477,45.25,0.98,0.0,0.0,1.0,1.0,98,100,0.2
10,100,0.0002,0.0,0.02,0.0008487932610477,44.58,0.94,0.0208333333333333,0.0,1.0,1.0,96,100,0.2
11,100,0.0002,0.0,0.02,0.0008487932610477,58.48,0.0,1.0,0.0,0.0,0.0,1,100,0.2
12,100,0.0002,0.0,0.02,0.0008487932610477,67.45,0.96,0.0103092783505154,0.0,1.0,1.0,97,100,0.2
13,100,0.0002,0.0,0.02,0.0008487932610477,63.51,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.2
