event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible,sigma_res_um
8,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
9,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
10,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
11,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
12,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
13,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
14,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
15,10,0.0001,0.005,0.02,0.0016308858027061,0.03,0.0,0.0,0.0,0.0,0.0,0,10,5.0
16,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
17,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
18,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
19,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
0,20,0.0001,0.005,0.02,0.0016308858027061,0.35,0.5,0.1666666666666666,0.0,1.0,1.0,12,20,5.0
1,20,0.0001,0.005,0.02,0.0016308858027061,0.34,0.3,0.25,0.0,1.0,1.0,8,20,5.0
2,20,0.0001,0.005,0.02,0.0016308858027061,0.34,1.0,0.0,0.0,1.0,1.0,20,20,5.0
3,20,0.0001,0.005,0.02,0.0016308858027061,0.35,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,5.0
4,20,0.0001,0.005,0.02,0.0016308858027061,0.34,1.0,0.0,0.0,1.0,1.0,20,20,5.0
5,20,0.0001,0.005,0.02,0.0016308858027061,0.34,0.75,0.1176470588235294,0.0,1.0,1.0,17,20,5.0
6,20,0.0001,0.005,0.02,0.0016308858027061,0.34,1.0,0.0,0.0,1.0,1.0,20,20,5.0
7,20,0.0001,0.005,0.02,0.0016308858027061,0.34,1.0,0.0,0.0,1.0,1.0,20,20,5.0
8,20,0.0001,0.005,0.02,0.0016308858027061,0.21,1.0,0.0,0.0,1.0,1.0,20,20,5.0
9,20,0.0001,0.005,0.02,0.0016308858027061,0.23,1.0,0.0,0.0,1.0,1.0,20,20,5.0
10,20,0.0001,0.005,0.02,0.0016308858027061,0.24,1.0,0.0,0.0,1.0,1.0,20,20,5.0
11,20,0.0001,0.005,0.02,0.0016308858027061,0.22,1.0,0.0,0.0,1.0,1.0,20,20,5.0
12,20,0.0001,0.005,0.02,0.0016308858027061,0.25,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,5.0
13,20,0.0001,0.005,0.02,0.0016308858027061,0.25,1.0,0.0,0.0,1.0,1.0,20,20,5.0
14,20,0.0001,0.005,0.02,0.0016308858027061,0.24,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,5.0
15,20,0.0001,0.005,0.02,0.0016308858027061,0.25,1.0,0.0,0.0,1.0,1.0,20,20,5.0
16,20,0.0001,0.005,0.02,0.0016308858027061,0.26,1.0,0.0,0.0,1.0,1.0,20,20,5.0
17,20,0.0001,0.005,0.02,0.0016308858027061,0.24,1.0,0.0,0.0,1.0,1.0,20,20,5.0
18,20,0.0001,0.005,0.02,0.0016308858027061,0.24,1.0,0.0,0.0,1.0,1.0,20,20,5.0
19,20,0.0001,0.005,0.02,0.0016308858027061,0.24,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,5.0
0,50,0.0001,0.005,0.02,0.0016308858027061,4.16,1.0,0.0,0.0,1.0,1.0,50,50,5.0
1,50,0.0001,0.005,0.02,0.0016308858027061,4.1,0.88,0.0434782608695652,0.0,1.0,1.0,46,50,5.0
2,50,0.0001,0.005,0.02,0.0016308858027061,4.12,1.0,0.0,0.0,1.0,1.0,50,50,5.0
3,50,0.0001,0.005,0.02,0.0016308858027061,4.18,0.8,0.1111111111111111,0.0,1.0,1.0,45,50,5.0
4,50,0.0001,0.005,0.02,0.0016308858027061,4.16,0.84,0.0454545454545454,0.0,1.0,1.0,44,50,5.0
5,50,0.0001,0.005,0.02,0.0016308858027061,4.18,0.86,0.0444444444444444,0.0,1.0,1.0,45,50,5.0
6,50,0.0001,0.005,0.02,0.0016308858027061,4.17,0.9,0.0217391304347826,0.0,1.0,1.0,46,50,5.0
7,50,0.0001,0.005,0.02,0.0016308858027061,4.19,0.96,0.0,0.0,1.0,1.0,48,50,5.0
8,50,0.0001,0.005,0.02,0.0016308858027061,4.17,0.44,0.12,0.0,1.0,1.0,25,50,5.0
9,50,0.0001,0.005,0.02,0.0016308858027061,4.16,0.82,0.0681818181818181,0.0,1.0,1.0,44,50,5.0
10,50,0.0001,0.005,0.02,0.0016308858027061,4.16,0.42,0.2758620689655172,0.0,1.0,1.0,29,50,5.0
11,50,0.0001,0.005,0.02,0.0016308858027061,4.16,0.84,0.0666666666666666,0.0,1.0,1.0,45,50,5.0
12,50,0.0001,0.005,0.02,0.0016308858027061,4.13,0.96,0.0,0.0,1.0,1.0,48,50,5.0
13,50,0.0001,0.005,0.02,0.0016308858027061,4.15,0.88,0.0638297872340425,0.0,1.0,1.0,47,50,5.0
14,50,0.0001,0.005,0.02,0.0016308858027061,4.15,1.0,0.0,0.0,1.0,1.0,50,50,5.0
15,50,0.0001,0.005,0.02,0.0016308858027061,4.15,1.0,0.0,0.0,1.0,1.0,50,50,5.0
16,50,0.0001,0.005,0.02,0.0016308858027061,4.16,0.68,0.0555555555555555,0.0,1.0,1.0,36,50,5.0
17,50,0.0001,0.005,0.02,0.0016308858027061,4.15,1.0,0.0,0.0,1.0,1.0,50,50,5.0
18,50,0.0001,0.005,0.02,0.0016308858027061,4.19,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,5.0
19,50,0.0001,0.005,0.02,0.0016308858027061,4.15,0.0,1.0,0.0,0.0,0.0,3,50,5.0
0,100,0.0001,0.005,0.02,0.0016308858027061,53.15,0.48,0.0943396226415094,0.0,1.0,1.0,53,100,5.0
1,100,0.0001,0.005,0.02,0.0016308858027061,53.02,0.86,0.0337078651685393,0.0,1.0,1.0,89,100,5.0
2,100,0.0001,0.005,0.02,0.0016308858027061,53.04,0.7,0.0789473684210526,0.0,1.0,1.0,76,100,5.0
3,100,0.0001,0.005,0.02,0.0016308858027061,53.24,1.0,0.0,0.0,1.0,1.0,100,100,5.0
4,100,0.0001,0.005,0.02,0.0016308858027061,53.57,0.86,0.0444444444444444,0.0,1.0,0.9976744186046512,90,100,5.0
5,100,0.0001,0.005,0.02,0.0016308858027061,53.76,0.93,0.0210526315789473,0.0,1.0,1.0,95,100,5.0
6,100,0.0001,0.005,0.02,0.0016308858027061,53.79,0.88,0.0112359550561797,0.0,1.0,1.0,89,100,5.0
7,100,0.0001,0.005,0.02,0.0016308858027061,53.73,0.88,0.0329670329670329,0.0,1.0,1.0,91,100,5.0
8,100,0.0001,0.005,0.02,0.0016308858027061,53.78,0.0,1.0,0.0,0.0,0.0,3,100,5.0
9,100,0.0001,0.005,0.02,0.0016308858027061,53.91,0.0,1.0,0.0,0.0,0.0,1,100,5.0
10,100,0.0001,0.005,0.02,0.0016308858027061,53.87,0.65,0.0972222222222222,0.0,1.0,1.0,72,100,5.0
11,100,0.0001,0.005,0.02,0.0016308858027061,53.78,0.95,0.0104166666666666,0.0,1.0,1.0,96,100,5.0
12,100,0.0001,0.005,0.02,0.0016308858027061,53.69,0.42,0.0666666666666666,0.0,1.0,1.0,45,100,5.0
13,100,0.0001,0.005,0.02,0.0016308858027061,53.84,0.92,0.031578947368421,0.0,1.0,1.0,95,100,5.0
14,100,0.0001,0.005,0.02,0.0016308858027061,53.74,0.23,0.08,0.0,1.0,1.0,25,100,5.0
15,100,0.0001,0.005,0.02,0.0016308858027061,54.0,0.0,1.0,0.0,0.0,0.0,1,100,5.0
16,100,0.0001,0.005,0.02,0.0016308858027061,53.83,0.86,0.0444444444444444,0.0,1.0,1.0,90,100,5.0
17,100,0.0001,0.005,0.02,0.0016308858027061,53.89,0.52,0.037037037037037,0.0,1.0,1.0,54,100,5.0
18,100,0.0001,0.005,0.02,0.0016308858027061,53.94,0.58,0.0793650793650793,0.0,1.0,1.0,63,100,5.0
19,100,0.0001,0.005,0.02,0.0016308858027061,54.23,0.0,1.0,0.0,0.0,0.0,1,100,5.0
0,10,0.0001,0.01,0.02,0.0031777035588293,0.09,1.0,0.0,0.0,1.0,1.0,10,10,10.0
1,10,0.0001,0.01,0.02,0.0031777035588293,0.06,1.0,0.0,0.0,1.0,1.0,10,10,10.0
2,10,0.0001,0.01,0.02,0.0031777035588293,0.05,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,10.0
3,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
4,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
5,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
6,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
7,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
8,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
9,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
10,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
11,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
12,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
13,10,0.0001,0.01,0.02,0.0031777035588293,0.03,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,10.0
14,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
15,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
16,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
17,10,0.0001,0.01,0.02,0.0031777035588293,0.03,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,10.0
18,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
19,10,0.0001,0.01,0.02,0.0031777035588293,0.03,1.0,0.0,0.0,1.0,1.0,10,10,10.0
0,20,0.0001,0.01,0.02,0.0031777035588293,0.31,1.0,0.0,0.0,1.0,1.0,20,20,10.0
1,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
2,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
3,20,0.0001,0.01,0.02,0.0031777035588293,0.31,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,10.0
4,20,0.0001,0.01,0.02,0.0031777035588293,0.31,0.0,1.0,0.0,0.0,0.0,1,20,10.0
5,20,0.0001,0.01,0.02,0.0031777035588293,0.31,1.0,0.0,0.0,1.0,1.0,20,20,10.0
6,20,0.0001,0.01,0.02,0.0031777035588293,0.31,0.9,0.0,0.0,1.0,1.0,18,20,10.0
7,20,0.0001,0.01,0.02,0.0031777035588293,0.3,0.85,0.0555555555555555,0.0,1.0,1.0,18,20,10.0
8,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
9,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
10,20,0.0001,0.01,0.02,0.0031777035588293,0.31,0.0,0.0,0.0,0.0,0.0,0,20,10.0
11,20,0.0001,0.01,0.02,0.0031777035588293,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,10.0
12,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
13,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
14,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
15,20,0.0001,0.01,0.02,0.0031777035588293,0.33,0.9,0.0,0.0,0.9907407407407408,1.0,18,20,10.0
16,20,0.0001,0.01,0.02,0.0031777035588293,0.3,0.8,0.1111111111111111,0.0,1.0,1.0,18,20,10.0
17,20,0.0001,0.01,0.02,0.0031777035588293,0.3,1.0,0.0,0.0,1.0,1.0,20,20,10.0
18,20,0.0001,0.01,0.02,0.0031777035588293,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,10.0
19,20,0.0001,0.01,0.02,0.0031777035588293,0.31,1.0,0.0,0.0,1.0,1.0,20,20,10.0
0,50,0.0001,0.01,0.02,0.0031777035588293,5.82,0.48,0.1428571428571428,0.0,1.0,1.0,28,50,10.0
1,50,0.0001,0.01,0.02,0.0031777035588293,5.86,0.74,0.075,0.0,1.0,1.0,40,50,10.0
2,50,0.0001,0.01,0.02,0.0031777035588293,5.82,0.6,0.032258064516129,0.0,1.0,1.0,31,50,10.0
3,50,0.0001,0.01,0.02,0.0031777035588293,5.85,0.92,0.0212765957446808,0.0,1.0,1.0,47,50,10.0
4,50,0.0001,0.01,0.02,0.0031777035588293,5.88,0.0,1.0,0.0,0.0,0.0,1,50,10.0
5,50,0.0001,0.01,0.02,0.0031777035588293,5.83,1.0,0.0,0.0,1.0,1.0,50,50,10.0
6,50,0.0001,0.01,0.02,0.0031777035588293,5.82,0.68,0.0555555555555555,0.0,1.0,1.0,36,50,10.0
