event,n_hits,n_seg,n_true,n_active,eff,n_iso,fp_iso,far_iso,n_pair,fp_pair,far_pair,n_chain,fp_chain,far_chain,n_hub,fp_hub,far_hub,far,pur
velo_event_158.json,2099,84875,1495,1426,0.8882943143812709,83019,0,0.0,263,0,0.0,53,53,0.03716690042075736,45,45,0.03155680224403927,0.06872370266479663,0.9312762973352033
velo_event_159.json,2265,100605,1669,1496,0.8585979628520072,98571,0,0.0,302,0,0.0,35,35,0.02339572192513369,28,28,0.01871657754010695,0.042112299465240643,0.9578877005347594
velo_event_16.json,2400,109991,1679,1575,0.8981536628945801,107884,0,0.0,361,0,0.0,34,34,0.02158730158730159,33,33,0.02095238095238095,0.04253968253968254,0.9574603174603175
velo_event_160.json,1671,52411,1220,1061,0.8450819672131148,51032,0,0.0,129,0,0.0,23,23,0.021677662582469368,7,7,0.006597549481621112,0.02827521206409048,0.9717247879359096
velo_event_161.json,2025,81196,1448,1280,0.8549723756906077,79427,0,0.0,279,0,0.0,30,30,0.0234375,12,12,0.009375,0.0328125,0.9671875
velo_event_162.json,1971,77110,1446,1322,0.8672199170124482,75380,0,0.0,216,0,0.0,44,44,0.03328290468986384,24,24,0.018154311649016642,0.05143721633888049,0.9485627836611195
velo_event_163.json,2568,125256,1792,1623,0.8515625,122918,0,0.0,449,0,0.0,47,47,0.02895871842267406,50,50,0.030807147258163893,0.05976586568083796,0.940234134319162
velo_event_164.json,4402,369928,3282,3279,0.8970140158439975,364244,0,0.0,2067,0,0.0,229,229,0.06983836535529125,106,106,0.032326928941750536,0.10216529429704178,0.8978347057029582
velo_event_165.json,2735,143526,1976,1805,0.875,140953,0,0.0,521,0,0.0,48,48,0.026592797783933517,28,28,0.01551246537396122,0.042105263157894736,0.9578947368421052
velo_event_166.json,417,4236,287,250,0.8222996515679443,3921,0,0.0,14,0,0.0,9,9,0.036,5,5,0.02,0.056,0.944
velo_event_167.json,2161,94727,1580,1420,0.8689873417721519,92735,0,0.0,365,0,0.0,34,34,0.023943661971830985,13,13,0.009154929577464789,0.03309859154929577,0.9669014084507043
velo_event_168.json,1666,54427,1185,1044,0.8472573839662447,53056,0,0.0,146,0,0.0,13,13,0.012452107279693486,27,27,0.02586206896551724,0.038314176245210725,0.9616858237547893
velo_event_169.json,1983,74511,1410,1267,0.875886524822695,72913,0,0.0,156,0,0.0,19,19,0.01499605367008682,13,13,0.010260457774269928,0.025256511444356748,0.9747434885556433
velo_event_17.json,1318,33097,980,926,0.8969387755102041,32022,0,0.0,48,0,0.0,24,24,0.02591792656587473,23,23,0.024838012958963283,0.05075593952483801,0.949244060475162
velo_event_170.json,1559,45708,1121,1013,0.8661909009812667,44427,0,0.0,118,0,0.0,16,16,0.01579466929911155,26,26,0.02566633761105627,0.04146100691016782,0.9585389930898321
velo_event_171.json,2380,106919,1710,1539,0.8573099415204678,104784,0,0.0,352,0,0.0,48,48,0.031189083820662766,25,25,0.016244314489928524,0.04743339831059129,0.9525666016894088
velo_event_172.json,1540,47535,1153,1066,0.8889852558542931,46200,0,0.0,141,0,0.0,16,16,0.0150093808630394,25,25,0.02345215759849906,0.038461538461538464,0.9615384615384616
velo_event_173.json,2963,170397,2188,1995,0.8441499085923218,167199,0,0.0,862,0,0.0,87,87,0.04360902255639098,61,61,0.030576441102756893,0.07418546365914787,0.9258145363408521
velo_event_174.json,1648,52716,1194,1102,0.8819095477386935,51346,0,0.0,127,0,0.0,10,10,0.009074410163339383,39,39,0.03539019963702359,0.04446460980036298,0.9555353901996371
velo_event_175.json,4165,335091,3007,2897,0.8716328566677752,329762,0,0.0,2046,0,0.0,181,181,0.06247842595788747,95,95,0.03279254401104591,0.09527096996893337,0.9047290300310666
velo_event_176.json,1810,62971,1287,1231,0.8764568764568764,61411,0,0.0,170,0,0.0,57,57,0.0463038180341186,46,46,0.03736799350121852,0.08367181153533712,0.9163281884646629
velo_event_177.json,2179,90744,1562,1408,0.8629961587708067,88703,0,0.0,419,0,0.0,41,41,0.02911931818181818,19,19,0.013494318181818182,0.04261363636363636,0.9573863636363636
velo_event_178.json,1717,56523,1291,1147,0.8512780790085205,55045,0,0.0,139,0,0.0,31,31,0.02702702702702703,17,17,0.014821272885789015,0.041848299912816043,0.958151700087184
velo_event_179.json,5167,500553,3690,3578,0.8482384823848238,493480,0,0.0,2935,0,0.0,309,309,0.0863610955841252,139,139,0.038848518725545,0.1252096143096702,0.8747903856903299
velo_event_18.json,2600,128368,1874,1752,0.8938100320170758,126042,0,0.0,375,0,0.0,36,36,0.02054794520547945,41,41,0.023401826484018264,0.043949771689497714,0.9560502283105022
velo_event_180.json,1454,43156,1048,931,0.8568702290076335,42013,0,0.0,62,0,0.0,18,18,0.01933404940923738,15,15,0.01611170784103115,0.03544575725026853,0.9645542427497314
velo_event_181.json,3433,228369,2586,2437,0.8866976024748646,224758,0,0.0,881,0,0.0,92,92,0.03775133360689372,52,52,0.021337710299548625,0.059089043906442346,0.9409109560935577
velo_event_182.json,1133,24617,768,677,0.8450520833333334,23779,0,0.0,42,0,0.0,10,10,0.014771048744460856,18,18,0.026587887740029542,0.0413589364844904,0.9586410635155096
velo_event_183.json,2124,88941,1563,1445,0.8662827895073576,86943,0,0.0,344,0,0.0,62,62,0.042906574394463666,29,29,0.020069204152249134,0.0629757785467128,0.9370242214532872
velo_event_184.json,1367,35118,995,884,0.8743718592964824,34037,0,0.0,72,0,0.0,11,11,0.012443438914027148,3,3,0.003393665158371041,0.01583710407239819,0.9841628959276019
velo_event_185.json,2190,90353,1571,1457,0.9070655633354551,88493,0,0.0,257,0,0.0,21,21,0.014413177762525738,11,11,0.0075497597803706245,0.02196293754289636,0.9780370624571036
velo_event_186.json,1904,68745,1332,1212,0.8611111111111112,67151,0,0.0,197,0,0.0,34,34,0.028052805280528052,31,31,0.02557755775577558,0.05363036303630363,0.9463696369636964
velo_event_187.json,3557,238295,2601,2307,0.8342945021145713,234532,0,0.0,1025,0,0.0,95,95,0.0411790203727785,42,42,0.018205461638491547,0.05938448201127005,0.94061551798873
velo_event_188.json,2279,97158,1659,1560,0.8722121760096444,94929,0,0.0,457,0,0.0,61,61,0.0391025641025641,52,52,0.03333333333333333,0.07243589743589744,0.9275641025641026
velo_event_189.json,2296,104507,1693,1487,0.8292971057294743,102448,0,0.0,283,0,0.0,52,52,0.03496973772696705,31,31,0.020847343644922665,0.05581708137188971,0.9441829186281103
velo_event_19.json,3493,232871,2561,2378,0.8699726669269816,229239,0,0.0,921,0,0.0,89,89,0.037426408746846086,61,61,0.025651808242220353,0.06307821698906645,0.9369217830109335
velo_event_190.json,4085,315032,2961,2983,0.8767308341776426,309836,0,0.0,1848,0,0.0,268,268,0.08984244049614482,119,119,0.03989272544418371,0.12973516594032852,0.8702648340596715
velo_event_191.json,1480,42428,1046,909,0.8393881453154876,41247,0,0.0,104,0,0.0,9,9,0.009900990099009901,22,22,0.0242024202420242,0.034103410341034104,0.9658965896589659
velo_event_192.json,1663,52455,1134,996,0.8236331569664903,51117,0,0.0,142,0,0.0,21,21,0.02108433734939759,41,41,0.04116465863453815,0.06224899598393574,0.9377510040160643
velo_event_193.json,1488,41823,1098,1015,0.8916211293260473,40587,0,0.0,102,0,0.0,14,14,0.013793103448275862,22,22,0.02167487684729064,0.035467980295566505,0.9645320197044335
velo_event_194.json,2493,118437,1855,1668,0.8722371967654986,116243,0,0.0,289,0,0.0,23,23,0.013788968824940047,27,27,0.01618705035971223,0.02997601918465228,0.9700239808153477
velo_event_195.json,1342,35016,938,823,0.8347547974413646,33975,0,0.0,63,0,0.0,9,9,0.010935601458080195,31,31,0.03766707168894289,0.04860267314702309,0.951397326852977
velo_event_196.json,911,15504,648,557,0.8410493827160493,14822,0,0.0,22,0,0.0,7,7,0.012567324955116697,5,5,0.008976660682226212,0.02154398563734291,0.9784560143626571
velo_event_197.json,3496,228969,2547,2404,0.8657243816254417,225086,0,0.0,1137,0,0.0,120,120,0.04991680532445923,79,79,0.03286189683860233,0.08277870216306156,0.9172212978369384
velo_event_198.json,2682,141502,1941,1768,0.8526532715095312,138827,0,0.0,621,0,0.0,67,67,0.03789592760180995,46,46,0.026018099547511313,0.06391402714932126,0.9360859728506787
velo_event_199.json,2437,115787,1771,1629,0.8802936194240542,113595,0,0.0,351,0,0.0,35,35,0.021485573971761818,35,35,0.021485573971761818,0.042971147943523635,0.9570288520564764
velo_event_2.json,2722,139459,1895,1771,0.8765171503957784,137009,0,0.0,445,0,0.0,51,51,0.028797289666854884,59,59,0.033314511575381144,0.062111801242236024,0.937888198757764
velo_event_20.json,1843,67146,1364,1184,0.8365102639296188,65572,0,0.0,167,0,0.0,23,23,0.019425675675675675,20,20,0.016891891891891893,0.036317567567567564,0.9636824324324325
velo_event_200.json,3406,217359,2464,2313,0.8616071428571429,213626,0,0.0,1079,0,0.0,110,110,0.04755728491137051,80,80,0.03458711629917856,0.08214440121054907,0.9178555987894509
velo_event_201.json,4242,337493,3052,2924,0.8633682830930537,332215,0,0.0,1937,0,0.0,203,203,0.06942544459644323,86,86,0.029411764705882353,0.09883720930232558,0.9011627906976745
velo_event_202.json,2181,88810,1608,1439,0.8687810945273632,86878,0,0.0,282,0,0.0,22,22,0.015288394718554551,20,20,0.01389854065323141,0.029186935371785964,0.970813064628214
velo_event_203.json,1859,69595,1382,1299,0.8784370477568741,67888,0,0.0,240,0,0.0,34,34,0.02617397998460354,51,51,0.03926096997690531,0.06543494996150885,0.9345650500384911
velo_event_204.json,2624,129624,1890,1739,0.8703703703703703,127136,0,0.0,504,0,0.0,41,41,0.023576768257619323,53,53,0.030477285796434734,0.05405405405405406,0.9459459459459459
velo_event_205.json,1415,38614,1024,901,0.8603515625,37489,0,0.0,81,0,0.0,9,9,0.009988901220865706,11,11,0.01220865704772475,0.022197558268590455,0.9778024417314095
velo_event_206.json,934,17087,652,587,0.8895705521472392,16405,0,0.0,23,0,0.0,6,6,0.010221465076660987,1,1,0.0017035775127768314,0.01192504258943782,0.9880749574105622
velo_event_207.json,2575,126180,1903,1794,0.9001576458223857,123844,0,0.0,352,0,0.0,35,35,0.01950947603121516,46,46,0.02564102564102564,0.0451505016722408,0.9548494983277592
velo_event_208.json,2964,167025,2150,1920,0.8404651162790697,164152,0,0.0,610,0,0.0,87,87,0.0453125,26,26,0.013541666666666667,0.058854166666666666,0.9411458333333333
velo_event_209.json,1316,37408,989,909,0.8998988877654196,36354,0,0.0,46,0,0.0,5,5,0.005500550055005501,14,14,0.015401540154015401,0.020902090209020903,0.9790979097909791
velo_event_21.json,3738,269200,2734,2692,0.880760790051207,264729,0,0.0,1453,0,0.0,192,192,0.0713224368499257,92,92,0.03417533432392273,0.10549777117384844,0.8945022288261516
velo_event_210.json,2567,125550,1822,1633,0.8567508232711306,123212,0,0.0,444,0,0.0,55,55,0.03368034292712799,17,17,0.010410287813839559,0.04409063074096754,0.9559093692590325
velo_event_211.json,806,13527,588,543,0.8741496598639455,12891,0,0.0,19,0,0.0,12,12,0.022099447513812154,17,17,0.03130755064456722,0.053406998158379376,0.9465930018416207
velo_event_212.json,3603,242321,2517,2426,0.865315852205006,238502,0,0.0,1054,0,0.0,166,166,0.06842539159109645,82,82,0.033800494641384994,0.10222588623248145,0.8977741137675186
velo_event_213.json,1316,32793,902,840,0.8968957871396895,31778,0,0.0,82,0,0.0,20,20,0.023809523809523808,11,11,0.013095238095238096,0.036904761904761905,0.9630952380952381
velo_event_214.json,1590,49691,1182,1039,0.8426395939086294,48377,0,0.0,89,0,0.0,12,12,0.011549566891241578,31,31,0.029836381135707413,0.04138594802694899,0.958614051973051
velo_event_215.json,2686,137637,1979,1784,0.852956038403234,134991,0,0.0,571,0,0.0,57,57,0.03195067264573991,39,39,0.021860986547085202,0.053811659192825115,0.9461883408071748
