noise,T,n_seg,beta,alpha,epsilon,A0_nnz,Bfork_nnz,Ball_nnz,A_nnz,lam_min,lam_max,width,s_prime_g3,gamma_pd,gamma_win,gamma_star,ok_at_g3,f_lo_g3,f_hi_g3,f_lo_star,f_hi_star,contrast_g3,contrast_star,t_wall
heavy,50,9950,1.0,0.3,0.006312668537322595,10278,24,972650,982928,2.2222917117274146,64.03121915765618,61.80892744592877,5.2,0.7777082882725854,56.63121915765618,56.63121915765618,False,0.7830128059920448,0.8810341145475776,0.0794212192728719,1.0,-0.09802130855553282,-0.9205787807271281,0.6781814098358154
heavy,100,39006,0.0,0.0,0.006312668537322595,39810,0,0,39810,1.9256867069480583,6.074313293051944,4.148626586103886,4.0,1.0743132930519417,1.0743132930519437,1.0743132930519437,True,0.7274381046391979,0.7274381046391986,0.7274381046391979,0.7274381046391986,-6.661338147750939e-16,-6.661338147750939e-16,0.14058351516723633
heavy,100,39006,0.5,0.0,0.006312668537322595,39810,1892,0,41702,2.015592801826761,6.421836884983915,4.406244083157155,4.0,0.9844071981732392,1.4218368849839154,1.4218368849839154,True,0.702763739887083,0.8140276361472039,0.702763739887083,0.8140276361472039,-0.1112638962601209,-0.1112638962601209,0.22261667251586914
heavy,100,39006,1.0,0.0,0.006312668537322595,39810,1892,0,41702,1.5857864376269064,7.026638394638133,5.440851957011226,4.0,1.4142135623730936,2.026638394638133,2.026638394638133,True,0.8122851882240898,0.9278321127823118,0.8122851882240898,0.9278321127823118,-0.11554692455822202,-0.11554692455822202,0.1862037181854248
heavy,100,39006,2.0,0.0,0.006312668537322595,39810,1892,0,41702,-0.8284271247461906,8.828427124746185,9.656854249492374,4.0,3.8284271247461907,3.8284271247461845,3.8284271247461907,False,0.9475476773143082,0.947547677314309,1.0,1.0,-7.771561172376096e-16,0.0,0.18628621101379395
heavy,100,39006,4.0,0.0,0.006312668537322595,39810,1892,0,41702,-5.656854249492383,13.656854249492204,19.31370849898459,4.0,8.656854249492383,8.656854249492204,8.656854249492383,False,0.6056998670788144,0.6056998670787581,1.0,1.0,5.6288307348495437e-14,0.0,0.17084431648254395
heavy,100,39006,0.0,0.03,0.006312668537322595,39810,0,7626166,7665976,1.966440761497,15.943973514136749,13.97753275263975,4.12,1.033559238503,10.703973514136749,10.703973514136749,False,0.7318744848905133,0.9791898239493245,0.2822099975507339,1.0,-0.2473153390588112,-0.717790002449266,3.9872524738311768
heavy,100,39006,0.0,0.1,0.006312668537322595,39810,0,7626166,7665976,1.9752319906947404,43.80116460200549,41.825932611310755,4.4,1.0247680093052596,38.001164602005495,38.001164602005495,False,0.7615103379194874,0.9974816885180855,0.09651713333427822,1.0,-0.23597135059859808,-0.9034828666657218,3.971407890319824
heavy,100,39006,0.0,0.3,0.006312668537322595,39810,0,7626166,7665976,1.97846883205919,123.40038742922285,121.42191859716365,5.2,1.02153116794081,116.00038742922284,116.00038742922284,False,0.8266611563271921,0.9119478716519541,0.0427987061774423,1.0,-0.08528671532476206,-0.9572012938225577,4.923773527145386
heavy,100,39006,0.0,1.0,0.006312668537322595,39810,0,7626166,7665976,1.9797014454502688,402.00011620254185,400.0204147570916,8.0,1.0202985545497312,389.00011620254185,389.00011620254185,False,0.925397418151517,0.92387080084479,0.02399937087989849,1.0,0.001526617306726985,-0.9760006291201015,5.506561756134033
