T,rep,config,beta,alpha,n_seg,auc,eff_att,far_att,far_eff99,far_eff95,eff_youden,far_youden,peaks_true,peaks_false,peaks_all
100,2,fork b=0.5,0.5,0.0,38808,0.9999695444275694,0.9690721649484536,0.002652519893899204,0.09624413145539906,0.002702702702702703,1.0,0.11212814645308924,,,
100,2,fork b=1,1.0,0.0,38808,0.9949244513971996,0.9690721649484536,0.002652519893899204,0.10046728971962617,0.002702702702702703,0.9948453608247423,0.10854503464203233,,,
100,2,occ a=0.1,0.0,0.1,38808,0.9999281543654776,0.0,0.0,0.04466501240694789,0.013368983957219251,1.0,0.04433497536945813,,,
100,2,occ a=0.3,0.0,0.3,38808,0.9999282885309949,0.0,0.0,0.04466501240694789,0.013368983957219251,1.0,0.04433497536945813,,,
100,2,both,1.0,0.3,38808,0.9999756489586072,0.0,0.0,0.0375,0.002702702702702703,1.0,0.11009174311926606,,,
200,0,base,0.0,0.0,157012,0.9987036501964172,0.9847133757961783,0.02644836272040302,0.21175278622087132,0.01971090670170828,0.9974522292993631,0.2971274685816876,11.0,6.0,11.0
200,0,fork b=0.5,0.5,0.0,157012,0.9988238492909978,0.9745222929936306,0.014175257731958763,0.1819137749737119,0.009296148738379814,0.9974522292993631,0.30213903743315507,18.0,15.0,22.0
200,0,fork b=1,1.0,0.0,157012,0.9963321377976901,0.9745222929936306,0.014175257731958763,0.29783393501805056,0.009296148738379814,0.9949044585987261,0.29829290206648695,17.0,15.0,24.0
200,0,occ a=0.1,0.0,0.1,157012,0.9999467376374872,0.0,0.0,0.02871410736579276,0.01971090670170828,1.0,0.3191673894189072,3.0,1.0,3.0
200,0,occ a=0.3,0.0,0.3,157012,0.9999474470412746,0.0,0.0,0.0275,0.01971090670170828,1.0,0.3209342560553633,1.0,1.0,1.0
200,0,both,1.0,0.3,157012,0.9998437191610656,0.0,0.0,0.04656862745098039,0.01971090670170828,0.9974522292993631,0.04975728155339806,1.0,1.0,1.0
200,1,base,0.0,0.0,155432,0.9932830358034845,0.9742599742599742,0.01303780964797914,0.9865139414319742,0.01335113484646195,0.9871299871299871,0.25965250965250963,11.0,6.0,11.0
200,1,fork b=0.5,0.5,0.0,155432,0.9938540248197226,0.9626769626769627,0.0026666666666666666,0.9847868178764768,0.0013513513513513514,0.9871299871299871,0.3108715184186882,18.0,15.0,22.0
200,1,fork b=1,1.0,0.0,155432,0.9925870540011693,0.9626769626769627,0.0013351134846461949,0.9849129063228638,0.0013513513513513514,0.9858429858429858,0.3080397470641373,17.0,15.0,24.0
200,1,occ a=0.1,0.0,0.1,155432,0.994629163172049,0.0,0.0,0.9868139395496189,0.01335113484646195,0.9871299871299871,0.11431870669745958,3.0,1.0,3.0
200,1,occ a=0.3,0.0,0.3,155432,0.9948797395889311,0.0,0.0,0.9867588389049388,0.01335113484646195,0.9871299871299871,0.11020881670533643,1.0,1.0,1.0
200,1,both,1.0,0.3,155432,0.9958536431007414,0.0,0.0,0.9769840083694515,0.006720430107526882,0.9871299871299871,0.1468298109010011,1.0,1.0,1.0
200,2,base,0.0,0.0,158602,0.99994209802539,0.9924337957124842,0.028395061728395062,0.02843016069221261,0.01950585175552666,1.0,0.291331546023235,11.0,6.0,11.0
200,2,fork b=0.5,0.5,0.0,158602,0.9999654314184153,0.9823455233291298,0.011421319796954314,0.022388059701492536,0.009198423127463863,1.0,0.3013215859030837,18.0,15.0,22.0
200,2,fork b=1,1.0,0.0,158602,0.9974956157393549,0.9823455233291298,0.011421319796954314,0.29443447037701975,0.009198423127463863,0.9974779319041615,0.29626334519572955,17.0,15.0,24.0
200,2,occ a=0.1,0.0,0.1,158602,0.9999507201935661,0.0,0.0,0.018726591760299626,0.01950585175552666,1.0,0.11986681465038845,3.0,1.0,3.0
200,2,occ a=0.3,0.0,0.3,158602,0.9999507601480063,0.0,0.0,0.018726591760299626,0.01950585175552666,1.0,0.11790878754171301,1.0,1.0,1.0
200,2,both,1.0,0.3,158602,0.999965687126832,0.0,0.0,0.022388059701492536,0.01437908496732026,1.0,0.12375690607734807,1.0,1.0,1.0
